No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11183a-x40-08.tif;888;21.111486;688.832207;30.859322;38.453771;1.480908;1.246099;0.802504;0.764619;109.000000;0.596646;128.551000;0.498330;4.133070e-01;6.223745e-01
2;B-11183a-x40-08.tif;1586;246.611602;644.709332;35.234873;60.365659;1.618361;1.713236;0.583691;0.554158;169.000000;0.811976;179.595000;0.517567;3.454883e-01;6.683497e-01
3;B-11183a-x40-08.tif;6853;366.675762;550.595360;74.477216;141.621017;3.286320;1.901535;0.525891;0.435046;1853.000000;0.850552;531.986000;0.518310;2.776455e-01;1.000000e+00
4;B-11183a-x40-08.tif;1366;589.887994;204.961201;36.461047;51.223424;1.392274;1.404881;0.711804;0.662863;126.000000;0.702378;154.594000;0.521009;3.135053e-01;6.935289e-01
5;B-11183a-x40-08.tif;776;625.199742;683.399485;31.109615;33.089332;1.143769;1.063637;0.940171;0.902393;57.000000;0.340704;105.610000;0.494101;4.067228e-01;5.769228e-01
6;B-11183a-x40-08.tif;956;903.207113;736.291841;31.225660;39.440258;1.107599;1.263072;0.791720;0.782508;46.000000;0.610884;115.352000;0.502598;3.969809e-01;5.885803e-01
7;B-11183a-x40-08.tif;2643;953.588347;74.694665;52.698338;69.356114;1.503018;1.316097;0.759823;0.699581;335.000000;0.650131;223.427000;0.529504;3.247449e-01;6.874235e-01
8;B-11183a-x40-08.tif;2574;1006.154235;803.189200;47.026847;75.586190;1.868822;1.607299;0.622162;0.573633;500.000000;0.782889;245.863000;0.525501;3.900418e-01;7.399676e-01
9;B-11183a-x40-08.tif;2668;1126.393928;548.659670;51.220293;79.628181;2.116066;1.554622;0.643243;0.535750;747.000000;0.765662;266.356000;0.510324;3.343908e-01;7.430629e-01
10;B-11183a-x40-08.tif;951;1100.211356;413.772871;26.908650;46.482266;1.395634;1.727410;0.578901;0.560423;103.000000;0.815398;129.146000;0.473409;4.152736e-01;5.335545e-01
11;B-11183a-x40-08.tif;1798;1154.922692;428.540044;40.871991;60.027720;1.842022;1.468676;0.680885;0.635325;303.000000;0.732390;204.008000;0.527433;3.598757e-01;7.591738e-01
12;B-11183a-x40-08.tif;988;1156.634615;87.044534;29.618186;43.088915;1.126823;1.454813;0.687374;0.677542;51.000000;0.726304;118.280000;0.539413;3.747754e-01;7.085021e-01
13;B-11183a-x40-08.tif;1826;1179.487952;222.844469;35.302247;68.885814;1.525244;1.951315;0.512475;0.489949;215.000000;0.858702;187.079000;0.515786;3.927439e-01;7.279534e-01
14;B-11183a-x40-08.tif;4460;1195.844170;636.062332;80.720669;97.233187;3.518299;1.204564;0.830176;0.600642;1631.000000;0.557501;444.057000;0.518455;3.767951e-01;7.668368e-01
15;B-11183a-x40-08.tif;802;1174.428928;806.164589;25.757481;43.655662;1.781928;1.694873;0.590015;0.535801;135.000000;0.807393;134.010000;0.548203;3.853048e-01;6.672260e-01
16;B-11183a-x40-08.tif;1069;1204.378859;374.785781;33.485120;41.580729;1.142207;1.241767;0.805304;0.787234;72.000000;0.592862;123.870000;0.507725;3.582854e-01;6.113851e-01
17;B-11183a-x40-08.tif;958;1221.103340;63.314196;32.015694;38.767377;1.039436;1.210887;0.825841;0.811601;36.000000;0.563903;111.863000;0.531761;3.664921e-01;6.801781e-01
18;B-11183a-x40-08.tif;1247;1234.436247;561.534884;36.957662;44.382582;1.310985;1.200903;0.832706;0.806030;110.000000;0.553715;143.330000;0.515207;3.619826e-01;6.538620e-01
19;B-11183a-x40-08.tif;2824;1269.102691;163.761331;47.867558;101.714900;2.438762;2.124924;0.470605;0.347541;1152.000000;0.882344;294.186000;0.518001;3.738068e-01;6.744713e-01
20;B-11183a-x40-08.tif;1652;1293.854722;214.772397;37.100452;61.018720;1.525647;1.644689;0.608018;0.564929;281.000000;0.793924;177.966000;0.513551;3.979883e-01;6.210099e-01
21;B-11183a-x40-08.tif;4774;1407.536028;297.643904;63.816462;154.827247;4.629428;2.426133;0.412178;0.253570;3215.000000;0.911103;526.999000;0.519637;3.527439e-01;6.687131e-01
22;B-11183a-x40-08.tif;1658;1430.862485;474.001206;33.539965;74.189740;2.237749;2.211980;0.452084;0.383537;358.000000;0.891976;215.925000;0.509110;3.992890e-01;6.440807e-01
23;B-11183a-x40-08.tif;1104;1416.008152;243.362319;28.571304;50.057932;1.349021;1.752035;0.570765;0.560962;89.000000;0.821114;136.804000;0.521331;4.326474e-01;6.195683e-01
24;B-11183a-x40-08.tif;2148;1455.111266;416.270484;36.685266;82.870990;1.879353;2.258972;0.442679;0.398235;391.000000;0.896680;225.230000;0.516971;3.638032e-01;7.049750e-01
25;B-11183a-x40-08.tif;1372;1466.747085;38.220117;38.846911;45.437890;1.038407;1.169665;0.854945;0.846112;54.000000;0.518718;133.803000;0.528280;3.815050e-01;6.953663e-01
26;B-11183a-x40-08.tif;1065;1507.267606;75.884507;27.984017;49.871736;1.398095;1.782151;0.561120;0.545194;85.000000;0.827735;136.788000;0.517838;3.586422e-01;6.522831e-01
27;B-11183a-x40-08.tif;1669;1524.865189;495.093469;33.582898;71.762438;1.843327;2.136874;0.467973;0.412641;311.000000;0.883743;196.623000;0.520789;3.870981e-01;6.739259e-01
28;B-11183a-x40-08.tif;1523;1546.289560;581.577807;38.990315;73.017713;2.372711;1.872714;0.533984;0.363709;601.000000;0.845494;213.097000;0.549445;3.839165e-01;7.040377e-01
