No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11183a-x40-08.tif;487;173.609856;419.885010;23.270259;26.724570;0.936926;1.148443;0.870744;0.868196;9.000000;0.491737;75.722000;74.449692;43;100
2;B-11183a-x40-08.tif;1001;267.633367;603.236763;33.390924;40.769005;1.386747;1.220961;0.819027;0.766803;94.000000;0.573755;132.075000;77.480519;12;100
3;B-11183a-x40-08.tif;594;356.442761;479.319865;23.835773;32.036356;1.034603;1.344045;0.744023;0.736903;27.000000;0.668154;87.879000;82.978114;54;100
4;B-11183a-x40-08.tif;520;379.792308;229.467308;24.087892;27.634046;0.948614;1.147217;0.871674;0.867011;13.000000;0.490085;78.732000;74.030769;51;100
5;B-11183a-x40-08.tif;520;382.550000;485.300000;24.476382;27.496593;1.030203;1.123393;0.890161;0.875701;23.000000;0.455647;82.048000;82.023077;60;100
6;B-11183a-x40-08.tif;695;450.269065;526.730935;27.958347;33.368386;1.182887;1.193504;0.837869;0.794739;63.000000;0.545871;101.641000;81.861871;47;100
7;B-11183a-x40-08.tif;533;465.196998;545.532833;22.497794;31.107959;1.215474;1.382712;0.723217;0.701285;38.000000;0.690621;90.228000;80.791745;46;100
8;B-11183a-x40-08.tif;918;520.254902;533.043573;29.645586;50.385351;1.749137;1.699590;0.588377;0.460409;230.000000;0.808587;142.049000;74.399782;33;100
9;B-11183a-x40-08.tif;1945;534.704884;491.205656;46.860288;58.435263;1.548148;1.247010;0.801918;0.725237;230.000000;0.597434;194.523000;79.887918;46;100
10;B-11183a-x40-08.tif;658;532.519757;267.442249;25.480906;33.140290;1.012018;1.300593;0.768880;0.762822;17.000000;0.639393;91.477000;86.731003;65;100
11;B-11183a-x40-08.tif;738;562.360434;446.716802;24.384222;40.884385;1.243128;1.676674;0.596419;0.562149;70.000000;0.802673;107.372000;83.338753;51;100
12;B-11183a-x40-08.tif;1853;567.669185;533.004317;44.802960;54.779386;1.310707;1.222673;0.817880;0.786233;180.000000;0.575389;174.701000;74.312466;46;100
13;B-11183a-x40-08.tif;2806;594.671062;485.648610;55.100188;73.468461;2.258145;1.333361;0.749984;0.661905;632.000000;0.661456;282.179000;80.917320;52;100
14;B-11183a-x40-08.tif;748;589.225936;197.044118;26.918596;36.521906;1.158506;1.356754;0.737053;0.714011;46.000000;0.675834;104.353000;76.457219;49;100
15;B-11183a-x40-08.tif;2090;608.484689;560.269378;51.850991;68.575949;2.073021;1.322558;0.756110;0.565865;642.000000;0.654444;233.335000;80.842105;54;100
16;B-11183a-x40-08.tif;1051;606.881066;440.693625;31.849903;43.031849;1.189241;1.351083;0.740147;0.722658;76.000000;0.672445;125.326000;70.350143;50;100
17;B-11183a-x40-08.tif;790;639.949367;426.511392;27.637891;37.078581;1.032038;1.341585;0.745387;0.731629;20.000000;0.666632;101.220000;78.793671;58;100
18;B-11183a-x40-08.tif;579;656.134715;443.445596;22.199492;33.835607;1.065445;1.524161;0.656099;0.643933;14.000000;0.754675;88.046000;79.500864;55;100
19;B-11183a-x40-08.tif;762;666.234908;502.041995;30.326082;32.363183;0.990013;1.067173;0.937055;0.926323;26.000000;0.349182;97.365000;88.259843;57;100
20;B-11183a-x40-08.tif;852;674.768779;463.166667;30.348104;38.623289;1.571633;1.272676;0.785746;0.727196;112.000000;0.618549;129.718000;90.807512;57;100
21;B-11183a-x40-08.tif;1762;686.001135;547.824064;39.941112;62.397179;1.693125;1.562229;0.640111;0.576217;262.000000;0.768283;193.621000;82.998865;52;100
22;B-11183a-x40-08.tif;800;682.827500;418.810000;28.780853;36.048238;1.107734;1.252508;0.798398;0.783848;49.000000;0.602130;105.528000;87.908750;68;100
23;B-11183a-x40-08.tif;747;697.020080;513.630522;30.521241;31.294656;0.951073;1.025340;0.975286;0.971159;17.000000;0.220946;94.487000;81.701473;49;100
