No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11183a-x40-08.tif;1250;76.592000;265.135200;30.858909;53.774300;1.379418;1.742586;0.573860;0.550390;107.000000;0.818954;147.200000;92.557600;69;100
2;B-11183a-x40-08.tif;583;173.185249;420.768439;25.668698;29.018423;0.970725;1.130498;0.884566;0.881518;13.000000;0.466416;84.331000;77.574614;31;100
3;B-11183a-x40-08.tif;1786;246.446249;645.165174;39.745736;60.255272;1.400449;1.516019;0.659623;0.626327;137.000000;0.751597;177.288000;87.226764;58;100
4;B-11183a-x40-08.tif;1255;267.767331;604.681275;35.367966;45.989338;1.063423;1.300311;0.769047;0.755509;58.000000;0.639192;129.503000;83.070120;36;100
5;B-11183a-x40-08.tif;1361;327.245408;520.398971;31.126997;58.550809;1.363055;1.881030;0.531624;0.505478;149.000000;0.846981;152.683000;85.565760;39;100
6;B-11183a-x40-08.tif;739;355.128552;479.775372;26.416301;36.174307;1.106490;1.369393;0.730250;0.719042;50.000000;0.683180;101.368000;83.047361;47;100
7;B-11183a-x40-08.tif;817;382.000000;489.746634;30.907546;34.230100;1.126210;1.107500;0.902935;0.887801;57.000000;0.429778;107.529000;87.313341;67;100
8;B-11183a-x40-08.tif;607;378.719934;231.514003;25.949052;30.006192;0.984257;1.156350;0.864790;0.858375;17.000000;0.502134;86.647000;74.998353;25;100
9;B-11183a-x40-08.tif;1121;405.810883;290.555754;31.364370;46.759371;1.524018;1.490844;0.670761;0.652797;98.000000;0.741673;146.522000;91.567351;58;100
10;B-11183a-x40-08.tif;582;408.759450;317.257732;19.463004;41.969881;1.343298;2.156393;0.463737;0.420686;66.000000;0.885973;99.118000;76.134021;33;100
11;B-11183a-x40-08.tif;989;433.258847;622.692619;32.586173;38.803747;0.988773;1.190804;0.839769;0.836294;26.000000;0.542944;110.854000;87.665319;53;100
12;B-11183a-x40-08.tif;1680;457.462500;520.221429;35.952040;63.055954;1.477596;1.753891;0.570161;0.537981;133.000000;0.821533;176.619000;86.233333;50;100
13;B-11183a-x40-08.tif;608;465.884868;547.154605;21.408340;36.558063;1.108356;1.707655;0.585598;0.579225;27.000000;0.810601;92.023000;82.256579;53;100
14;B-11183a-x40-08.tif;1498;477.951268;672.118158;29.398616;86.481442;2.266118;2.941684;0.339941;0.255021;506.000000;0.940447;206.539000;82.291055;50;100
15;B-11183a-x40-08.tif;770;468.914286;465.025974;27.802261;35.482919;0.998776;1.276260;0.783539;0.778686;12.000000;0.621342;98.307000;81.275325;56;100
16;B-11183a-x40-08.tif;1340;517.614925;536.153731;38.039253;54.867655;1.847121;1.442396;0.693291;0.566738;280.000000;0.720658;176.362000;84.877612;28;100
17;B-11183a-x40-08.tif;476;518.684874;502.388655;24.203022;25.646610;1.099711;1.059645;0.943712;0.921419;26.000000;0.330767;81.105000;90.796218;72;100
18;B-11183a-x40-08.tif;623;525.887640;591.428571;23.534876;37.770765;1.484416;1.604885;0.623098;0.556015;118.000000;0.782144;107.802000;81.650080;36;100
19;B-11183a-x40-08.tif;947;532.248152;696.257656;28.523844;42.485826;1.047002;1.489485;0.671373;0.667993;24.000000;0.741119;111.623000;86.751848;56;100
20;B-11183a-x40-08.tif;783;531.252874;269.306513;27.791739;36.105277;0.978421;1.299137;0.769742;0.764769;13.000000;0.638355;98.118000;82.518519;42;100
21;B-11183a-x40-08.tif;4748;575.800548;551.990312;72.533804;87.661598;1.395522;1.208562;0.827430;0.786687;414.000000;0.561569;288.555000;88.421441;36;100
22;B-11183a-x40-08.tif;722;572.427978;616.317175;25.918904;36.212653;1.085710;1.397152;0.715742;0.701014;31.000000;0.698365;99.250000;80.160665;25;100
23;B-11183a-x40-08.tif;2381;590.603948;487.568249;40.186694;79.704820;1.747522;1.983363;0.504194;0.477200;329.000000;0.863590;228.663000;89.321714;61;100
24;B-11183a-x40-08.tif;1308;588.461009;204.743884;34.450498;50.778442;1.205547;1.473954;0.678447;0.645891;81.000000;0.734649;140.767000;81.419725;42;100
25;B-11183a-x40-08.tif;1250;606.652000;442.450400;34.438728;48.095784;1.585779;1.396561;0.716045;0.688028;168.000000;0.698055;157.827000;87.248000;61;100
26;B-11183a-x40-08.tif;386;617.101036;473.966321;20.664689;24.860124;1.155382;1.203024;0.831238;0.795226;30.000000;0.555916;74.862000;93.549223;78;100
27;B-11183a-x40-08.tif;827;627.533253;571.995163;25.674013;47.942646;1.781990;1.867361;0.535515;0.458112;128.000000;0.844526;136.085000;89.340992;69;100
28;B-11183a-x40-08.tif;3007;689.850349;559.387762;48.165782;86.140634;2.253667;1.788420;0.559153;0.515974;580.000000;0.829065;291.821000;91.289657;61;100
29;B-11183a-x40-08.tif;710;693.346479;602.914085;26.986872;34.135417;1.073001;1.264890;0.790583;0.775815;34.000000;0.612355;97.844000;90.964789;69;100
30;B-11183a-x40-08.tif;665;718.652632;636.984962;23.735046;37.027965;1.143504;1.560054;0.641003;0.617550;50.000000;0.767538;97.754000;86.326316;33;100
31;B-11183a-x40-08.tif;884;730.795249;71.391403;27.239467;44.045016;1.398828;1.616956;0.618446;0.580188;89.000000;0.785827;124.656000;85.544118;56;100
32;B-11183a-x40-08.tif;1012;740.825099;386.551383;32.651702;40.003574;1.155087;1.225160;0.816220;0.805180;53.000000;0.577742;121.200000;88.909091;53;100
33;B-11183a-x40-08.tif;1052;754.179658;627.351711;30.617841;45.478238;1.295987;1.485351;0.673242;0.647618;59.000000;0.739423;130.892000;89.689163;39;100
34;B-11183a-x40-08.tif;918;769.872549;481.578431;31.671111;37.408052;1.042309;1.181141;0.846639;0.835262;25.000000;0.532168;109.654000;89.430283;69;100
35;B-11183a-x40-08.tif;601;772.655574;452.559068;26.117530;30.343870;1.171978;1.161820;0.860718;0.831080;44.000000;0.509081;94.081000;88.104825;44;100
36;B-11183a-x40-08.tif;1135;788.313656;329.155947;28.471842;51.927936;1.208512;1.823835;0.548295;0.535925;61.000000;0.836285;131.289000;90.051101;67;100
37;B-11183a-x40-08.tif;723;792.359613;615.827109;28.532023;33.498891;1.092724;1.174080;0.851730;0.820328;34.000000;0.523980;99.639000;87.998617;61;100
38;B-11183a-x40-08.tif;713;802.523142;455.908836;30.382556;31.512466;1.245822;1.037189;0.964144;0.914187;82.000000;0.265380;105.652000;88.408135;53;100
39;B-11183a-x40-08.tif;1040;804.906731;203.255769;33.098635;40.263837;1.064355;1.216480;0.822044;0.816795;47.000000;0.569424;117.941000;84.291346;58;100
40;B-11183a-x40-08.tif;1045;816.318660;162.444019;32.663722;42.026357;1.208412;1.286637;0.777220;0.753326;91.000000;0.629229;125.971000;88.982775;56;100
41;B-11183a-x40-08.tif;706;814.369688;585.893768;28.018737;33.990132;1.277949;1.213122;0.824320;0.778053;100.000000;0.566125;106.479000;90.143059;50;100
42;B-11183a-x40-08.tif;848;826.112028;469.470519;29.190627;37.668374;1.123949;1.290427;0.774937;0.760943;55.000000;0.632038;109.440000;89.246462;44;100
43;B-11183a-x40-08.tif;1185;844.994093;692.463291;33.421501;46.125646;1.360069;1.380119;0.724575;0.709159;78.000000;0.689196;142.313000;90.228692;61;100
44;B-11183a-x40-08.tif;928;846.679957;84.841595;26.740246;44.426220;1.160408;1.661399;0.601902;0.598659;40.000000;0.798570;116.328000;83.946121;19;100
45;B-11183a-x40-08.tif;1082;851.252311;449.036969;28.251590;54.697274;1.861696;1.936078;0.516508;0.460475;226.000000;0.856282;159.101000;91.247689;64;100
46;B-11183a-x40-08.tif;751;844.252996;415.838881;30.462240;31.785245;1.061953;1.043431;0.958377;0.946453;39.000000;0.285507;100.110000;90.773635;61;100
47;B-11183a-x40-08.tif;669;848.430493;383.846039;27.311617;31.817001;1.143584;1.164962;0.858397;0.841430;47.000000;0.512986;98.051000;89.799701;50;100
48;B-11183a-x40-08.tif;774;847.909561;584.786822;27.780399;35.845508;1.019023;1.290317;0.775004;0.766976;23.000000;0.631957;99.556000;87.520672;33;100
49;B-11183a-x40-08.tif;790;868.578481;625.865823;30.818133;35.555003;1.396262;1.153704;0.866773;0.795675;97.000000;0.498702;117.734000;90.262025;67;100
50;B-11183a-x40-08.tif;911;877.694841;592.594951;31.286277;39.382353;1.358110;1.258774;0.794424;0.747868;84.000000;0.607364;124.690000;84.884742;44;100
51;B-11183a-x40-08.tif;800;878.026250;424.186250;25.838787;43.183535;1.498481;1.671268;0.598348;0.546215;112.000000;0.801236;122.737000;91.161250;67;100
52;B-11183a-x40-08.tif;907;884.237045;527.907387;30.408726;39.013869;1.123012;1.282983;0.779434;0.758716;65.000000;0.626485;113.136000;89.895259;58;100
53;B-11183a-x40-08.tif;448;883.133929;561.970982;21.942082;26.384868;1.051681;1.202478;0.831616;0.819367;20.000000;0.555351;76.946000;92.950893;81;100
54;B-11183a-x40-08.tif;811;891.536375;107.165228;31.384532;33.891124;1.172007;1.079867;0.926040;0.898999;42.000000;0.377426;109.290000;77.796547;0;100
