No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11183a-x40-08.tif;488;173.627049;419.942623;23.427306;26.589946;0.937255;1.134998;0.881059;0.878810;9.000000;0.473007;75.813000;0.609499;-1.857567e-01;8.118767e-01
2;B-11183a-x40-08.tif;514;380.095331;229.492218;24.018388;27.396554;0.943229;1.140649;0.876694;0.871929;12.000000;0.481049;78.054000;0.615359;-5.554221e-02;7.651290e-01
3;B-11183a-x40-08.tif;1082;539.602588;482.564695;28.981080;49.053591;1.187878;1.692607;0.590804;0.572527;90.000000;0.806815;127.088000;0.599623;4.756464e-02;7.610134e-01
4;B-11183a-x40-08.tif;1599;567.017511;530.541588;39.654316;52.882282;1.206508;1.333582;0.749860;0.728011;107.000000;0.661596;155.702000;0.630559;3.090671e-01;7.762319e-01
5;B-11183a-x40-08.tif;1790;591.252514;479.037430;38.999272;64.171221;1.638015;1.645447;0.607738;0.553455;288.000000;0.794138;191.951000;0.573566;2.343224e-01;7.568695e-01
6;B-11183a-x40-08.tif;386;595.699482;511.253886;21.405465;23.654389;1.059931;1.105063;0.904926;0.878363;25.000000;0.425570;71.703000;0.560667;3.883347e-01;6.940261e-01
7;B-11183a-x40-08.tif;1065;608.798122;441.244131;34.106818;40.172610;1.068298;1.177847;0.849007;0.840233;55.000000;0.528382;119.571000;0.636032;2.729205e-01;7.851666e-01
8;B-11183a-x40-08.tif;1428;649.089636;436.277311;32.391604;61.125960;1.890309;1.887093;0.529916;0.486617;241.000000;0.848050;184.177000;0.573339;2.743666e-01;7.344918e-01
9;B-11183a-x40-08.tif;740;826.450000;465.208108;27.529679;35.133210;1.114192;1.276194;0.783580;0.763319;44.000000;0.621291;101.789000;0.572014;1.147647e-01;7.420008e-01
10;B-11183a-x40-08.tif;850;849.775294;444.103529;27.814867;41.138981;1.257717;1.479029;0.676119;0.639473;78.000000;0.736792;115.906000;0.578416;3.426079e-01;7.004617e-01
11;B-11183a-x40-08.tif;838;887.687351;527.846062;30.336775;36.584264;1.153903;1.205938;0.829230;0.797197;74.000000;0.558907;110.233000;0.595641;3.437329e-01;7.458291e-01
12;B-11183a-x40-08.tif;1616;924.733911;523.891089;31.224542;69.467534;1.453806;2.224774;0.449484;0.426371;182.000000;0.893288;171.822000;0.604341;1.254907e-01;7.782957e-01
13;B-11183a-x40-08.tif;1286;954.474339;64.965785;34.223430;48.629467;1.284317;1.420941;0.703759;0.692392;80.000000;0.710439;144.066000;0.550306;-1.041377e-01;7.419764e-01
14;B-11183a-x40-08.tif;566;1182.086572;666.379859;24.847537;29.869868;1.043311;1.202126;0.831860;0.807718;22.000000;0.554986;86.143000;0.675073;-8.622288e-03;9.111689e-01
15;B-11183a-x40-08.tif;1014;1197.467456;643.783037;30.282454;44.413532;1.338460;1.466642;0.681829;0.654512;92.000000;0.731511;130.595000;0.629790;2.289456e-01;8.441183e-01
16;B-11183a-x40-08.tif;573;1232.757417;435.657941;25.880858;28.426987;0.967810;1.098379;0.910433;0.902824;15.000000;0.413657;83.479000;0.627176;-4.482492e-02;8.518865e-01
17;B-11183a-x40-08.tif;1124;1466.040925;723.418149;35.195657;41.871153;1.173449;1.189668;0.840571;0.816294;72.000000;0.541702;128.742000;0.629745;2.025337e-01;7.934796e-01
18;B-11183a-x40-08.tif;929;1539.778256;669.489774;26.813091;46.740886;1.399037;1.743211;0.573654;0.541417;113.000000;0.819098;127.799000;0.595772;2.894382e-01;7.226031e-01
