No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11704-x40-06.tif;2042;143.179726;769.697845;36.936838;87.922828;2.381587;2.380356;0.420105;0.336328;734.000000;0.907475;247.210000;0.635059;7.639280e-02;9.644298e-01
2;B-11704-x40-06.tif;1585;243.422713;218.402524;34.612916;62.508158;1.547116;1.805920;0.553734;0.516495;233.000000;0.832693;175.542000;0.740180;1.011536e-01;9.427640e-01
3;B-11704-x40-06.tif;1209;232.455749;512.744417;36.950156;43.375349;1.494468;1.173888;0.851870;0.818183;148.000000;0.523753;150.682000;0.623461;5.301928e-01;8.462999e-01
4;B-11704-x40-06.tif;898;383.128062;479.910913;21.480047;54.907764;1.463665;2.556222;0.391202;0.379244;62.000000;0.920305;128.518000;0.658742;5.736280e-01;8.608082e-01
5;B-11704-x40-06.tif;828;483.352657;512.185990;28.730786;38.427780;1.283593;1.337512;0.747657;0.713921;98.000000;0.664085;115.567000;0.674859;5.790377e-01;8.127052e-01
6;B-11704-x40-06.tif;1000;498.829000;463.179000;25.964125;50.023658;1.336287;1.926645;0.519037;0.508814;90.000000;0.854752;129.585000;0.685960;6.003813e-01;8.058768e-01
7;B-11704-x40-06.tif;947;504.328405;424.755016;27.173654;44.766364;1.130508;1.647418;0.607011;0.601667;40.000000;0.794694;115.989000;0.638727;5.302061e-01;8.769344e-01
8;B-11704-x40-06.tif;937;556.183565;518.340448;31.771536;38.348893;1.149440;1.207020;0.828486;0.811230;61.000000;0.560009;116.337000;0.671492;5.926167e-01;8.181861e-01
9;B-11704-x40-06.tif;1106;592.101266;491.860759;31.802572;46.288704;1.700117;1.455502;0.687048;0.657227;150.000000;0.726612;153.717000;0.702890;5.880009e-01;8.882098e-01
10;B-11704-x40-06.tif;651;609.734255;342.405530;23.115202;36.585653;1.131605;1.582753;0.631811;0.619255;43.000000;0.775123;96.215000;0.559679;4.300421e-01;7.908890e-01
11;B-11704-x40-06.tif;1147;624.117698;462.517001;31.711026;47.413817;1.262294;1.495184;0.668814;0.649626;93.000000;0.743430;134.886000;0.701461;5.987776e-01;8.834558e-01
12;B-11704-x40-06.tif;986;652.376268;524.096349;32.835221;39.093685;1.091998;1.190602;0.839911;0.821436;58.000000;0.542724;116.320000;0.669740;5.935380e-01;8.150910e-01
13;B-11704-x40-06.tif;1125;673.882667;422.929778;32.523895;46.323099;1.406253;1.424279;0.702110;0.667525;79.000000;0.712069;140.998000;0.689775;5.729359e-01;8.360232e-01
14;B-11704-x40-06.tif;993;743.602216;533.077543;28.961133;44.161683;1.102103;1.524860;0.655798;0.648288;48.000000;0.754937;117.271000;0.664413;5.740990e-01;8.427406e-01
15;B-11704-x40-06.tif;2432;771.684622;442.439967;41.643711;81.446522;1.568658;1.955794;0.511301;0.466798;263.000000;0.859402;218.953000;0.672005;4.990640e-01;8.459683e-01
16;B-11704-x40-06.tif;1011;809.022750;340.651830;27.073632;48.867070;1.279255;1.804969;0.554026;0.539050;71.000000;0.832499;127.485000;0.682505;5.883746e-01;8.268696e-01
17;B-11704-x40-06.tif;866;838.864896;591.830254;29.901082;39.080371;1.310314;1.306989;0.765118;0.721956;82.000000;0.643890;119.413000;0.659748;5.547556e-01;8.704277e-01
18;B-11704-x40-06.tif;1283;844.689790;414.888542;38.633073;43.937806;1.325903;1.137311;0.879267;0.846175;129.000000;0.476329;146.209000;0.702927;5.771941e-01;8.679657e-01
19;B-11704-x40-06.tif;962;859.186071;539.190229;32.725500;37.894008;1.186420;1.157935;0.863606;0.852990;56.000000;0.504167;119.760000;0.649417;1.911327e-01;9.209141e-01
20;B-11704-x40-06.tif;1219;875.905660;440.817063;36.714074;43.074100;1.150764;1.173231;0.852347;0.836530;79.000000;0.522977;132.770000;0.684265;5.602607e-01;8.530113e-01
21;B-11704-x40-06.tif;1099;893.654231;371.048226;27.574907;51.392961;1.256441;1.863758;0.536550;0.529786;63.000000;0.843868;131.727000;0.696112;5.632293e-01;8.259054e-01
22;B-11704-x40-06.tif;927;921.598706;470.614887;33.682119;35.627099;1.069265;1.057745;0.945407;0.929884;40.000000;0.325891;111.606000;0.642304;1.537704e-01;9.429114e-01
