No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11704-x40-06.tif;1953;170.271377;496.421403;35.756206;82.591521;1.943788;2.309851;0.432928;0.364537;379.000000;0.901428;218.414000;147.592422;134;160
2;B-11704-x40-06.tif;757;156.542933;783.277411;26.795712;36.199625;0.996040;1.350948;0.740221;0.735526;17.000000;0.672364;97.340000;144.906209;120;170
3;B-11704-x40-06.tif;359;214.713092;518.434540;15.124368;31.128089;1.277067;2.058141;0.485875;0.471737;25.000000;0.874028;75.903000;146.690808;139;159
4;B-11704-x40-06.tif;720;381.351389;466.004167;12.907211;103.270977;4.184902;8.001029;0.124984;0.085958;378.000000;0.992159;194.587000;140.709722;129;151
5;B-11704-x40-06.tif;301;472.401993;426.109635;17.119419;24.258238;1.368627;1.417001;0.705716;0.651266;44.000000;0.708495;71.950000;139.900332;131;149
6;B-11704-x40-06.tif;497;544.907445;397.267606;26.516728;43.119709;2.962326;1.626132;0.614956;0.340341;347.000000;0.788561;136.019000;145.094567;131;157
7;B-11704-x40-06.tif;303;677.244224;539.293729;11.564898;36.061154;1.666127;3.118156;0.320702;0.296670;35.000000;0.947180;79.649000;141.933993;132;152
8;B-11704-x40-06.tif;856;807.856308;536.579439;25.171874;58.640637;2.394247;2.329610;0.429256;0.316947;368.000000;0.903183;160.482000;140.857477;132;151
9;B-11704-x40-06.tif;302;788.963576;642.208609;14.690143;36.666068;2.495774;2.495964;0.400647;0.286015;137.000000;0.916233;97.322000;140.228477;129;151
10;B-11704-x40-06.tif;728;865.701923;651.546703;30.327984;40.608496;2.145134;1.338978;0.746838;0.562092;285.000000;0.665006;140.087000;144.875000;128;156
11;B-11704-x40-06.tif;2186;913.489478;469.542086;41.017181;69.664787;1.666951;1.698429;0.588779;0.573500;235.000000;0.808294;213.989000;143.396157;126;159
12;B-11704-x40-06.tif;402;888.335821;562.686567;15.655365;41.649222;2.079063;2.660380;0.375886;0.295068;118.000000;0.926666;102.483000;139.721393;129;150
13;B-11704-x40-06.tif;2319;1001.679603;277.671841;33.161106;102.416609;2.147992;3.088456;0.323786;0.281495;551.000000;0.946130;250.191000;149.767141;132;169
14;B-11704-x40-06.tif;588;999.702381;714.484694;14.989589;58.633069;2.455072;3.911586;0.255651;0.217772;149.000000;0.966769;134.687000;143.603741;124;157
15;B-11704-x40-06.tif;2099;1016.456408;437.102430;49.471195;60.474566;1.933948;1.222420;0.818050;0.730764;474.000000;0.575148;225.857000;148.094807;128;164
16;B-11704-x40-06.tif;450;1015.746667;387.642222;21.560038;36.071054;2.248274;1.673052;0.597710;0.440357;134.000000;0.801712;112.755000;147.871111;133;163
17;B-11704-x40-06.tif;897;1069.096990;768.476031;25.618000;45.829599;1.203237;1.788961;0.558984;0.543764;63.000000;0.829179;116.460000;147.012263;123;175
18;B-11704-x40-06.tif;769;1092.074122;789.877763;30.823342;34.496356;1.394372;1.119163;0.893525;0.822792;112.000000;0.449014;116.080000;136.423927;126;150
19;B-11704-x40-06.tif;611;1114.895254;385.045827;24.174248;38.502676;1.854560;1.592714;0.627859;0.524771;141.000000;0.778327;119.329000;137.019640;128;147
20;B-11704-x40-06.tif;444;1167.049550;299.952703;19.629334;30.139940;1.338894;1.535454;0.651273;0.622312;49.000000;0.758843;86.431000;140.421171;127;151
21;B-11704-x40-06.tif;307;1225.442997;240.885993;17.594891;28.407330;1.600004;1.614521;0.619379;0.484382;75.000000;0.785092;78.566000;138.824104;129;149
22;B-11704-x40-06.tif;606;1253.275578;811.298680;27.922996;48.780784;3.023554;1.746975;0.572418;0.324254;418.000000;0.819962;151.740000;135.610561;125;144
23;B-11704-x40-06.tif;611;1301.234043;629.080196;14.949713;72.011231;3.300215;4.816897;0.207603;0.150021;294.000000;0.978213;159.183000;137.132570;128;148
24;B-11704-x40-06.tif;1947;1462.064201;772.065742;32.931081;80.383074;1.559321;2.440948;0.409677;0.383660;244.000000;0.912231;195.324000;140.137648;127;154
