No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11704-x40-08.tif;1058;58.616257;72.653119;30.814994;43.921621;1.004430;1.425333;0.701591;0.698295;20.000000;0.712580;115.560000;153.599244;113;224
2;B-11704-x40-08.tif;1241;94.041096;376.589847;33.787844;49.086966;1.222127;1.452800;0.688326;0.655767;103.000000;0.725401;138.054000;169.041902;124;211
3;B-11704-x40-08.tif;1233;125.895377;307.872668;27.402266;57.569592;1.186522;2.100906;0.475985;0.473682;38.000000;0.879453;135.589000;165.282238;135;214
4;B-11704-x40-08.tif;984;125.215447;189.898374;32.853366;38.737920;1.002566;1.179116;0.848093;0.834896;27.000000;0.529847;111.342000;153.928862;76;233
5;B-11704-x40-08.tif;1479;195.818120;344.085869;42.301351;45.603056;1.148493;1.078052;0.927599;0.905504;97.000000;0.373577;146.101000;178.148073;150;220
6;B-11704-x40-08.tif;1435;207.137979;281.567247;37.991406;48.321332;1.075344;1.271902;0.786224;0.782500;50.000000;0.617941;139.253000;178.151916;147;209
7;B-11704-x40-08.tif;985;231.362437;115.876142;33.547556;37.703380;0.977586;1.123879;0.889776;0.882238;22.000000;0.456398;110.002000;146.503553;93;226
8;B-11704-x40-08.tif;1313;245.849200;309.163747;35.505645;47.692671;1.111518;1.343242;0.744468;0.734973;76.000000;0.667659;135.424000;178.115004;148;213
9;B-11704-x40-08.tif;1238;266.981422;744.665590;28.805022;55.525588;1.163793;1.927636;0.518770;0.511263;55.000000;0.854914;134.556000;163.599354;117;224
10;B-11704-x40-08.tif;984;292.555894;164.681911;25.988503;49.581521;1.216987;1.907825;0.524157;0.509642;49.000000;0.851622;122.672000;142.522358;94;225
11;B-11704-x40-08.tif;1184;321.483108;310.057432;24.404723;63.577299;1.414236;2.605123;0.383859;0.372956;38.000000;0.923392;145.058000;163.581926;126;213
