No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11704-x40-08.tif;827;58.785973;73.805320;27.901970;38.115425;1.037742;1.366048;0.732039;0.724793;22.000000;0.681263;103.849000;83.030230;55;100
2;B-11704-x40-08.tif;806;123.719603;307.115385;23.306799;44.662548;1.340973;1.916288;0.521842;0.514468;60.000000;0.853042;116.542000;93.325062;76;100
3;B-11704-x40-08.tif;799;125.899875;188.878598;28.752084;36.178374;1.052150;1.258287;0.794731;0.777247;30.000000;0.606962;102.782000;89.181477;24;100
4;B-11704-x40-08.tif;1636;143.746333;747.569682;41.723086;53.053004;1.377863;1.271550;0.786442;0.740071;218.000000;0.617665;168.306000;84.537286;52;100
5;B-11704-x40-08.tif;1202;218.900998;746.800333;36.166362;42.781759;1.048790;1.182916;0.845369;0.836175;51.000000;0.534183;125.864000;88.381032;65;100
6;B-11704-x40-08.tif;862;231.171694;115.889791;31.066214;35.672526;0.971953;1.148274;0.870872;0.862481;19.000000;0.491509;102.608000;84.635731;31;100
7;B-11704-x40-08.tif;822;292.430657;164.920925;23.240072;46.665705;1.242405;2.007985;0.498012;0.480603;45.000000;0.867170;113.285000;80.115572;38;100
8;B-11704-x40-08.tif;762;390.329396;459.679790;28.339584;34.416632;0.982624;1.214437;0.823427;0.819084;23.000000;0.567422;97.001000;79.595801;32;100
9;B-11704-x40-08.tif;808;576.876238;334.967822;27.958178;37.334887;1.026588;1.335383;0.748849;0.738060;23.000000;0.662741;102.096000;86.610149;56;100
10;B-11704-x40-08.tif;656;615.478659;333.038110;28.106239;30.762146;1.110479;1.094495;0.913663;0.882634;54.000000;0.406472;95.678000;85.681402;59;100
11;B-11704-x40-08.tif;633;649.443918;499.658768;24.046466;33.835110;1.012212;1.407072;0.710696;0.704010;21.000000;0.703500;89.731000;75.363349;0;100
12;B-11704-x40-08.tif;662;652.197885;535.067976;24.470421;34.975672;1.066068;1.429304;0.699641;0.689027;30.000000;0.714494;94.173000;76.503021;27;100
13;B-11704-x40-08.tif;672;659.744048;441.620536;24.223733;38.222738;1.299780;1.577905;0.633752;0.585647;76.000000;0.773536;104.767000;77.127976;47;100
14;B-11704-x40-08.tif;960;677.990625;471.948958;30.051407;42.746577;1.205389;1.422448;0.703013;0.668927;86.000000;0.711177;120.588000;80.833333;41;100
15;B-11704-x40-08.tif;670;675.025373;509.680597;25.583560;33.857972;1.092349;1.323427;0.755614;0.744154;29.000000;0.655017;95.901000;86.429851;66;100
16;B-11704-x40-08.tif;772;703.441710;499.747409;28.561119;34.868057;1.045922;1.220822;0.819120;0.808485;32.000000;0.573622;100.731000;80.397668;63;100
17;B-11704-x40-08.tif;765;705.100654;641.958170;27.827958;35.806199;1.038565;1.286699;0.777183;0.759723;19.000000;0.629275;99.920000;72.307190;13;100
18;B-11704-x40-08.tif;582;734.898625;499.056701;28.416122;35.094848;2.280813;1.235033;0.809695;0.601653;171.000000;0.586851;129.155000;90.896907;74;100
19;B-11704-x40-08.tif;737;750.544098;632.161465;26.181641;36.004700;1.017507;1.375189;0.727173;0.723868;23.000000;0.686454;97.075000;78.173677;52;100
20;B-11704-x40-08.tif;798;789.189223;341.686717;27.573723;37.197740;1.034226;1.349029;0.741274;0.734311;23.000000;0.671202;101.839000;85.637845;59;100
21;B-11704-x40-08.tif;648;782.887346;619.867284;20.003584;44.673177;1.581555;2.233259;0.447776;0.413420;87.000000;0.894146;113.484000;72.191358;30;100
