No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-02.tif;1691;19.824956;778.933176;37.712735;57.420472;1.100880;1.522575;0.656782;0.653011;48.000000;0.754080;152.949000;84.388527;41;155
2;B-11865-x40-02.tif;1679;34.478261;239.731388;40.526467;53.125571;1.076138;1.310886;0.762843;0.757449;70.000000;0.646584;150.683000;86.924360;41;163
3;B-11865-x40-02.tif;1738;38.599540;618.086306;39.316681;57.192572;1.169536;1.454664;0.687444;0.676520;81.000000;0.726238;159.822000;90.868815;65;152
4;B-11865-x40-02.tif;1847;44.253925;523.902003;46.077487;51.206864;1.009203;1.111321;0.899830;0.896852;41.000000;0.436240;153.048000;82.598267;37;178
5;B-11865-x40-02.tif;1711;44.061952;120.003507;40.035567;54.558055;1.030324;1.362740;0.733816;0.731884;40.000000;0.679348;148.839000;82.914085;44;160
6;B-11865-x40-02.tif;1965;48.970483;366.787277;46.680534;53.738378;1.018954;1.151195;0.868663;0.866370;52.000000;0.495404;158.622000;85.118066;28;162
7;B-11865-x40-02.tif;1712;58.530958;741.525701;40.312870;55.936707;1.331618;1.387565;0.720687;0.696659;150.000000;0.693260;169.257000;86.727220;49;149
8;B-11865-x40-02.tif;1499;60.397598;175.344897;42.109732;46.068790;1.243884;1.094018;0.914062;0.899287;78.000000;0.405574;153.072000;88.082055;42;171
9;B-11865-x40-02.tif;2819;74.548067;663.009933;43.848021;82.928694;1.249573;1.891276;0.528744;0.521910;195.000000;0.848782;210.394000;80.395885;46;159
10;B-11865-x40-02.tif;1726;71.889340;58.714948;40.819696;53.983116;1.011170;1.322477;0.756157;0.754111;37.000000;0.654391;148.094000;81.885284;29;165
11;B-11865-x40-02.tif;1831;78.518842;284.931731;40.037463;58.795007;1.195093;1.468500;0.680967;0.674400;86.000000;0.732314;165.825000;87.429820;47;166
12;B-11865-x40-02.tif;1736;80.539171;421.026498;43.748996;50.661905;1.014695;1.158013;0.863548;0.861186;38.000000;0.504266;148.781000;82.418203;16;168
13;B-11865-x40-02.tif;3037;104.396773;467.782680;50.634028;84.869310;1.368351;1.676132;0.596612;0.536851;405.000000;0.802530;228.521000;79.086928;29;171
14;B-11865-x40-02.tif;1662;91.921781;586.783394;43.674090;48.736327;1.073939;1.115909;0.896130;0.890914;63.000000;0.443791;149.765000;85.524067;42;165
15;B-11865-x40-02.tif;1817;96.032471;516.755641;44.324248;52.447430;1.014369;1.183267;0.845118;0.841040;39.000000;0.534580;152.188000;84.566868;40;172
16;B-11865-x40-02.tif;1782;96.682941;206.011223;38.416300;59.422742;1.167955;1.546811;0.646492;0.642558;70.000000;0.762921;161.723000;85.496633;39;162
