No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-02.tif;1793;34.119353;238.470162;42.251196;54.175527;1.003628;1.282225;0.779895;0.777829;37.000000;0.625911;150.377000;69.060234;35;100
2;B-11865-x40-02.tif;1774;43.910936;119.468433;41.081166;55.058913;1.000596;1.340247;0.746131;0.745090;31.000000;0.665799;149.352000;68.614994;42;100
3;B-11865-x40-02.tif;2028;47.852071;365.920611;47.211469;54.771959;0.985147;1.160141;0.861964;0.860719;38.000000;0.506969;158.449000;69.154832;33;100
4;B-11865-x40-02.tif;1786;79.842105;420.054871;44.372744;51.323778;0.985956;1.156651;0.864565;0.863285;31.000000;0.502521;148.756000;65.574468;13;100
5;B-11865-x40-02.tif;1803;90.172490;585.572934;46.668126;49.275648;0.972214;1.055874;0.947083;0.945456;30.000000;0.320989;148.417000;67.032723;35;100
6;B-11865-x40-02.tif;1716;104.030303;342.213869;44.631271;49.055818;0.972698;1.099136;0.909806;0.907917;25.000000;0.415034;144.828000;64.069347;39;100
7;B-11865-x40-02.tif;1764;126.450680;631.909864;46.809428;48.069499;0.978156;1.026919;0.973786;0.972007;30.000000;0.227464;147.251000;68.645692;34;100
8;B-11865-x40-02.tif;1759;160.035247;527.229107;44.169826;50.769676;0.989000;1.149420;0.870004;0.868895;37.000000;0.493044;147.855000;67.681069;27;100
9;B-11865-x40-02.tif;1811;168.122584;54.720596;41.925887;55.167313;1.006805;1.315829;0.759977;0.757643;34.000000;0.649950;151.369000;67.077305;36;100
10;B-11865-x40-02.tif;2087;170.832774;457.675611;40.560840;65.655894;1.089471;1.618702;0.617779;0.616432;52.000000;0.786352;169.034000;71.712506;37;100
11;B-11865-x40-02.tif;1644;189.069951;382.924574;44.646934;46.955694;0.971366;1.051712;0.950831;0.949370;33.000000;0.309710;141.660000;63.914234;40;100
12;B-11865-x40-02.tif;1608;207.959577;433.181592;43.566312;47.053053;0.971319;1.080033;0.925898;0.924742;32.000000;0.377774;140.097000;63.031095;24;100
13;B-11865-x40-02.tif;1857;226.486807;488.151319;45.381328;52.173544;0.974162;1.149670;0.869815;0.868603;31.000000;0.493378;150.774000;67.278406;39;100
14;B-11865-x40-02.tif;2013;238.285643;355.861401;49.330944;52.040458;0.977823;1.054925;0.947934;0.946393;34.000000;0.318465;157.274000;68.877794;28;100
15;B-11865-x40-02.tif;1874;254.794023;416.073106;42.908097;55.789084;1.010531;1.300199;0.769113;0.766622;32.000000;0.639113;154.264000;69.819104;35;100
16;B-11865-x40-02.tif;1806;281.131783;574.171650;46.004957;50.038253;0.977858;1.087671;0.919396;0.918382;32.000000;0.393334;148.971000;72.119601;48;100
17;B-11865-x40-02.tif;1688;294.825829;188.084716;42.558817;50.640245;0.988259;1.189888;0.840415;0.838091;31.000000;0.541944;144.786000;64.090640;14;100
18;B-11865-x40-02.tif;1872;319.794872;454.424145;43.984491;54.273296;0.990787;1.233919;0.810426;0.809177;35.000000;0.585841;152.668000;72.166667;31;100
19;B-11865-x40-02.tif;1923;398.396776;322.065523;47.959377;51.096924;0.965243;1.065421;0.938596;0.937778;27.000000;0.345018;152.726000;67.145086;33;100
20;B-11865-x40-02.tif;2267;510.290693;36.608293;53.089279;54.457504;1.003264;1.025772;0.974875;0.973299;47.000000;0.222751;169.059000;71.223202;27;100
21;B-11865-x40-02.tif;1844;544.418655;355.473970;43.842417;53.750224;1.039673;1.225987;0.815669;0.812663;44.000000;0.578518;155.215000;63.775488;39;100
22;B-11865-x40-02.tif;1986;579.674723;627.109265;46.667738;54.298202;1.003139;1.163506;0.859471;0.857667;39.000000;0.511184;158.225000;68.925478;39;100
23;B-11865-x40-02.tif;1903;583.729375;514.853915;48.239503;50.318228;0.986827;1.043092;0.958688;0.956970;38.000000;0.284458;153.619000;71.339464;37;100
24;B-11865-x40-02.tif;1977;592.344967;385.582195;48.825492;51.615867;0.986017;1.057150;0.945940;0.944823;34.000000;0.324343;156.513000;66.273141;35;100
25;B-11865-x40-02.tif;1461;649.896646;319.979466;40.731690;45.714993;0.970710;1.122345;0.890992;0.890109;21.000000;0.454019;133.498000;60.804928;32;100
26;B-11865-x40-02.tif;1777;707.581880;497.935847;45.891574;49.385692;0.981062;1.076139;0.929248;0.927674;29.000000;0.369456;148.012000;69.778278;41;100
27;B-11865-x40-02.tif;1901;738.691741;302.858496;48.680684;49.803925;0.972505;1.023074;0.977447;0.975810;29.000000;0.211182;152.420000;66.547080;40;100
28;B-11865-x40-02.tif;2155;746.635267;378.078886;48.754611;56.338998;0.986765;1.155562;0.865379;0.864449;34.000000;0.501117;163.469000;69.845012;31;100
29;B-11865-x40-02.tif;1997;761.997496;246.544316;46.853291;54.377150;0.997311;1.160583;0.861636;0.859915;31.000000;0.507527;158.201000;66.033550;37;100
30;B-11865-x40-02.tif;2002;786.087912;349.883616;45.286633;56.369682;0.993990;1.244731;0.803386;0.802201;33.000000;0.595458;158.135000;66.418581;28;100
31;B-11865-x40-02.tif;1812;832.578366;338.842715;42.961702;53.952775;1.020392;1.255834;0.796283;0.792576;47.000000;0.604924;152.429000;62.045806;13;100
32;B-11865-x40-02.tif;1938;838.341073;180.630547;45.555706;54.647731;1.012038;1.199580;0.833625;0.826266;37.000000;0.552331;156.993000;65.632611;31;100
33;B-11865-x40-02.tif;2154;847.826834;295.422006;48.384807;56.771161;0.999752;1.173326;0.852278;0.850943;44.000000;0.523089;164.503000;66.806871;37;100
34;B-11865-x40-02.tif;1947;847.779661;396.127889;48.507355;51.186468;0.978806;1.055231;0.947660;0.946163;36.000000;0.319282;154.752000;66.038521;41;100
35;B-11865-x40-02.tif;2140;869.185514;77.771028;51.660582;52.825066;0.977662;1.022541;0.977956;0.976436;31.000000;0.208812;162.146000;65.248131;36;100
36;B-11865-x40-02.tif;2047;877.495359;140.021495;49.815624;52.403209;0.969387;1.051943;0.950622;0.949100;30.000000;0.310352;157.911000;65.343429;31;100
37;B-11865-x40-02.tif;2057;889.673797;358.662129;49.711068;52.726220;0.975517;1.060654;0.942815;0.942087;35.000000;0.333317;158.796000;66.482256;15;100
38;B-11865-x40-02.tif;2004;900.830339;615.292914;46.493606;54.947919;0.981602;1.181838;0.846140;0.845095;33.000000;0.532961;157.225000;67.882236;35;100
39;B-11865-x40-02.tif;2093;933.844720;157.002389;49.189469;54.263706;0.989544;1.103157;0.906489;0.905025;39.000000;0.422229;161.327000;64.954611;40;100
40;B-11865-x40-02.tif;1963;954.420275;376.623535;46.573971;53.741557;0.977691;1.153897;0.866629;0.865386;27.000000;0.498954;155.298000;68.124300;37;100
41;B-11865-x40-02.tif;1777;952.394485;478.701182;44.545462;50.852748;0.977116;1.141592;0.875970;0.874921;28.000000;0.482366;147.714000;64.660101;21;100
42;B-11865-x40-02.tif;1916;961.651879;204.253132;47.635180;51.359180;0.992086;1.078178;0.927491;0.924846;35.000000;0.373845;154.553000;61.876305;19;100
43;B-11865-x40-02.tif;1949;977.673679;323.694715;48.227364;51.509114;0.970713;1.068047;0.936288;0.935306;27.000000;0.351233;154.190000;66.676757;20;100
44;B-11865-x40-02.tif;2269;990.962979;152.509916;50.352169;57.635933;1.019720;1.144656;0.873625;0.869677;46.000000;0.486601;170.515000;66.896430;26;100
45;B-11865-x40-02.tif;1964;1054.237271;574.044807;42.295557;59.247392;1.009624;1.400795;0.713880;0.712382;24.000000;0.700268;157.854000;68.152749;33;100
46;B-11865-x40-02.tif;1803;1072.274542;374.656129;46.314799;49.629655;0.972974;1.071572;0.933208;0.932016;29.000000;0.359336;148.475000;63.747088;24;100
47;B-11865-x40-02.tif;1970;1163.362944;114.735533;48.784958;51.478445;0.974116;1.055211;0.947677;0.946511;25.000000;0.319230;155.290000;62.670051;15;100
48;B-11865-x40-02.tif;2082;1170.146013;525.459174;47.263439;56.235143;1.007043;1.189823;0.840461;0.838253;40.000000;0.541872;162.319000;68.675793;28;100
49;B-11865-x40-02.tif;2018;1194.411298;217.102577;49.745332;51.708418;0.970692;1.039463;0.962035;0.960968;27.000000;0.272924;156.894000;66.372646;30;100
50;B-11865-x40-02.tif;1944;1211.533951;774.466564;43.313913;57.232328;1.004986;1.321338;0.756809;0.755655;38.000000;0.653637;156.687000;72.718107;36;100
51;B-11865-x40-02.tif;1805;1215.899169;353.633795;44.159784;52.106457;0.981016;1.179953;0.847492;0.846456;30.000000;0.530809;149.170000;66.790028;32;100
52;B-11865-x40-02.tif;1875;1285.792000;33.081600;44.888813;53.435883;1.009887;1.190405;0.840050;0.836075;40.000000;0.542509;154.256000;63.910933;17;100
53;B-11865-x40-02.tif;1938;1319.790506;67.040248;47.022307;52.615681;1.011291;1.118952;0.893694;0.891320;49.000000;0.448677;156.935000;64.156347;30;100
54;B-11865-x40-02.tif;1894;1326.102429;224.954593;45.076295;53.551936;0.986926;1.188029;0.841730;0.840891;34.000000;0.539898;153.263000;64.429250;31;100
55;B-11865-x40-02.tif;1686;1345.798932;272.813167;41.655294;51.622972;0.990689;1.239290;0.806914;0.805530;32.000000;0.590669;144.878000;62.998814;31;100
56;B-11865-x40-02.tif;2027;1358.690676;675.769610;50.383208;51.292302;0.996875;1.018044;0.982276;0.980978;43.000000;0.187439;159.350000;70.219043;19;100
57;B-11865-x40-02.tif;1958;1365.935138;625.090398;44.496285;56.305126;1.047711;1.265389;0.790271;0.786370;38.000000;0.612758;160.558000;68.703269;48;100
58;B-11865-x40-02.tif;1766;1388.871461;158.812571;38.730167;58.278339;1.027841;1.504727;0.664572;0.662043;24.000000;0.747224;151.030000;60.707814;14;100
59;B-11865-x40-02.tif;1877;1393.063932;202.432072;45.011881;53.195670;0.987074;1.181814;0.846157;0.844543;30.000000;0.532934;152.585000;64.127331;19;100
60;B-11865-x40-02.tif;1659;1394.527426;119.308620;43.050098;49.292505;1.018675;1.145003;0.873360;0.869350;40.000000;0.487075;145.729000;60.494274;21;100
61;B-11865-x40-02.tif;1895;1409.395778;446.584697;46.620703;51.942119;1.007811;1.114143;0.897551;0.894293;47.000000;0.440911;154.917000;61.950396;36;100
62;B-11865-x40-02.tif;1638;1449.905983;44.224054;37.386188;56.154069;1.043948;1.502000;0.665779;0.661396;26.000000;0.746149;146.589000;59.093407;25;100
63;B-11865-x40-02.tif;1933;1465.877910;104.630626;45.729680;53.900184;0.991804;1.178670;0.848414;0.847152;33.000000;0.529333;155.215000;61.520952;27;100
64;B-11865-x40-02.tif;1495;1481.187291;411.592642;29.929831;64.185585;1.210560;2.144535;0.466301;0.462037;49.000000;0.884626;150.806000;59.527759;25;100
65;B-11865-x40-02.tif;1320;1508.721212;695.401515;36.760491;45.875137;1.004354;1.247947;0.801316;0.798600;29.000000;0.598241;129.073000;51.980303;19;100
66;B-11865-x40-02.tif;1995;1523.284712;95.592481;50.123164;50.737331;0.979607;1.012253;0.987895;0.986729;33.000000;0.155123;156.712000;63.892732;36;100
67;B-11865-x40-02.tif;1705;1547.449267;282.150733;38.801133;56.018888;1.034172;1.443744;0.692644;0.691776;34.000000;0.721280;148.855000;54.028739;23;100
