No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-02.tif;1892;34.567653;239.082452;43.567069;55.404393;1.000061;1.271703;0.786347;0.784771;29.000000;0.617785;154.198000;119.561311;77;190
2;B-11865-x40-02.tif;1989;43.979889;523.553544;47.634261;53.243389;0.986189;1.117754;0.894651;0.893333;30.000000;0.446765;157.001000;115.706888;80;195
3;B-11865-x40-02.tif;1868;44.685225;119.678801;42.722986;55.777715;1.018132;1.305567;0.765951;0.764479;38.000000;0.642899;154.595000;116.191649;84;186
4;B-11865-x40-02.tif;2104;48.413023;366.307034;48.191708;55.671050;0.992662;1.155200;0.865651;0.864365;34.000000;0.500648;162.005000;117.140209;71;184
5;B-11865-x40-02.tif;1846;60.897616;172.491333;43.920517;53.669260;0.990211;1.221963;0.818355;0.816001;31.000000;0.574713;151.560000;121.655471;82;190
6;B-11865-x40-02.tif;1859;80.494890;420.627757;45.575849;51.991239;0.984675;1.140763;0.876606;0.875647;29.000000;0.481208;151.667000;114.781603;52;191
7;B-11865-x40-02.tif;1882;90.550478;586.352816;47.521259;50.515564;0.975195;1.063010;0.940725;0.939030;27.000000;0.339170;151.866000;118.069075;82;193
8;B-11865-x40-02.tif;1973;96.745058;205.919919;40.870398;61.548265;1.061814;1.505937;0.664038;0.663141;47.000000;0.747699;162.253000;118.871769;84;187
9;B-11865-x40-02.tif;1800;104.546667;342.659444;46.090923;49.846193;0.993021;1.081475;0.924663;0.922399;32.000000;0.380787;149.872000;111.391111;79;180
10;B-11865-x40-02.tif;2149;120.675198;105.655188;47.942489;57.168820;0.986314;1.192446;0.838613;0.837198;35.000000;0.544728;163.204000;130.649604;81;195
11;B-11865-x40-02.tif;2205;171.657596;458.370522;42.075305;66.857983;1.073877;1.589008;0.629324;0.628076;51.000000;0.777143;172.499000;120.071202;87;196
12;B-11865-x40-02.tif;1723;189.873476;383.427742;45.790417;47.952990;0.976279;1.047228;0.954902;0.954034;30.000000;0.296920;145.390000;111.185142;79;190
13;B-11865-x40-02.tif;1663;208.920024;433.686711;44.198654;47.975260;0.992034;1.085446;0.921280;0.919957;36.000000;0.388900;143.984000;109.020445;59;181
14;B-11865-x40-02.tif;1935;227.068217;488.633592;46.671335;52.867658;0.992145;1.132765;0.882796;0.881477;38.000000;0.469757;155.322000;113.365375;81;192
15;B-11865-x40-02.tif;2001;255.734633;416.284858;44.449578;57.448888;1.021598;1.292451;0.773724;0.771959;39.000000;0.633523;160.276000;119.050975;77;200
16;B-11865-x40-02.tif;2037;277.497300;510.553265;47.602574;54.581332;0.999515;1.146605;0.872140;0.870588;34.000000;0.489256;159.954000;119.335788;80;190
17;B-11865-x40-02.tif;1916;281.586639;574.739562;47.368741;51.560389;0.992305;1.088490;0.918704;0.917642;43.000000;0.394946;154.570000;122.047495;89;193
18;B-11865-x40-02.tif;2074;292.804243;374.010125;48.122880;54.971959;0.996147;1.142325;0.875408;0.873849;41.000000;0.483385;161.128000;117.536644;75;200
19;B-11865-x40-02.tif;1998;304.755255;643.314815;46.232768;55.089326;0.983198;1.191565;0.839233;0.838244;32.000000;0.543772;157.117000;128.498999;87;192
20;B-11865-x40-02.tif;1978;320.424671;454.850354;45.106916;55.894964;0.996910;1.239166;0.806994;0.806104;35.000000;0.590559;157.415000;122.176946;89;196
21;B-11865-x40-02.tif;1843;348.218665;192.680412;46.235763;50.809547;0.983933;1.098923;0.909982;0.908960;37.000000;0.414648;150.956000;122.117200;71;195
22;B-11865-x40-02.tif;2014;399.347071;322.480636;49.241138;52.135260;0.999874;1.058774;0.944488;0.943423;40.000000;0.328545;159.077000;110.967229;81;178
23;B-11865-x40-02.tif;2401;510.052478;37.003748;54.813096;55.836222;0.971621;1.018666;0.981676;0.980551;31.000000;0.190556;171.218000;117.871720;68;180
24;B-11865-x40-02.tif;2276;566.482425;73.307557;53.561297;54.229335;0.985079;1.012472;0.987681;0.985403;34.000000;0.156479;167.852000;119.712654;59;199
25;B-11865-x40-02.tif;2123;579.552049;627.917569;47.993314;56.548992;1.032261;1.178268;0.848703;0.845299;47.000000;0.528869;165.949000;114.412624;77;191
26;B-11865-x40-02.tif;2100;646.148571;376.478095;49.889463;53.687763;1.005337;1.076134;0.929252;0.927639;45.000000;0.369446;162.881000;110.993810;70;186
27;B-11865-x40-02.tif;1522;649.430355;320.375821;41.322876;46.956939;0.987446;1.136342;0.880016;0.878871;29.000000;0.474943;137.426000;104.484888;76;182
28;B-11865-x40-02.tif;1890;707.327513;498.516931;47.806004;50.466497;0.975728;1.055652;0.947282;0.944856;24.000000;0.320401;152.230000;120.915344;85;194
29;B-11865-x40-02.tif;1989;738.210659;303.356461;49.902877;50.828783;0.981321;1.018554;0.981784;0.980224;31.000000;0.190001;156.613000;109.619407;77;175
30;B-11865-x40-02.tif;2090;785.756459;350.300000;46.560276;57.252677;1.000027;1.229646;0.813242;0.811829;34.000000;0.581926;162.063000;107.514833;63;167
31;B-11865-x40-02.tif;2045;847.588753;396.598533;49.904715;52.238821;0.985027;1.046771;0.955319;0.954150;35.000000;0.295578;159.102000;109.192665;82;176
32;B-11865-x40-02.tif;2130;864.390610;444.907512;46.392076;58.571404;0.997028;1.262530;0.792060;0.790530;38.000000;0.610443;163.361000;113.919718;79;181
33;B-11865-x40-02.tif;2131;877.189113;140.259503;50.976428;53.300273;0.980581;1.045587;0.956401;0.955069;35.000000;0.292057;162.046000;105.485218;64;175
34;B-11865-x40-02.tif;2255;879.282040;560.852772;49.022845;58.640505;1.009784;1.196187;0.835989;0.834952;50.000000;0.548745;169.158000;114.329047;65;176
35;B-11865-x40-02.tif;2313;889.386943;498.383485;50.064329;58.889227;0.980336;1.176271;0.850144;0.849208;35.000000;0.526550;168.803000;116.480761;80;191
36;B-11865-x40-02.tif;2451;935.080783;793.022848;48.926477;63.912883;1.026304;1.306305;0.765518;0.763971;54.000000;0.643414;177.793000;118.389637;62;187
37;B-11865-x40-02.tif;2059;954.263235;377.319087;47.981623;54.715359;0.986994;1.140340;0.876932;0.875685;34.000000;0.480615;159.805000;113.370083;73;182
38;B-11865-x40-02.tif;1859;951.952663;479.327595;45.792818;51.760365;0.983066;1.130316;0.884708;0.883476;33.000000;0.466145;151.543000;112.386767;78;202
39;B-11865-x40-02.tif;2030;977.572906;324.130049;49.272242;52.512476;0.978842;1.065762;0.938296;0.937306;25.000000;0.345833;158.019000;108.813300;53;171
40;B-11865-x40-02.tif;2203;992.994553;779.404902;48.738189;57.677207;0.998555;1.183409;0.845016;0.843172;37.000000;0.534740;166.264000;121.998184;77;196
41;B-11865-x40-02.tif;2077;1054.101589;574.793452;43.769565;60.507156;1.024962;1.382403;0.723378;0.722326;38.000000;0.690452;163.560000;116.182956;72;195
42;B-11865-x40-02.tif;2200;1092.608636;263.239545;50.734755;55.276386;0.989109;1.089517;0.917838;0.916755;44.000000;0.396956;165.363000;111.741818;68;181
43;B-11865-x40-02.tif;2196;1150.945811;371.541894;45.861119;61.116491;1.021366;1.332643;0.750389;0.748558;39.000000;0.660997;167.885000;121.540073;80;186
44;B-11865-x40-02.tif;2226;1187.646900;629.349955;49.893351;56.886420;0.979709;1.140160;0.877070;0.875826;34.000000;0.480363;165.545000;116.337826;74;178
45;B-11865-x40-02.tif;1910;1216.055497;354.154450;45.747259;53.218309;0.984914;1.163311;0.859615;0.858660;34.000000;0.510942;153.752000;114.565969;70;203
46;B-11865-x40-02.tif;2014;1222.653426;303.006455;49.713026;51.679025;1.026460;1.039547;0.961958;0.960154;47.000000;0.273199;161.178000;110.491063;69;185
47;B-11865-x40-02.tif;1989;1326.182504;225.305681;46.191606;54.894733;0.983076;1.188414;0.841458;0.840395;35.000000;0.540323;156.753000;107.397687;63;176
48;B-11865-x40-02.tif;2051;1329.518284;176.152121;46.732760;55.993678;0.997726;1.198168;0.834608;0.832909;38.000000;0.550845;160.359000;106.456363;67;178
49;B-11865-x40-02.tif;1749;1345.946255;273.285306;42.199329;52.871805;0.996768;1.252906;0.798144;0.796621;31.000000;0.602466;148.012000;108.702687;70;191
50;B-11865-x40-02.tif;1952;1393.420082;202.772029;46.133251;53.980768;0.984556;1.170105;0.854624;0.852927;29.000000;0.519248;155.405000;104.692623;56;181
51;B-11865-x40-02.tif;1941;1399.873261;252.446162;45.435847;54.466261;0.992673;1.198751;0.834202;0.833068;36.000000;0.551459;155.604000;103.886656;67;185
52;B-11865-x40-02.tif;1864;1481.177575;366.208155;44.686708;53.222753;0.984392;1.191020;0.839617;0.837841;29.000000;0.543179;151.849000;110.875536;60;203
53;B-11865-x40-02.tif;1373;1509.164603;696.067735;37.547750;46.696927;0.999527;1.243668;0.804073;0.801686;25.000000;0.594530;131.322000;90.479243;52;157
