No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-02.tif;1670;19.874850;779.020958;37.468688;57.136886;1.104731;1.524924;0.655771;0.651319;55.000000;0.754960;152.262000;0.406054;1.891394e-01;1.147954e+00
2;B-11865-x40-02.tif;1650;34.396970;239.610909;40.031941;52.912330;1.092887;1.321753;0.756571;0.750378;69.000000;0.653911;150.534000;0.419270;1.704009e-01;1.166297e+00
3;B-11865-x40-02.tif;1720;38.618605;618.061628;39.067392;57.027685;1.179085;1.459726;0.685060;0.673391;88.000000;0.728487;159.640000;0.445222;2.797190e-01;1.088289e+00
4;B-11865-x40-02.tif;1819;43.981308;523.853766;45.643341;50.934559;1.014799;1.115925;0.896117;0.892725;40.000000;0.443817;152.304000;0.394648;1.826717e-01;1.324476e+00
5;B-11865-x40-02.tif;1698;44.070082;119.933451;39.738517;54.651945;1.074048;1.375289;0.727120;0.723830;58.000000;0.686510;151.386000;0.399509;2.015461e-01;1.194647e+00
6;B-11865-x40-02.tif;1929;48.935200;366.682219;45.956281;53.613755;1.024378;1.166625;0.857173;0.854456;55.000000;0.515028;157.580000;0.413583;1.419396e-01;1.220201e+00
7;B-11865-x40-02.tif;1682;58.379905;741.486326;39.778172;55.865743;1.358413;1.404432;0.712032;0.686191;169.000000;0.702147;169.447000;0.419015;2.182316e-01;1.077487e+00
8;B-11865-x40-02.tif;1489;60.222968;175.210208;41.765727;46.163125;1.239688;1.105287;0.904742;0.889640;83.000000;0.425960;152.303000;0.429840;1.893403e-01;1.341524e+00
9;B-11865-x40-02.tif;2759;74.329467;662.640087;43.053894;82.804286;1.306324;1.923271;0.519948;0.512338;189.000000;0.854198;212.817000;0.369195;1.851818e-01;1.086336e+00
10;B-11865-x40-02.tif;1686;71.582444;58.878410;40.149445;53.661648;1.029269;1.336548;0.748196;0.745486;44.000000;0.663477;147.672000;0.385016;1.600290e-01;1.253674e+00
11;B-11865-x40-02.tif;1778;78.035996;284.800900;38.872453;59.341733;1.354868;1.526575;0.655061;0.642867;111.000000;0.755576;173.988000;0.422787;1.972444e-01;1.237312e+00
12;B-11865-x40-02.tif;1727;80.374059;420.817024;43.442369;50.791303;1.044160;1.169165;0.855311;0.852361;47.000000;0.518115;150.534000;0.395973;8.142599e-02;1.301408e+00
13;B-11865-x40-02.tif;2927;104.486505;467.793304;50.160254;83.789670;1.478422;1.670439;0.598645;0.530826;434.000000;0.801015;233.193000;0.372919;1.244056e-01;1.352272e+00
14;B-11865-x40-02.tif;1666;91.838535;586.617047;43.833666;48.693484;1.106671;1.110870;0.900196;0.894630;60.000000;0.435486;152.213000;0.414262;1.893497e-01;1.316706e+00
15;B-11865-x40-02.tif;1780;95.918539;516.983708;43.919949;52.025350;1.073837;1.184549;0.844203;0.837337;38.000000;0.536024;154.983000;0.410519;1.734893e-01;1.408982e+00
16;B-11865-x40-02.tif;1721;96.349797;205.860546;37.179021;59.463832;1.304151;1.599392;0.625238;0.619705;99.000000;0.780434;167.942000;0.409516;1.996989e-01;1.228742e+00
17;B-11865-x40-02.tif;1669;105.101258;343.089874;43.603107;48.858747;0.986080;1.120534;0.892432;0.890188;37.000000;0.451182;143.810000;0.369435;1.844179e-01;1.172007e+00
18;B-11865-x40-02.tif;1651;127.493035;633.109025;45.787246;46.181642;1.075731;1.008614;0.991460;0.985640;57.000000;0.130412;149.393000;0.417490;1.819585e-01;1.218707e+00
19;B-11865-x40-02.tif;1913;133.395714;392.945112;47.099023;51.908631;0.988659;1.102117;0.907345;0.903953;39.000000;0.420387;154.165000;0.389189;1.342977e-01;1.183641e+00
20;B-11865-x40-02.tif;1432;132.712291;27.363128;34.873403;53.461572;1.312806;1.533019;0.652308;0.637925;87.000000;0.757954;153.701000;0.434092;1.972877e-01;8.939027e-01
21;B-11865-x40-02.tif;1714;137.518086;224.064761;40.603963;53.944124;1.032864;1.328543;0.752704;0.749951;48.000000;0.658359;149.153000;0.389126;1.795158e-01;1.082106e+00
22;B-11865-x40-02.tif;1866;136.728832;286.875670;45.192068;52.765170;1.026316;1.167576;0.856475;0.853350;50.000000;0.516188;155.132000;0.371598;1.051194e-01;9.432287e-01
