No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-02.tif;1647;19.798421;778.972070;36.969083;57.115294;1.095475;1.544948;0.647271;0.642834;48.000000;0.762260;150.575000;0.575061;3.444956e-02;7.215963e-01
2;B-11865-x40-02.tif;1664;34.638221;239.200120;39.797140;53.497072;1.072405;1.344244;0.743912;0.740293;58.000000;0.668277;149.748000;0.564261;7.716873e-02;7.592709e-01
3;B-11865-x40-02.tif;1690;38.381065;617.737870;38.634358;56.650309;1.188482;1.466319;0.681980;0.670490;92.000000;0.731371;158.871000;0.542093;7.288863e-02;6.676022e-01
4;B-11865-x40-02.tif;1797;44.047858;523.485810;45.364725;50.701201;1.066521;1.117635;0.894747;0.890065;51.000000;0.446574;155.190000;0.576397;-3.396863e-02;7.233745e-01
5;B-11865-x40-02.tif;1673;43.992827;119.849372;39.456536;54.213849;1.072542;1.374014;0.727794;0.724746;50.000000;0.685795;150.162000;0.573738;-1.150104e-02;7.173140e-01
6;B-11865-x40-02.tif;1878;49.130990;366.448349;44.815609;54.209530;1.206581;1.209613;0.826711;0.813681;98.000000;0.562627;168.745000;0.564266;2.290312e-02;7.711973e-01
7;B-11865-x40-02.tif;1671;58.238181;741.210054;39.545645;55.970716;1.355374;1.415345;0.706542;0.679149;165.000000;0.707671;168.703000;0.563251;5.287324e-02;7.276993e-01
8;B-11865-x40-02.tif;1478;59.966847;174.863329;41.160999;46.544208;1.197386;1.130784;0.884342;0.868667;75.000000;0.466840;149.128000;0.559537;-4.084431e-02;7.316359e-01
9;B-11865-x40-02.tif;2781;74.033801;662.078749;43.372232;82.941278;1.260779;1.912313;0.522927;0.514718;194.000000;0.852377;209.906000;0.605528;1.375331e-01;7.736820e-01
10;B-11865-x40-02.tif;1671;71.363854;58.840814;39.875950;53.600983;1.046315;1.344193;0.743941;0.740527;50.000000;0.668246;148.226000;0.589072;1.661821e-02;7.626425e-01
11;B-11865-x40-02.tif;1800;78.267222;284.437778;39.139848;59.202374;1.181608;1.512586;0.661120;0.653890;88.000000;0.750281;163.485000;0.558670;-3.894281e-02;7.279393e-01
12;B-11865-x40-02.tif;1728;80.236690;420.706019;43.500830;50.758875;1.060595;1.166848;0.857009;0.853945;51.000000;0.515301;151.758000;0.579316;-3.588915e-02;8.613538e-01
13;B-11865-x40-02.tif;2868;104.319038;467.947699;49.386049;83.284786;1.489963;1.686403;0.592978;0.526451;460.000000;0.805219;231.730000;0.593803;1.077787e-02;8.205666e-01
14;B-11865-x40-02.tif;1675;91.602388;586.434030;44.164681;48.553314;1.063485;1.099370;0.909612;0.904664;48.000000;0.415459;149.616000;0.570751;-5.501911e-02;7.383720e-01
15;B-11865-x40-02.tif;1740;95.907471;517.302299;43.316161;51.732875;1.110634;1.194309;0.837304;0.827801;44.000000;0.546737;155.835000;0.565955;-7.200243e-02;7.433665e-01
16;B-11865-x40-02.tif;1638;95.724054;205.742979;35.676603;59.474632;1.273100;1.667049;0.599863;0.589604;119.000000;0.800103;161.880000;0.568525;9.621661e-02;7.184828e-01
17;B-11865-x40-02.tif;1657;104.946892;342.839469;43.203245;49.002928;0.986836;1.134242;0.881646;0.878595;37.000000;0.471911;143.347000;0.595730;1.497703e-02;7.706099e-01
18;B-11865-x40-02.tif;1634;127.378213;632.621787;45.259655;46.249846;1.050763;1.021878;0.978590;0.972616;45.000000;0.205817;146.887000;0.564920;2.085587e-02;7.559058e-01
19;B-11865-x40-02.tif;1896;133.170359;392.827532;46.805601;51.784771;0.996230;1.106380;0.903849;0.900211;39.000000;0.427852;154.065000;0.579289;-2.007295e-02;8.004982e-01
20;B-11865-x40-02.tif;1678;137.404052;223.808701;39.935718;53.782789;1.068050;1.346734;0.742537;0.738610;56.000000;0.669805;150.071000;0.578710;9.332554e-02;7.430675e-01
21;B-11865-x40-02.tif;1820;136.325275;286.499451;44.242085;52.655366;1.044646;1.190165;0.840220;0.835788;59.000000;0.542246;154.570000;0.589835;1.310719e-01;8.336482e-01
22;B-11865-x40-02.tif;1554;151.700772;165.815315;38.059066;53.140063;1.125350;1.396252;0.716203;0.700676;79.000000;0.697892;148.243000;0.555935;3.008076e-01;7.167723e-01
