No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-02.tif;1764;34.613379;239.085034;41.869748;53.766520;1.004598;1.284138;0.778733;0.776935;34.000000;0.627356;149.228000;86.068594;13;201
2;B-11865-x40-02.tif;1996;39.100701;618.158818;44.363731;57.670930;1.028302;1.299957;0.769256;0.764112;56.000000;0.638940;160.600000;89.948898;23;190
3;B-11865-x40-02.tif;1941;44.170015;523.858836;47.251750;52.369465;0.968755;1.108307;0.902277;0.901113;25.000000;0.431157;153.718000;73.797012;15;226
4;B-11865-x40-02.tif;1829;44.384910;119.935484;41.979328;55.560837;1.000180;1.323528;0.755556;0.754373;34.000000;0.655084;151.618000;71.782941;15;196
5;B-11865-x40-02.tif;2059;48.756678;366.577465;47.685141;55.049285;0.973662;1.154433;0.866226;0.865094;28.000000;0.499652;158.722000;86.199126;13;204
6;B-11865-x40-02.tif;1884;58.463907;740.946391;41.735229;58.837264;1.179855;1.409775;0.709333;0.692925;118.000000;0.704873;167.132000;82.928875;20;187
7;B-11865-x40-02.tif;1744;60.967317;173.071674;43.040905;51.742945;1.006228;1.202181;0.831822;0.829381;36.000000;0.555043;148.500000;83.245986;15;209
8;B-11865-x40-02.tif;2984;75.408512;662.846180;46.486980;82.917670;1.166694;1.783675;0.560640;0.552605;165.000000;0.828060;209.162000;66.786193;19;214
9;B-11865-x40-02.tif;1788;71.897651;58.689038;41.728467;54.687644;0.999473;1.310560;0.763033;0.761201;27.000000;0.646360;149.856000;69.531879;12;225
10;B-11865-x40-02.tif;1931;78.578975;284.576385;41.405733;59.486300;1.021603;1.436668;0.696055;0.694798;38.000000;0.717989;157.448000;90.136199;16;210
11;B-11865-x40-02.tif;1812;80.518764;420.895143;44.640782;51.750796;0.973325;1.159272;0.862611;0.861458;26.000000;0.505869;148.872000;78.040839;9;223
12;B-11865-x40-02.tif;1846;90.919827;586.531961;47.309597;49.746776;0.964120;1.051516;0.951008;0.949756;26.000000;0.309165;149.550000;76.842904;20;211
13;B-11865-x40-02.tif;1913;95.846837;516.327235;45.383849;53.806178;0.978285;1.185580;0.843469;0.841319;31.000000;0.537178;153.354000;78.948249;15;224
14;B-11865-x40-02.tif;1870;96.700535;205.931551;39.582926;60.251204;1.053374;1.522151;0.656965;0.655874;42.000000;0.753921;157.332000;80.881818;16;200
15;B-11865-x40-02.tif;1764;104.943878;342.959751;45.355131;49.633362;0.969711;1.094327;0.913803;0.911720;28.000000;0.406157;146.614000;68.908730;16;193
16;B-11865-x40-02.tif;1938;121.154283;105.207946;45.093720;54.954430;1.095697;1.218671;0.820566;0.817069;53.000000;0.571552;163.353000;106.903509;14;209
17;B-11865-x40-02.tif;1833;127.048009;633.097654;47.507313;49.185183;0.974077;1.035318;0.965887;0.964726;31.000000;0.258965;149.790000;78.964539;19;210
18;B-11865-x40-02.tif;2031;133.253077;392.804037;48.697038;53.224505;0.976207;1.092972;0.914936;0.912844;31.000000;0.403598;157.845000;76.764156;13;202
19;B-11865-x40-02.tif;1832;137.765830;224.593886;42.537529;54.924854;0.991035;1.291209;0.774468;0.773211;29.000000;0.632613;151.047000;74.400109;11;204
20;B-11865-x40-02.tif;1973;137.045616;287.117081;47.018579;53.533547;0.985001;1.138562;0.878301;0.876567;42.000000;0.478108;156.274000;70.403447;9;168
21;B-11865-x40-02.tif;1834;153.047437;166.926390;42.521958;55.665318;1.090828;1.309096;0.763886;0.753599;60.000000;0.645351;158.556000;80.863141;16;153
22;B-11865-x40-02.tif;1802;161.098224;528.133185;44.925624;51.115297;0.961943;1.137776;0.878908;0.878139;22.000000;0.476992;147.590000;71.864040;15;203
23;B-11865-x40-02.tif;2147;165.842105;332.899860;45.837528;59.711728;1.003109;1.302682;0.767647;0.766695;39.000000;0.640873;164.511000;78.123894;9;196
24;B-11865-x40-02.tif;1858;169.188375;54.984392;42.621680;55.740033;0.995221;1.307786;0.764651;0.761415;32.000000;0.644444;152.436000;69.235737;16;185
25;B-11865-x40-02.tif;2106;171.847578;458.624406;40.725989;65.957305;1.058617;1.619538;0.617460;0.616372;39.000000;0.786602;167.380000;87.840456;18;235
26;B-11865-x40-02.tif;3063;188.594842;253.117858;50.646145;79.013303;1.146962;1.560105;0.640983;0.624679;147.000000;0.767555;210.113000;62.163565;7;201
27;B-11865-x40-02.tif;2178;177.664371;600.861800;48.996562;56.644189;0.975258;1.156085;0.864988;0.864286;31.000000;0.501792;163.378000;95.013774;18;212
28;B-11865-x40-02.tif;1902;175.704522;699.646162;46.999735;51.612883;0.980020;1.098153;0.910620;0.909085;33.000000;0.413244;153.048000;90.443218;25;173
29;B-11865-x40-02.tif;1905;182.310236;108.286089;45.597064;53.492124;1.022212;1.173148;0.852407;0.847667;54.000000;0.522879;156.431000;82.143832;16;191
30;B-11865-x40-02.tif;1708;189.992974;383.468970;45.552935;47.792117;0.966340;1.049156;0.953147;0.952106;30.000000;0.302506;144.017000;66.381148;14;230
31;B-11865-x40-02.tif;1947;199.323061;183.667694;46.232921;53.818797;0.985725;1.164080;0.859048;0.855871;36.000000;0.511895;155.298000;83.172573;9;168
32;B-11865-x40-02.tif;1654;208.967956;433.920193;44.453802;47.420617;0.967075;1.066739;0.937436;0.936507;34.000000;0.348157;141.776000;62.154776;10;194
33;B-11865-x40-02.tif;2024;214.283103;550.214427;48.122148;53.667679;0.969345;1.115239;0.896669;0.894736;29.000000;0.442701;157.018000;87.710968;20;196
34;B-11865-x40-02.tif;2275;216.544176;308.646593;48.645821;59.731065;0.993395;1.227877;0.814414;0.811878;36.000000;0.580284;168.522000;78.723956;11;187
35;B-11865-x40-02.tif;1892;227.258985;489.048097;46.037753;52.397018;0.966761;1.138132;0.878633;0.877441;28.000000;0.477498;151.609000;69.031184;16;197
36;B-11865-x40-02.tif;2171;236.549516;115.022570;44.744923;62.206568;1.170115;1.390249;0.719296;0.714328;81.000000;0.694704;178.669000;89.882082;12;182
37;B-11865-x40-02.tif;2082;239.424111;356.369837;50.174671;52.897113;0.965917;1.054259;0.948533;0.947386;27.000000;0.316678;158.970000;76.645533;13;215
38;B-11865-x40-02.tif;1834;241.997819;620.163577;42.671022;54.815764;0.989626;1.284613;0.778444;0.777139;29.000000;0.627714;151.022000;82.035987;22;206
