No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-02.tif;2337;39.340608;85.136928;48.296233;76.131272;2.564247;1.576340;0.634381;0.513384;777.000000;0.773021;274.419000;137.206247;43;255
2;B-11865-x40-02.tif;6248;81.418854;425.362516;75.139726;126.223300;4.585909;1.679848;0.595292;0.499312;3017.000000;0.803509;600.051000;159.841069;0;255
3;B-11865-x40-02.tif;1815;48.060055;526.228099;46.117331;53.586455;1.497265;1.161959;0.860615;0.804779;275.000000;0.509255;184.796000;126.845179;0;244
4;B-11865-x40-02.tif;1264;67.132120;744.513449;32.455447;53.769815;2.311447;1.656727;0.603600;0.556647;258.000000;0.797287;191.611000;129.775316;0;202
5;B-11865-x40-02.tif;1153;71.764961;184.537728;30.132306;61.565414;3.818353;2.043170;0.489436;0.387316;495.000000;0.872039;235.211000;132.562879;32;234
6;B-11865-x40-02.tif;1565;83.307348;56.384026;44.773847;57.199185;2.775257;1.277513;0.782771;0.609039;584.000000;0.622310;233.622000;131.623642;11;213
7;B-11865-x40-02.tif;2030;88.956650;676.430542;45.531630;64.476547;2.784583;1.416083;0.706174;0.621731;609.000000;0.708039;266.522000;131.311330;0;213
8;B-11865-x40-02.tif;471;72.118896;286.738854;17.010906;38.579607;1.720501;2.267934;0.440930;0.402917;61.000000;0.897541;100.912000;140.925690;85;191
9;B-11865-x40-02.tif;3046;119.594550;740.860801;52.010023;77.601891;1.711635;1.492056;0.670216;0.644014;326.000000;0.742166;255.962000;122.315824;11;234
10;B-11865-x40-02.tif;1975;129.540759;641.482532;46.771928;58.040738;1.552883;1.240931;0.805847;0.746468;249.000000;0.592124;196.317000;133.755443;0;244
11;B-11865-x40-02.tif;419;133.205251;369.546539;16.471029;35.100125;1.432966;2.131022;0.469258;0.433019;61.000000;0.883061;86.862000;169.983294;85;255
12;B-11865-x40-02.tif;2618;176.204736;407.227655;58.894240;86.388199;3.719716;1.466836;0.681739;0.446654;1635.000000;0.731595;349.820000;171.610390;64;255
13;B-11865-x40-02.tif;2219;180.579991;795.647589;44.396516;69.989285;2.307965;1.576459;0.634333;0.576772;497.000000;0.773060;253.687000;119.814781;0;244
14;B-11865-x40-02.tif;774;155.100775;464.834625;18.486714;58.049858;2.005307;3.140085;0.318463;0.292448;157.000000;0.947935;139.658000;174.104651;106;255
15;B-11865-x40-02.tif;1058;177.806238;141.105860;29.646140;49.526593;1.412164;1.670592;0.598590;0.549185;157.000000;0.801055;137.022000;121.032136;32;223
16;B-11865-x40-02.tif;2560;176.853125;49.730859;46.562172;73.744969;1.749755;1.583796;0.631395;0.599357;317.000000;0.775462;237.254000;120.597266;0;234
17;B-11865-x40-02.tif;1832;193.804039;103.971616;39.665296;63.219280;1.639164;1.593818;0.627424;0.583628;278.000000;0.778678;194.258000;132.881550;32;213
18;B-11865-x40-02.tif;2459;234.675885;754.209028;46.974657;73.135923;3.049821;1.556923;0.642293;0.585339;495.000000;0.766460;306.988000;132.530297;21;244
19;B-11865-x40-02.tif;2307;228.419159;547.952752;44.863008;67.949514;1.539272;1.514600;0.660240;0.636187;219.000000;0.751054;211.245000;123.270481;11;213
20;B-11865-x40-02.tif;2415;230.173913;494.876190;48.625474;65.731307;1.518475;1.351787;0.739761;0.711677;236.000000;0.672869;214.668000;115.115114;0;255
21;B-11865-x40-02.tif;3396;241.093345;360.327150;64.256857;68.740946;1.277166;1.069784;0.934768;0.915054;308.000000;0.355258;233.460000;132.130742;0;255
22;B-11865-x40-02.tif;755;233.601325;805.312583;19.393291;55.342949;2.439311;2.853716;0.350420;0.313857;248.000000;0.936593;152.129000;139.831788;106;202
23;B-11865-x40-02.tif;415;238.371084;252.725301;21.918091;25.369945;1.246222;1.157489;0.863939;0.820955;35.000000;0.503596;80.617000;155.568675;0;255
24;B-11865-x40-02.tif;511;244.698630;225.268102;17.383942;48.521456;1.954719;2.791165;0.358273;0.276352;166.000000;0.933617;112.036000;189.500978;85;255
25;B-11865-x40-02.tif;1981;257.778900;417.186774;44.253594;57.417428;1.056875;1.297464;0.770735;0.765080;62.000000;0.637156;162.203000;132.036345;0;255
26;B-11865-x40-02.tif;4265;283.078077;307.447831;72.785247;77.257673;1.529086;1.061447;0.942110;0.909800;449.000000;0.335303;286.273000;138.817351;32;244
27;B-11865-x40-02.tif;1478;291.164411;583.769959;42.832393;45.937265;1.974895;1.072489;0.932411;0.891773;160.000000;0.361401;191.520000;121.047361;0;202
28;B-11865-x40-02.tif;2438;302.260870;376.662428;53.360169;63.296332;1.728198;1.186209;0.843022;0.774795;454.000000;0.537880;230.101000;125.463084;0;255
29;B-11865-x40-02.tif;1140;313.306140;652.621930;35.223519;45.119817;1.755601;1.280957;0.780666;0.712985;172.000000;0.624948;158.588000;125.863158;0;202
30;B-11865-x40-02.tif;700;318.988571;126.252857;28.122981;36.837513;2.217550;1.309872;0.763433;0.656792;213.000000;0.645887;139.666000;155.405714;85;255
31;B-11865-x40-02.tif;2163;342.892279;534.282940;45.113467;65.640683;1.817424;1.455013;0.687279;0.639176;434.000000;0.726393;222.260000;116.714748;0;255
32;B-11865-x40-02.tif;1947;342.268105;716.973292;45.154752;57.153016;1.687708;1.265714;0.790068;0.758923;272.000000;0.613020;203.206000;123.468413;43;181
33;B-11865-x40-02.tif;416;354.867788;67.637019;21.284732;30.070569;1.501567;1.412776;0.707826;0.585761;96.000000;0.706387;88.598000;142.329327;43;213
34;B-11865-x40-02.tif;436;354.332569;191.862385;16.028949;42.598153;2.655079;2.657576;0.376283;0.305925;96.000000;0.926505;120.611000;142.876147;0;223
35;B-11865-x40-02.tif;4695;390.496699;680.221299;73.051850;84.164102;1.351012;1.152115;0.867969;0.843902;366.000000;0.496618;282.327000;119.040469;0;255
36;B-11865-x40-02.tif;1512;376.660053;143.403439;38.110250;58.256703;3.251837;1.528636;0.654178;0.567244;468.000000;0.756341;248.568000;123.485450;0;255
37;B-11865-x40-02.tif;2554;393.094362;525.866092;47.697363;72.452987;1.685733;1.519015;0.658322;0.619467;367.000000;0.752737;232.600000;135.153485;0;255
38;B-11865-x40-02.tif;3464;423.094688;490.327079;56.978329;87.688851;2.615929;1.538986;0.649778;0.573587;1075.000000;0.760124;337.448000;170.479503;74;255
39;B-11865-x40-02.tif;2293;449.538160;419.429568;63.956356;71.309001;3.222717;1.114963;0.896890;0.574150;1466.000000;0.442253;304.732000;165.959006;32;255
40;B-11865-x40-02.tif;617;447.627229;562.448947;29.015388;37.894077;1.999945;1.305999;0.765697;0.547082;265.000000;0.643201;124.525000;160.458671;85;234
41;B-11865-x40-02.tif;4053;475.132741;64.239329;63.040883;134.931922;5.542298;2.140388;0.467205;0.283438;3888.000000;0.884149;531.298000;161.250925;21;255
42;B-11865-x40-02.tif;1095;491.201826;565.191781;31.316814;52.884647;1.957726;1.688698;0.592172;0.498500;298.000000;0.805811;164.130000;152.865753;64;255
43;B-11865-x40-02.tif;863;480.037080;386.662804;31.694730;42.440124;2.441885;1.339028;0.746810;0.610053;246.000000;0.665037;162.732000;157.093859;117;223
44;B-11865-x40-02.tif;1393;479.170854;525.773151;42.008454;46.974170;1.856523;1.118208;0.894288;0.803791;280.000000;0.447491;180.273000;159.659009;74;255
45;B-11865-x40-02.tif;2413;523.155408;602.886034;52.628865;78.135185;3.267592;1.484645;0.673562;0.503239;1331.000000;0.739131;314.773000;170.802321;0;255
46;B-11865-x40-02.tif;3926;533.849465;432.753948;61.675922;96.988332;3.454343;1.572548;0.635911;0.531400;1351.000000;0.771763;412.822000;166.606724;43;255
47;B-11865-x40-02.tif;492;512.073171;374.012195;18.901026;36.469340;1.529913;1.929490;0.518272;0.470998;70.000000;0.855216;97.257000;162.036585;96;223
48;B-11865-x40-02.tif;673;535.872214;519.797920;25.992677;77.047672;4.357453;2.964207;0.337358;0.144346;777.000000;0.941376;191.968000;163.676077;64;255
49;B-11865-x40-02.tif;357;556.403361;590.910364;20.340605;26.159579;1.459419;1.286077;0.777559;0.664227;70.000000;0.628811;80.915000;156.501401;117;223
50;B-11865-x40-02.tif;1325;591.086792;676.341132;26.010028;80.086385;3.451272;3.079058;0.324775;0.263032;474.000000;0.945791;239.719000;155.706415;64;234
