No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-03.bmp;864;69.221065;249.567130;31.575295;35.387517;1.004235;1.120734;0.892272;0.878463;23.000000;0.451498;104.419000;116.025463;38;255
2;B-11865-x40-03.bmp;1758;155.662685;279.485779;39.614243;56.643272;1.037954;1.429871;0.699364;0.697642;34.000000;0.714766;151.427000;116.270762;57;255
3;B-11865-x40-03.bmp;1616;177.050124;382.984530;36.385567;56.807651;1.039261;1.561269;0.640505;0.637585;37.000000;0.767954;145.274000;109.918317;66;255
4;B-11865-x40-03.bmp;2724;180.312408;335.092878;54.150505;66.729711;1.272510;1.232301;0.811490;0.778895;229.000000;0.584366;208.708000;104.089574;50;255
5;B-11865-x40-03.bmp;2017;182.235994;239.352504;44.143167;58.283930;1.000258;1.320339;0.757381;0.755994;30.000000;0.652973;159.226000;122.960833;71;255
6;B-11865-x40-03.bmp;1680;180.580952;434.336905;38.998581;55.308738;1.129636;1.418224;0.705107;0.699249;39.000000;0.709101;154.429000;110.596429;42;255
7;B-11865-x40-03.bmp;1600;222.660000;309.362500;36.327455;56.579418;1.066104;1.557484;0.642061;0.636375;38.000000;0.766653;146.408000;108.786875;64;255
8;B-11865-x40-03.bmp;6331;252.369610;402.410046;69.384726;121.929055;1.328094;1.757290;0.569058;0.542211;495.000000;0.822297;325.054000;120.124467;58;255
9;B-11865-x40-03.bmp;1816;230.135463;272.984581;41.371808;56.184820;1.019013;1.358046;0.736352;0.732467;47.000000;0.676599;152.494000;113.351322;65;255
10;B-11865-x40-03.bmp;1703;240.569583;351.726365;39.734401;55.534166;1.067149;1.397634;0.715495;0.703079;87.000000;0.698618;151.121000;109.967117;69;255
11;B-11865-x40-03.bmp;3330;251.101502;200.489790;55.666017;82.329238;1.276390;1.478986;0.676139;0.625527;293.000000;0.736774;231.110000;121.264565;47;255
12;B-11865-x40-03.bmp;1463;253.469583;475.226931;35.370757;53.340450;1.066353;1.508038;0.663113;0.654698;27.000000;0.748519;140.016000;105.434723;45;255
13;B-11865-x40-03.bmp;1847;280.043313;255.963725;39.090950;60.574304;1.067495;1.549574;0.645339;0.640915;46.000000;0.763896;157.406000;118.127775;82;255
14;B-11865-x40-03.bmp;4739;296.417810;455.816417;66.068224;100.831996;1.334433;1.526180;0.655231;0.593472;541.000000;0.755429;281.901000;108.884575;42;255
15;B-11865-x40-03.bmp;1902;281.791272;307.640379;44.801795;54.180378;0.988941;1.209335;0.826901;0.824967;36.000000;0.562348;153.743000;114.381703;67;255
16;B-11865-x40-03.bmp;2190;338.787671;229.776712;44.990882;62.134896;1.023652;1.381055;0.724084;0.722243;43.000000;0.689712;167.843000;123.198630;72;255
17;B-11865-x40-03.bmp;1848;342.087121;278.169372;41.382277;57.101113;1.068151;1.379845;0.724719;0.721644;55.000000;0.689044;157.497000;125.241342;72;255
