No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-03.tif;1062;73.576271;249.177024;30.830969;44.031212;0.997912;1.428149;0.700207;0.697450;17.000000;0.713940;115.402000;97.216573;38;214
2;B-11865-x40-03.tif;2079;182.642136;239.168831;44.919756;59.057215;1.029882;1.314727;0.760614;0.758960;51.000000;0.649204;164.031000;115.667629;71;193
3;B-11865-x40-03.tif;3595;249.676217;203.448957;60.464490;86.769816;1.593238;1.435054;0.696838;0.607955;484.000000;0.717229;268.284000;115.936579;47;202
4;B-11865-x40-03.tif;2475;335.198384;229.882828;45.964287;73.198263;1.668749;1.592503;0.627942;0.588144;345.000000;0.778260;227.818000;119.808485;72;182
5;B-11865-x40-03.tif;1781;349.362156;182.807412;42.483963;53.583097;0.995115;1.261255;0.792861;0.789802;32.000000;0.609402;149.236000;117.773723;76;201
6;B-11865-x40-03.tif;2177;409.407901;254.811208;38.573588;73.498102;1.334899;1.905400;0.524824;0.513117;179.000000;0.851211;191.099000;114.406063;78;179
7;B-11865-x40-03.tif;1955;421.252685;219.168798;38.687925;65.277812;1.201350;1.687292;0.592666;0.584152;105.000000;0.805448;171.796000;114.002046;75;191
8;B-11865-x40-03.tif;1822;430.291987;170.427552;41.014689;56.957874;1.026047;1.388719;0.720088;0.715074;40.000000;0.693883;153.272000;120.210757;49;190
9;B-11865-x40-03.tif;549;419.280510;437.014572;21.821633;43.961610;2.498129;2.014588;0.496379;0.361689;235.000000;0.868106;131.280000;162.216758;127;180
10;B-11865-x40-03.tif;1834;456.917666;356.996183;37.947338;61.958945;1.105337;1.632761;0.612459;0.608277;62.000000;0.790502;159.607000;108.061069;70;182
11;B-11865-x40-03.tif;2435;497.113347;251.878850;40.242731;79.163744;1.711085;1.967156;0.508348;0.494717;219.000000;0.861152;228.818000;117.025051;70;183
12;B-11865-x40-03.tif;2064;489.340116;410.094961;47.344573;56.010106;1.112103;1.183031;0.845286;0.837697;88.000000;0.534314;169.837000;115.316860;60;180
13;B-11865-x40-03.tif;2218;499.629847;292.525248;42.236277;67.247322;1.120330;1.592170;0.628074;0.624485;69.000000;0.778154;176.709000;115.674932;51;195
14;B-11865-x40-03.tif;1757;493.222538;335.692089;36.126715;62.116757;1.099083;1.719413;0.581594;0.579781;54.000000;0.813479;155.778000;111.429710;39;202
15;B-11865-x40-03.tif;393;494.424936;525.267176;15.993037;36.380771;1.571413;2.274788;0.439601;0.378058;92.000000;0.898193;88.094000;163.073791;107;183
16;B-11865-x40-03.tif;1921;514.907860;163.085893;42.138991;58.152529;1.004710;1.380017;0.724629;0.723270;28.000000;0.689140;155.736000;122.421655;73;194
17;B-11865-x40-03.tif;950;528.621053;505.729474;32.564472;43.234582;1.583881;1.327661;0.753204;0.647100;255.000000;0.657787;137.508000;166.435789;88;188
18;B-11865-x40-03.tif;2925;552.816068;437.277607;44.276940;87.521273;1.510670;1.976678;0.505899;0.486193;340.000000;0.862593;235.642000;107.166154;51;195
19;B-11865-x40-03.tif;1878;544.661342;382.641640;39.771539;60.366404;1.076642;1.517829;0.658836;0.656168;57.000000;0.752287;159.400000;111.144302;65;188
20;B-11865-x40-03.tif;2315;578.527430;281.357235;38.700326;76.765171;1.211388;1.983579;0.504139;0.500187;92.000000;0.863622;187.725000;114.677754;43;188
21;B-11865-x40-03.tif;2043;574.355849;241.064611;42.697154;61.333841;1.042224;1.436485;0.696143;0.691478;50.000000;0.717903;163.576000;111.863436;37;188
22;B-11865-x40-03.tif;1918;582.458290;358.366006;39.313067;62.514967;1.110718;1.590183;0.628858;0.624871;85.000000;0.777520;163.618000;110.244004;71;182
23;B-11865-x40-03.tif;1828;581.625274;320.155908;39.083216;59.858690;1.051788;1.531570;0.652925;0.649579;50.000000;0.757423;155.438000;114.595186;65;192
24;B-11865-x40-03.tif;2228;598.548474;202.587522;42.634170;67.553830;1.225959;1.584500;0.631114;0.621621;102.000000;0.775690;185.268000;119.246858;68;188
25;B-11865-x40-03.tif;4333;622.964228;405.563813;72.007198;83.146667;1.515190;1.154699;0.866026;0.798011;568.000000;0.499999;287.232000;114.150012;68;180
26;B-11865-x40-03.tif;1939;631.646209;476.592058;42.058108;58.818352;1.013553;1.398502;0.715051;0.713612;32.000000;0.699073;157.151000;111.826715;75;187
27;B-11865-x40-03.tif;2416;654.194950;229.309189;50.235370;62.726117;1.242418;1.248644;0.800868;0.781826;132.000000;0.598840;194.217000;117.903560;71;176
28;B-11865-x40-03.tif;1981;658.411408;312.778395;39.776097;63.579331;1.071914;1.598431;0.625614;0.623969;49.000000;0.780133;163.353000;114.931853;72;193
29;B-11865-x40-03.tif;1862;658.790548;357.414071;40.856914;58.407294;1.034683;1.429557;0.699517;0.694953;56.000000;0.714616;155.596000;110.205693;50;183
30;B-11865-x40-03.tif;1986;667.644512;275.395770;40.711916;63.323254;1.178732;1.555399;0.642922;0.630613;79.000000;0.765932;171.515000;112.399799;57;196
31;B-11865-x40-03.tif;1946;682.527235;418.382323;44.095961;56.560602;1.045496;1.282671;0.779623;0.774506;59.000000;0.626249;159.896000;110.526721;43;186
32;B-11865-x40-03.tif;2351;684.049341;465.188430;53.713708;56.468303;1.073042;1.051283;0.951219;0.938757;82.000000;0.308517;178.049000;114.575074;64;198
33;B-11865-x40-03.tif;2045;683.039120;537.261125;46.568894;56.037722;0.986563;1.203329;0.831028;0.829168;31.000000;0.556231;159.226000;115.134963;65;191
34;B-11865-x40-03.tif;2195;686.444191;583.651936;48.252157;58.340432;1.030909;1.209074;0.827079;0.821118;47.000000;0.562085;168.629000;116.702961;78;184
35;B-11865-x40-03.tif;2296;701.216463;202.553571;44.863999;65.556093;1.108977;1.461218;0.684360;0.680230;61.000000;0.729144;178.876000;117.630226;52;188
36;B-11865-x40-03.tif;4186;740.154563;251.084806;75.417249;77.086135;1.904927;1.022129;0.978350;0.896926;779.000000;0.206955;316.551000;111.852365;55;194
37;B-11865-x40-03.tif;1874;727.932231;339.886339;40.038146;59.698275;1.024229;1.491035;0.670675;0.669509;28.000000;0.741751;155.306000;114.658485;50;201
38;B-11865-x40-03.tif;2067;735.208031;401.676343;40.226487;65.656958;1.089703;1.632182;0.612677;0.610505;57.000000;0.790334;168.240000;112.008708;68;183
39;B-11865-x40-03.tif;2116;735.666824;510.189036;44.762205;60.295918;1.008311;1.347027;0.742375;0.741054;33.000000;0.669984;163.742000;121.972590;53;199
40;B-11865-x40-03.tif;1862;752.436627;305.070892;38.515611;61.662623;1.045591;1.600977;0.624618;0.623513;27.000000;0.780930;156.414000;113.740602;62;190
41;B-11865-x40-03.tif;2493;755.548335;586.561572;51.019896;62.277778;0.988001;1.220657;0.819231;0.818401;40.000000;0.573463;175.932000;118.127557;75;183
42;B-11865-x40-03.tif;2144;755.131063;680.137593;50.709910;54.176025;1.028183;1.068352;0.936021;0.930081;58.000000;0.351944;166.438000;117.225746;68;185
43;B-11865-x40-03.tif;2057;765.597958;448.717550;43.105558;60.815758;1.024589;1.410857;0.708789;0.708129;40.000000;0.705420;162.741000;114.351969;71;191
44;B-11865-x40-03.tif;1888;776.167903;209.254237;40.312738;60.111240;1.053675;1.491123;0.670636;0.665274;37.000000;0.741787;158.110000;115.883475;39;197
45;B-11865-x40-03.tif;1880;794.443617;386.670213;38.589868;62.117287;1.054615;1.609679;0.621242;0.620359;35.000000;0.783619;157.845000;113.555319;70;191
46;B-11865-x40-03.tif;2295;797.423094;638.452723;49.636220;59.021419;1.002110;1.189080;0.840987;0.838829;41.000000;0.541056;170.002000;114.015251;67;187
47;B-11865-x40-03.tif;2938;813.069095;254.326413;47.636980;84.523692;1.328988;1.774329;0.563593;0.523606;311.000000;0.826052;221.509000;107.947924;53;199
48;B-11865-x40-03.tif;2098;807.517636;697.131554;44.539608;60.641910;1.103273;1.361528;0.734469;0.726390;83.000000;0.678642;170.549000;115.583889;56;203
49;B-11865-x40-03.tif;2869;823.458348;429.639944;49.805640;74.119179;1.234938;1.488168;0.671967;0.664935;126.000000;0.740581;211.005000;105.254096;44;190
50;B-11865-x40-03.tif;2072;814.429054;548.836873;49.675429;53.151878;0.961612;1.069983;0.934594;0.933819;24.000000;0.355716;158.234000;117.719595;76;196
51;B-11865-x40-03.tif;1826;833.847207;290.737130;36.180087;65.502827;1.194928;1.810466;0.552344;0.541865;83.000000;0.833616;165.587000;108.668675;53;200
52;B-11865-x40-03.tif;1912;839.084205;483.800209;42.849521;56.865551;1.007936;1.327099;0.753523;0.752834;45.000000;0.657421;155.620000;115.444038;76;207
53;B-11865-x40-03.tif;1886;843.637328;363.513786;37.926501;63.421679;1.061193;1.672226;0.598005;0.597003;27.000000;0.801492;158.589000;116.191941;53;201
54;B-11865-x40-03.tif;1970;849.075127;597.302538;46.777128;53.692800;0.975773;1.147843;0.871199;0.870050;29.000000;0.490930;155.422000;116.974112;70;200
55;B-11865-x40-03.tif;2029;854.593889;653.689502;47.476296;54.833640;1.037682;1.154969;0.865824;0.859207;49.000000;0.500348;162.659000;110.930508;51;190
56;B-11865-x40-03.tif;2134;855.455951;206.005623;47.187888;57.622191;0.982008;1.221122;0.818919;0.818323;32.000000;0.573910;162.278000;126.762887;70;203
57;B-11865-x40-03.tif;2203;877.578756;531.458012;49.072043;57.238659;0.978692;1.166421;0.857323;0.856142;27.000000;0.514778;164.602000;117.980481;76;194
58;B-11865-x40-03.tif;2086;893.072867;411.920901;40.629366;65.732461;1.103798;1.617856;0.618102;0.614702;66.000000;0.786098;170.101000;113.009588;71;195
59;B-11865-x40-03.tif;2139;913.071529;269.519402;39.484438;70.598849;1.247176;1.788017;0.559279;0.546419;90.000000;0.828980;183.094000;113.587658;48;194
60;B-11865-x40-03.tif;2003;919.504244;614.592112;46.445776;54.987536;0.987572;1.183908;0.844660;0.843456;38.000000;0.535303;157.663000;114.956066;66;203
61;B-11865-x40-03.tif;2109;928.637743;383.097202;40.939739;66.529087;1.194960;1.625049;0.615366;0.606685;109.000000;0.788242;177.959000;115.495970;49;190
62;B-11865-x40-03.tif;1471;921.178110;662.747111;40.354636;46.504988;0.971288;1.152408;0.867749;0.866012;24.000000;0.497003;133.994000;111.492182;44;218
63;B-11865-x40-03.tif;1787;946.645215;463.567431;37.555144;60.847417;1.060059;1.620215;0.617202;0.614540;37.000000;0.786805;154.288000;112.879127;45;202
64;B-11865-x40-03.tif;1944;947.575617;241.850309;36.649784;68.116259;1.220062;1.858572;0.538048;0.533464;58.000000;0.842915;172.641000;114.547840;75;186
65;B-11865-x40-03.tif;2194;956.228806;552.015497;48.094125;58.137109;0.983889;1.208819;0.827253;0.826494;40.000000;0.561829;164.701000;119.452142;73;195
66;B-11865-x40-03.tif;2650;978.608302;358.889057;52.521715;67.458660;1.312084;1.284396;0.778576;0.741448;187.000000;0.627550;209.030000;111.096604;61;191
67;B-11865-x40-03.tif;1932;977.088509;292.532091;37.908423;65.896667;1.260914;1.738312;0.575271;0.566488;109.000000;0.817963;174.965000;108.001035;46;182
68;B-11865-x40-03.tif;2053;982.636142;419.617633;37.575050;69.755221;1.117180;1.856424;0.538670;0.537212;47.000000;0.842517;169.770000;115.106186;54;200
69;B-11865-x40-03.tif;2300;985.127391;500.182174;44.117443;66.501757;1.041109;1.507380;0.663403;0.662173;41.000000;0.748263;173.467000;120.638261;43;192
70;B-11865-x40-03.tif;2458;996.313670;602.903987;49.937352;62.922454;1.025190;1.260028;0.793633;0.790461;65.000000;0.608396;177.950000;118.715622;68;176
71;B-11865-x40-03.tif;1993;1009.907677;644.406924;41.977986;63.191849;1.324903;1.505357;0.664294;0.635470;163.000000;0.747471;182.159000;110.995986;44;185
72;B-11865-x40-03.tif;1694;1022.383117;285.978749;29.398277;74.382752;1.502135;2.530174;0.395230;0.389833;73.000000;0.918582;178.820000;102.522432;36;193
73;B-11865-x40-03.tif;3646;1033.888919;337.100110;70.131933;74.483165;1.930605;1.062044;0.941581;0.836779;838.000000;0.336787;297.413000;115.702688;45;189
74;B-11865-x40-03.tif;2115;1034.241608;546.105910;51.844408;52.042907;0.968138;1.003829;0.996186;0.994254;30.000000;0.087257;160.409000;117.128605;83;199
75;B-11865-x40-03.tif;2380;1051.889496;399.652941;39.889663;77.076896;1.301701;1.932252;0.517531;0.510080;158.000000;0.855665;197.310000;119.456723;64;191
76;B-11865-x40-03.tif;2282;1062.095092;441.597721;41.654346;69.949123;1.080877;1.679276;0.595495;0.593829;54.000000;0.803359;176.056000;118.984663;66;189
77;B-11865-x40-03.tif;2355;1072.079406;483.990658;46.885362;64.204102;1.016220;1.369385;0.730255;0.727404;47.000000;0.683175;173.418000;121.557113;77;190
78;B-11865-x40-03.tif;2115;1074.184870;645.681797;49.661625;54.324762;0.981158;1.093898;0.914162;0.912483;29.000000;0.405349;161.484000;120.915839;53;189
79;B-11865-x40-03.tif;2224;1085.544964;592.966277;48.007139;59.038177;0.981171;1.229779;0.813154;0.812417;28.000000;0.582048;165.594000;119.682554;68;192
80;B-11865-x40-03.tif;1923;1097.358294;377.488300;34.189016;71.960658;1.222521;2.104789;0.475107;0.472824;63.000000;0.879928;171.879000;111.704628;65;187
81;B-11865-x40-03.tif;1868;1101.032120;341.918630;30.002366;80.607090;1.508840;2.686691;0.372205;0.366050;105.000000;0.928151;188.198000;110.527302;35;185
82;B-11865-x40-03.tif;2587;1100.511017;532.314264;50.597332;65.481054;1.069748;1.294160;0.772702;0.768202;71.000000;0.634769;186.485000;120.860843;51;186
83;B-11865-x40-03.tif;2033;1136.705853;417.219380;36.153396;72.024140;1.159821;1.992182;0.501962;0.498989;61.000000;0.864890;172.135000;113.247418;75;194
84;B-11865-x40-03.tif;2186;1151.270814;452.832571;40.610969;68.962875;1.096236;1.698134;0.588882;0.585234;61.000000;0.808219;173.533000;119.109790;67;192
85;B-11865-x40-03.tif;2224;1154.060701;548.572842;42.703482;66.800520;1.077816;1.564287;0.639269;0.634578;52.000000;0.768983;173.558000;118.578687;73;184
86;B-11865-x40-03.tif;1822;1156.617453;635.421515;45.570471;50.990433;0.972071;1.118936;0.893706;0.892239;30.000000;0.448652;149.186000;112.593304;78;207
87;B-11865-x40-03.tif;2211;1167.124378;499.500226;45.825611;61.525321;1.012637;1.342597;0.744825;0.743689;40.000000;0.667260;167.736000;115.133876;74;198
88;B-11865-x40-03.tif;2203;1182.980481;585.840672;47.124120;60.346715;1.056191;1.280591;0.780890;0.770225;65.000000;0.624669;170.995000;116.030413;81;186
89;B-11865-x40-03.tif;2177;1199.085439;391.027102;34.674222;81.586752;1.333377;2.352951;0.424998;0.416418;83.000000;0.905194;190.990000;114.526412;70;187
90;B-11865-x40-03.tif;4554;1230.775362;632.669302;65.789093;91.036387;1.267225;1.383761;0.722668;0.699638;367.000000;0.691195;269.295000;114.336188;66;193
91;B-11865-x40-03.tif;2166;1230.753463;538.565097;47.583507;58.105958;0.994104;1.221137;0.818909;0.816822;43.000000;0.573923;164.494000;114.365651;77;192
92;B-11865-x40-03.tif;2179;1253.877008;425.447453;36.883280;75.514679;1.167647;2.047396;0.488425;0.486524;49.000000;0.872606;178.809000;122.222120;45;188
93;B-11865-x40-03.tif;3151;1268.476039;593.631546;50.651978;87.073189;1.429156;1.719048;0.581717;0.529163;431.000000;0.813391;237.886000;112.185655;52;202
94;B-11865-x40-03.tif;2338;1283.934987;495.649273;45.741874;65.252294;1.023892;1.426533;0.701000;0.699138;40.000000;0.713161;173.442000;119.355860;80;192
95;B-11865-x40-03.tif;2702;1303.500000;633.113990;50.471159;72.525063;1.269494;1.436961;0.695913;0.654062;240.000000;0.718126;207.617000;108.321984;51;187
96;B-11865-x40-03.tif;1976;1313.321356;536.285425;46.116656;54.623197;0.979858;1.184457;0.844269;0.843224;36.000000;0.535920;155.984000;115.439777;74;199
97;B-11865-x40-03.tif;2058;1341.045675;454.566084;39.532342;66.515804;1.079028;1.682567;0.594330;0.592251;42.000000;0.804221;167.049000;123.396501;80;198
98;B-11865-x40-03.tif;2352;1335.812500;591.689626;49.339487;64.130986;1.189526;1.299790;0.769355;0.728134;184.000000;0.638822;187.504000;114.973639;69;188
99;B-11865-x40-03.tif;1993;1370.438033;621.348219;41.786209;65.679182;1.503027;1.571791;0.636217;0.588250;255.000000;0.771510;194.018000;113.010537;61;205
100;B-11865-x40-03.tif;2069;1376.354761;487.449009;44.358453;59.667368;1.050044;1.345118;0.743429;0.739941;63.000000;0.668815;165.230000;119.488642;72;202
101;B-11865-x40-03.tif;2246;1431.653161;436.748442;38.055378;75.331043;1.144057;1.979511;0.505175;0.503932;39.000000;0.863017;179.694000;119.108638;81;203
102;B-11865-x40-03.tif;1602;1423.007491;384.491261;33.421656;63.426657;1.186540;1.897771;0.526934;0.507025;81.000000;0.849906;154.553000;112.139201;36;190
103;B-11865-x40-03.tif;2171;1491.515891;405.931368;39.234985;71.996091;1.427131;1.834997;0.544960;0.533276;142.000000;0.838462;197.318000;116.133579;68;191
104;B-11865-x40-03.tif;2100;1530.138095;620.097143;35.510911;78.987432;1.332340;2.224314;0.449577;0.428562;186.000000;0.893242;187.509000;114.275714;39;214
105;B-11865-x40-03.tif;4332;1540.989381;446.764774;73.509995;77.621184;1.534000;1.055927;0.947035;0.915457;429.000000;0.321130;288.976000;114.011542;74;188
106;B-11865-x40-03.tif;2246;1536.955031;581.656723;44.024999;66.379101;1.147638;1.507759;0.663236;0.649019;74.000000;0.748410;179.975000;116.837489;67;190
107;B-11865-x40-03.tif;1964;1549.350305;501.812118;38.864936;64.537722;1.054526;1.660564;0.602205;0.600377;25.000000;0.798342;161.326000;114.001527;70;195
108;B-11865-x40-03.tif;2001;1549.777611;541.146427;41.060071;62.617954;1.051543;1.525033;0.655724;0.649770;53.000000;0.755001;162.608000;110.630685;74;194
