No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-03.tif;1035;57.000000;304.486957;31.491418;47.730300;2.317070;1.515661;0.659778;0.578445;249.000000;0.751460;173.598000;96.393237;81;100
2;B-11865-x40-03.tif;1133;71.038835;248.604590;33.603195;43.114462;1.033125;1.283047;0.779395;0.776058;30.000000;0.626533;121.282000;78.233010;0;100
3;B-11865-x40-03.tif;348;110.979885;305.522989;16.661920;34.327329;1.932190;2.060226;0.485384;0.376019;111.000000;0.874301;91.922000;97.025862;91;100
4;B-11865-x40-03.tif;1188;148.877104;273.924242;32.240329;51.033086;1.617180;1.582896;0.631753;0.580795;146.000000;0.775169;155.379000;93.156566;63;100
5;B-11865-x40-03.tif;1697;174.797289;236.537419;43.442950;50.863728;1.441191;1.170817;0.854105;0.835171;137.000000;0.520101;175.310000;90.743076;70;100
6;B-11865-x40-03.tif;1501;176.397735;435.000666;36.381834;55.289193;1.783680;1.519692;0.658028;0.625188;179.000000;0.752994;183.423000;90.724850;67;100
7;B-11865-x40-03.tif;2869;247.116765;197.688045;49.578227;80.424583;1.551419;1.622175;0.616456;0.564759;324.000000;0.787389;236.502000;88.912165;30;100
8;B-11865-x40-03.tif;1802;250.730300;471.150943;47.132690;55.221708;1.955839;1.171622;0.853517;0.752394;346.000000;0.521064;210.450000;91.642064;47;100
9;B-11865-x40-03.tif;985;275.101523;421.830457;38.657794;41.251520;2.032094;1.067095;0.937124;0.736998;247.000000;0.348996;158.597000;95.343147;74;100
10;B-11865-x40-03.tif;1323;303.523054;483.665911;39.981173;42.801572;1.066766;1.070543;0.934105;0.919497;56.000000;0.356998;133.174000;90.305367;53;100
11;B-11865-x40-03.tif;756;320.367725;452.220899;30.702475;33.923677;1.401805;1.104917;0.905046;0.836423;89.000000;0.425315;115.401000;94.605820;74;100
12;B-11865-x40-03.tif;1640;346.201829;181.981098;41.820993;50.373426;1.172857;1.204501;0.830219;0.822907;65.000000;0.557437;155.471000;89.874390;63;100
13;B-11865-x40-03.tif;1265;351.757312;483.385771;39.233663;43.361916;1.813975;1.105222;0.904795;0.856611;149.000000;0.425846;169.811000;94.274308;65;100
14;B-11865-x40-03.tif;840;362.036905;521.520238;27.689411;40.667193;1.147545;1.468691;0.680878;0.646697;60.000000;0.732397;110.060000;82.369048;30;100
15;B-11865-x40-03.tif;882;388.602041;514.684807;31.411481;36.448179;1.167885;1.160346;0.861812;0.845331;67.000000;0.507228;113.773000;93.698413;74;100
16;B-11865-x40-03.tif;837;393.839904;252.103943;28.519396;43.822892;1.859871;1.536600;0.650788;0.554924;179.000000;0.759260;139.865000;95.249701;65;100
17;B-11865-x40-03.tif;1749;424.380217;218.707261;37.578945;59.683876;1.172178;1.588226;0.629633;0.625152;78.000000;0.776893;160.508000;93.663808;72;100
18;B-11865-x40-03.tif;1616;432.660272;170.032178;37.313620;55.913407;1.148616;1.498472;0.667347;0.658142;60.000000;0.744747;152.726000;90.113861;70;100
19;B-11865-x40-03.tif;950;431.190526;575.529474;25.495284;48.626648;1.229457;1.907280;0.524307;0.511546;61.000000;0.851529;121.150000;87.843158;44;100
20;B-11865-x40-03.tif;754;426.553050;251.750663;28.825939;35.173347;1.405937;1.220198;0.819539;0.775986;87.000000;0.573023;115.418000;93.622016;72;100
21;B-11865-x40-03.tif;1469;496.554118;334.323349;30.544287;62.248532;1.284290;2.037976;0.490683;0.482696;88.000000;0.871338;153.974000;91.707284;40;100
22;B-11865-x40-03.tif;1774;497.438557;208.062570;38.301433;59.297574;1.112256;1.548182;0.645919;0.642377;69.000000;0.763406;157.465000;92.325254;72;100
23;B-11865-x40-03.tif;1108;493.799639;608.317690;35.553335;40.026636;1.035513;1.125819;0.888242;0.880545;39.000000;0.459376;120.075000;86.462094;33;100
24;B-11865-x40-03.tif;1290;498.915504;498.337984;31.941581;52.589927;1.340261;1.646441;0.607371;0.593875;95.000000;0.794419;147.399000;92.785271;72;100
25;B-11865-x40-03.tif;1698;503.411072;562.074794;44.554106;49.620866;1.323643;1.113722;0.897891;0.878050;91.000000;0.440219;168.058000;95.298587;74;100
26;B-11865-x40-03.tif;1451;515.393522;460.931082;35.931645;53.610757;1.762732;1.492021;0.670232;0.642797;181.000000;0.742152;179.280000;94.167471;67;100
27;B-11865-x40-03.tif;1774;516.884442;161.631905;39.636491;57.167196;1.083121;1.442287;0.693343;0.691146;41.000000;0.720607;155.389000;90.010147;63;100
28;B-11865-x40-03.tif;1174;513.241908;286.113288;32.342675;47.875346;1.367223;1.480253;0.675560;0.652160;133.000000;0.737305;142.023000;92.936116;67;100
29;B-11865-x40-03.tif;1300;534.140769;639.729231;39.394765;42.858603;1.061241;1.087926;0.919180;0.901109;43.000000;0.393838;131.669000;90.086154;51;100
30;B-11865-x40-03.tif;1465;541.021843;599.109898;41.530228;45.751840;1.223728;1.101652;0.907728;0.891109;88.000000;0.419559;150.095000;95.251195;70;100
31;B-11865-x40-03.tif;1351;550.233161;381.236121;32.657880;53.965438;1.406531;1.652448;0.605163;0.590655;108.000000;0.796102;154.528000;93.841599;65;100
32;B-11865-x40-03.tif;1549;574.904454;490.301485;37.478167;53.207332;1.235952;1.419689;0.704380;0.696656;86.000000;0.709823;155.107000;92.872821;65;100
33;B-11865-x40-03.tif;1547;585.133161;318.758888;36.026517;55.179866;1.377207;1.531646;0.652892;0.646903;82.000000;0.757451;163.625000;92.646412;53;100
34;B-11865-x40-03.tif;1628;620.815111;518.695946;41.735222;49.947599;1.036777;1.196773;0.835580;0.830874;49.000000;0.549369;145.638000;93.487715;72;100
35;B-11865-x40-03.tif;1446;630.132780;597.450207;38.293018;48.625428;1.141684;1.269825;0.787510;0.778667;56.000000;0.616302;144.033000;93.294606;72;100
36;B-11865-x40-03.tif;1230;637.635772;665.968293;34.464266;45.838964;1.092103;1.330043;0.751855;0.745325;62.000000;0.659328;129.924000;90.865854;65;100
