No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-03.tif;1048;73.493321;249.022901;30.698098;43.630059;0.995219;1.421263;0.703600;0.700971;17.000000;0.710597;114.484000;154.717557;38;212
2;B-11865-x40-03.tif;2055;338.798540;229.387348;43.401998;60.432231;1.048743;1.392384;0.718193;0.716448;53.000000;0.695844;164.568000;138.542579;70;176
3;B-11865-x40-03.tif;2046;341.673509;277.690127;42.835532;60.932397;1.033861;1.422473;0.703001;0.701648;38.000000;0.711189;163.038000;137.875855;83;177
4;B-11865-x40-03.tif;1692;349.302600;182.845154;41.006740;52.710754;0.995301;1.285417;0.777958;0.775375;23.000000;0.628317;145.473000;135.604610;50;173
5;B-11865-x40-03.tif;1871;421.394976;219.490112;38.977680;61.310547;1.091899;1.572966;0.635742;0.633744;56.000000;0.771902;160.226000;139.798503;66;174
6;B-11865-x40-03.tif;1083;415.343490;535.691597;35.056103;39.665544;1.028118;1.131488;0.883792;0.876419;35.000000;0.467879;118.288000;157.907664;46;197
7;B-11865-x40-03.tif;1801;430.037757;169.967796;40.958101;56.491277;1.088898;1.379246;0.725034;0.718557;52.000000;0.688713;156.984000;131.261521;66;197
8;B-11865-x40-03.tif;1708;450.571429;446.617681;41.896205;52.006384;0.988555;1.241315;0.805597;0.804053;30.000000;0.592463;145.663000;145.521077;65;194
9;B-11865-x40-03.tif;1707;456.648506;356.046866;36.329015;59.999139;1.060580;1.651549;0.605492;0.603745;35.000000;0.795851;150.832000;146.951963;77;178
10;B-11865-x40-03.tif;1618;493.082818;335.277503;33.520804;61.651153;1.118667;1.839191;0.543717;0.542009;36.000000;0.839268;150.815000;143.567367;62;204
11;B-11865-x40-03.tif;1953;495.499232;251.047619;37.897288;65.877953;1.108067;1.738329;0.575265;0.572970;46.000000;0.817967;164.907000;143.384537;79;179
12;B-11865-x40-03.tif;1923;494.880915;208.941238;40.555237;60.513520;1.050682;1.492126;0.670185;0.668628;34.000000;0.742194;159.342000;134.491940;72;184
13;B-11865-x40-03.tif;1670;493.837126;499.552695;37.928330;56.211183;1.048934;1.482037;0.674747;0.672947;38.000000;0.738049;148.367000;142.495210;75;195
14;B-11865-x40-03.tif;1985;501.780353;291.224181;42.349901;59.772631;1.016703;1.411400;0.708517;0.707401;36.000000;0.705694;159.251000;140.659950;64;188
15;B-11865-x40-03.tif;1076;491.150558;609.814126;34.612484;39.932034;1.018946;1.153689;0.866785;0.859171;28.000000;0.498682;117.378000;160.809480;50;220
