No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-03.tif;1083;72.762696;248.860572;31.325158;44.196330;1.002981;1.410889;0.708773;0.705937;17.000000;0.705437;116.833000;160.900277;124;189
2;B-11865-x40-03.tif;1668;225.191247;429.287170;40.418259;52.804596;1.027719;1.306454;0.765431;0.761663;50.000000;0.643518;146.771000;165.356715;140;186
3;B-11865-x40-03.tif;1567;232.590300;391.840459;37.587452;54.099630;1.089389;1.439300;0.694782;0.681696;64.000000;0.719220;146.464000;165.180600;148;181
4;B-11865-x40-03.tif;1983;239.857287;353.054463;45.723006;55.587584;1.074835;1.215746;0.822540;0.817104;71.000000;0.568707;163.658000;164.047907;146;177
5;B-11865-x40-03.tif;3240;250.195679;200.252469;54.579201;82.040230;1.289599;1.503141;0.665274;0.612917;275.000000;0.746600;229.142000;161.326543;129;188
6;B-11865-x40-03.tif;2019;277.744428;255.396236;40.259637;64.054341;1.089663;1.591031;0.628523;0.626541;46.000000;0.777791;166.272000;162.648836;141;175
7;B-11865-x40-03.tif;2088;337.787835;229.251437;43.838829;60.824822;1.047263;1.387465;0.720739;0.718586;56.000000;0.693206;165.767000;161.844349;135;176
8;B-11865-x40-03.tif;1755;348.439886;182.719658;42.402052;53.045900;1.064524;1.251022;0.799346;0.794115;55.000000;0.600870;153.222000;160.160684;127;176
9;B-11865-x40-03.tif;2017;409.122955;253.717898;36.546965;72.053795;1.299998;1.971540;0.507218;0.494655;141.000000;0.861818;181.522000;163.354487;143;179
10;B-11865-x40-03.tif;1871;422.083378;218.886692;38.463958;62.424527;1.108192;1.622936;0.616167;0.611327;75.000000;0.787615;161.417000;162.414217;142;179
11;B-11865-x40-03.tif;498;433.528112;557.363454;25.319538;42.434637;2.464649;1.675964;0.596671;0.352126;310.000000;0.802486;124.193000;149.694779;132;167
12;B-11865-x40-03.tif;1756;451.527904;446.147494;42.535941;52.696728;1.010622;1.238875;0.807184;0.805132;39.000000;0.590300;149.335000;164.003986;140;179
13;B-11865-x40-03.tif;1736;457.637097;355.786290;36.661646;60.554286;1.086651;1.651707;0.605434;0.602796;48.000000;0.795895;153.966000;164.382488;141;182
14;B-11865-x40-03.tif;2474;497.834681;412.655618;40.853512;79.604752;1.320108;1.948541;0.513204;0.497086;165.000000;0.858266;202.586000;162.963217;140;178
15;B-11865-x40-03.tif;1652;493.897700;335.116828;33.913735;62.285090;1.116050;1.836574;0.544492;0.542191;40.000000;0.838766;152.213000;163.549637;136;182
