No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-03.tif;979;73.749745;249.206333;29.549614;42.298708;0.996927;1.431447;0.698594;0.696688;19.000000;0.715519;110.746000;0.550019;2.622463e-01;1
2;B-11865-x40-03.tif;1797;124.295492;305.971619;40.450123;57.476368;1.295682;1.420919;0.703770;0.692595;116.000000;0.710428;171.052000;0.633195;4.175377e-01;9.795235e-01
3;B-11865-x40-03.tif;1564;156.716752;279.457161;37.181742;54.320514;1.136193;1.460946;0.684488;0.674868;82.000000;0.729024;149.434000;0.622570;3.808939e-01;9.191997e-01
4;B-11865-x40-03.tif;1568;177.193878;382.871811;35.794050;56.006983;1.047787;1.564701;0.639100;0.636461;39.000000;0.769124;143.686000;0.608548;4.382539e-01;9.612417e-01
5;B-11865-x40-03.tif;1244;178.390675;350.016077;29.805655;54.287057;1.210294;1.821368;0.549038;0.537450;98.000000;0.835797;137.550000;0.603736;3.460757e-01;9.754324e-01
6;B-11865-x40-03.tif;1550;182.888387;239.519355;38.746220;51.585390;1.233053;1.331366;0.751108;0.741632;89.000000;0.660179;154.975000;0.647009;4.595012e-01;9.463516e-01
7;B-11865-x40-03.tif;1354;182.771049;321.420236;31.958763;55.348155;1.162424;1.731862;0.577413;0.562759;83.000000;0.816452;140.636000;0.586340;4.095845e-01;9.926089e-01
8;B-11865-x40-03.tif;1602;181.041199;434.322722;37.980827;54.385666;1.148374;1.431924;0.698361;0.689610;54.000000;0.715746;152.047000;0.599026;3.064128e-01;9.755254e-01
9;B-11865-x40-03.tif;1539;222.024042;309.120208;36.220893;54.452572;1.070371;1.503347;0.665182;0.660864;33.000000;0.746681;143.877000;0.599277;4.196493e-01;9.002641e-01
10;B-11865-x40-03.tif;2144;253.407649;209.237873;48.624214;58.591912;1.418335;1.204995;0.829879;0.795169;194.000000;0.557943;195.482000;0.652468;3.241662e-01;1
11;B-11865-x40-03.tif;1555;255.725402;474.540193;36.945127;53.966746;1.040081;1.460727;0.684591;0.679811;41.000000;0.728928;142.562000;0.583583;3.250592e-01;9.954154e-01
12;B-11865-x40-03.tif;489;248.607362;168.629857;22.787216;29.732726;1.357817;1.304799;0.766402;0.704287;65.000000;0.642361;91.344000;0.641376;4.414428e-01;1
13;B-11865-x40-03.tif;1761;280.288472;255.934128;38.630196;58.451564;1.080330;1.513106;0.660892;0.656262;55.000000;0.750481;154.619000;0.650073;5.184364e-01;9.939688e-01
14;B-11865-x40-03.tif;1456;276.652473;446.142170;33.277657;56.973559;1.138823;1.712066;0.584089;0.571117;105.000000;0.811689;144.349000;0.555853;3.478090e-01;9.262115e-01
