No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11930-x40-05.tif;371;30.800539;256.342318;16.560973;35.173538;2.261147;2.123881;0.470836;0.381814;124.000000;0.882221;102.673000;0.480907;0;9.166667e-01
2;B-11930-x40-05.tif;344;46.686047;225.956395;14.307385;40.838135;2.441757;2.854340;0.350344;0.262625;145.000000;0.936621;102.739000;0.377019;0;9.166667e-01
3;B-11930-x40-05.tif;492;110.760163;472.091463;23.557474;38.240034;2.256423;1.623265;0.616042;0.428389;185.000000;0.787713;118.113000;0.341746;0;9.444444e-01
4;B-11930-x40-05.tif;364;155.162088;529.513736;14.676783;38.067900;2.382127;2.593750;0.385542;0.319811;114.000000;0.922690;104.385000;0.404533;0;9.166667e-01
5;B-11930-x40-05.tif;400;166.430000;136.132500;17.707595;34.741164;2.088439;1.961936;0.509701;0.421970;101.000000;0.860352;102.458000;0.378542;0;9.166667e-01
6;B-11930-x40-05.tif;464;224.025862;384.452586;20.151103;38.961536;2.010799;1.933469;0.517205;0.389185;147.000000;0.855862;108.280000;0.483477;0;9.166667e-01
7;B-11930-x40-05.tif;3987;279.547780;414.692250;66.200310;80.151801;2.062287;1.210747;0.825937;0.790187;636.000000;0.563763;321.442000;0.610913;0;9.916667e-01
8;B-11930-x40-05.tif;5291;322.407484;304.718012;74.023094;92.836222;1.487115;1.254152;0.797351;0.781651;427.000000;0.603515;314.446000;0.721131;0;9.814815e-01
9;B-11930-x40-05.tif;389;369.838046;411.748072;15.488339;47.414878;2.642563;3.061327;0.326656;0.220308;176.000000;0.945143;113.656000;0.406170;0;9.444444e-01
10;B-11930-x40-05.tif;320;393.115625;444.187500;19.092002;24.036134;1.347820;1.258964;0.794304;0.705230;41.000000;0.607520;73.620000;0.310547;0;9.166667e-01
11;B-11930-x40-05.tif;309;421.313916;367.485437;15.363315;27.951764;1.440056;1.819384;0.549637;0.503559;48.000000;0.835404;74.778000;0.507821;0;9.166667e-01
12;B-11930-x40-05.tif;3396;488.236455;108.069494;65.997119;93.555560;5.979950;1.417570;0.705432;0.494013;2037.000000;0.708777;505.170000;0.248111;0;9.166667e-01
13;B-11930-x40-05.tif;635;480.735433;387.152756;25.964324;42.309514;2.376380;1.629525;0.613676;0.451656;202.000000;0.789558;137.705000;0.522835;0;9.166667e-01
14;B-11930-x40-05.tif;412;496.730583;306.140777;10.878814;64.629826;3.592163;5.940889;0.168325;0.125586;212.000000;0.985732;136.374000;0.489327;0;9.166667e-01
15;B-11930-x40-05.tif;472;518.313559;209.713983;21.980213;36.135489;2.606615;1.644001;0.608272;0.460240;152.000000;0.793729;124.341000;0.478649;0;9.166667e-01
