No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11930-x40-05.tif;5725;100.058166;354.249258;88.172465;138.730680;3.609507;1.573401;0.635566;0.378739;4071.000000;0.772047;509.585000;0.514324;1.439465e-01;8.742503e-01
2;B-11930-x40-05.tif;669;70.107623;124.074738;28.581276;30.099717;0.971411;1.053127;0.949553;0.940181;13.000000;0.313607;90.369000;0.571335;2.120744e-01;8.933157e-01
3;B-11930-x40-05.tif;1655;77.644109;186.031420;37.394035;57.255963;1.094963;1.531152;0.653103;0.642786;47.000000;0.757269;150.905000;0.605925;2.247388e-01;9.099944e-01
4;B-11930-x40-05.tif;1629;107.483732;228.746470;28.467761;82.680352;1.706080;2.904350;0.344311;0.303408;364.000000;0.938856;186.881000;0.551649;1.330672e-01;9.128512e-01
5;B-11930-x40-05.tif;2379;118.967633;723.591425;34.039586;95.318819;1.531145;2.800234;0.357113;0.333386;272.000000;0.934061;213.949000;0.602304;1.832942e-01;8.624183e-01
6;B-11930-x40-05.tif;1030;118.240777;57.647573;34.279277;38.727320;1.007787;1.129759;0.885145;0.874405;38.000000;0.465316;114.211000;0.569885;2.048794e-01;8.298004e-01
7;B-11930-x40-05.tif;731;254.906977;89.581395;25.585557;36.535441;1.029900;1.427971;0.700294;0.697266;20.000000;0.713854;97.266000;0.518661;1.534539e-01;8.151389e-01
8;B-11930-x40-05.tif;613;275.340946;414.791191;25.877344;30.252323;0.946550;1.169066;0.855384;0.852812;10.000000;0.517995;85.390000;0.606436;1.769448e-01;8.380439e-01
9;B-11930-x40-05.tif;1468;327.840599;166.121253;41.774351;45.500929;1.088961;1.089207;0.918099;0.902809;49.000000;0.396351;141.734000;0.562208;1.754502e-01;8.402219e-01
10;B-11930-x40-05.tif;785;321.824204;307.564331;23.204384;43.520068;1.126057;1.875511;0.533188;0.527716;23.000000;0.845997;105.395000;0.631175;2.088280e-01;8.794382e-01
11;B-11930-x40-05.tif;929;395.304629;36.329386;27.800988;42.914814;1.064594;1.543644;0.647818;0.642261;23.000000;0.761795;111.482000;0.535411;1.699031e-01;8.697855e-01
12;B-11930-x40-05.tif;1114;428.463196;424.990126;24.821554;62.800121;1.675435;2.530064;0.395247;0.359645;137.000000;0.918575;153.148000;0.547081;2.356931e-01;8.062692e-01
13;B-11930-x40-05.tif;585;550.381197;140.639316;23.271955;32.175896;1.012897;1.382604;0.723273;0.719457;19.000000;0.690562;86.291000;0.549969;2.640754e-01;8.421211e-01
14;B-11930-x40-05.tif;1053;590.850902;103.772080;24.719186;54.684931;1.221381;2.212246;0.452029;0.448336;38.000000;0.892003;127.129000;0.580338;2.255755e-01;8.439003e-01
15;B-11930-x40-05.tif;1072;615.651119;39.347015;32.980490;41.564972;0.991587;1.260290;0.793468;0.790042;19.000000;0.608612;115.576000;0.622740;1.746076e-01;8.916737e-01
16;B-11930-x40-05.tif;951;749.286015;592.009464;28.572131;42.596056;1.021393;1.490825;0.670769;0.667347;18.000000;0.741666;110.482000;0.586654;1.534539e-01;8.596556e-01
17;B-11930-x40-05.tif;773;957.155239;349.727038;27.019061;39.959113;1.425175;1.478923;0.676168;0.616393;89.000000;0.736748;117.660000;0.649810;3.188713e-01;8.401006e-01
18;B-11930-x40-05.tif;780;1050.107692;729.261538;23.534386;42.487903;1.102032;1.805354;0.553908;0.550141;28.000000;0.832578;103.932000;0.558910;2.480497e-01;7.844973e-01
19;B-11930-x40-05.tif;594;1095.989899;359.427609;26.829300;28.281095;0.944924;1.054112;0.948666;0.945593;11.000000;0.316281;83.984000;0.576550;1.625359e-01;8.918870e-01
20;B-11930-x40-05.tif;1207;1187.937862;235.490472;33.377059;48.935059;1.275593;1.466129;0.682068;0.641767;118.000000;0.731288;139.096000;0.557591;1.974019e-01;8.421211e-01
21;B-11930-x40-05.tif;960;1209.169792;28.051042;26.915187;46.355184;1.127327;1.722269;0.580630;0.568833;29.000000;0.814168;116.618000;0.605711;1.035985e-01;8.388175e-01
22;B-11930-x40-05.tif;1218;1225.876026;268.834154;38.339406;40.889434;1.016594;1.066512;0.937636;0.927545;35.000000;0.347619;124.739000;0.612518;1.689041e-01;8.855120e-01
23;B-11930-x40-05.tif;704;1291.278409;622.336648;27.124449;34.801256;1.191622;1.283022;0.779410;0.740104;62.000000;0.626514;102.674000;0.561630;2.336596e-01;8.193663e-01
24;B-11930-x40-05.tif;5959;1367.333949;159.579460;80.766243;125.504834;2.157163;1.553927;0.643531;0.481684;1975.000000;0.765420;401.914000;0.568197;1.591098e-01;8.540581e-01
25;B-11930-x40-05.tif;1682;1359.920927;619.517241;37.797329;56.960444;1.067158;1.506997;0.663572;0.660069;49.000000;0.748113;150.187000;0.594158;2.521628e-01;8.121029e-01
26;B-11930-x40-05.tif;1073;1402.828518;556.227400;28.017600;49.040399;1.110919;1.750343;0.571317;0.568070;29.000000;0.820730;122.390000;0.604149;2.356931e-01;8.626859e-01
27;B-11930-x40-05.tif;1648;1436.860437;679.581917;41.129587;51.255148;1.008781;1.246187;0.802448;0.798716;29.000000;0.596722;144.538000;0.587029;2.199888e-01;7.864406e-01
28;B-11930-x40-05.tif;982;1480.955193;494.102851;28.110963;44.583097;1.034677;1.585968;0.630530;0.629044;19.000000;0.776165;112.996000;0.608715;2.192695e-01;8.359364e-01
29;B-11930-x40-05.tif;3127;1542.688839;279.671890;47.645433;86.990535;1.282554;1.825790;0.547708;0.526131;238.000000;0.836669;224.495000;0.587320;2.326063e-01;7.945568e-01
30;B-11930-x40-05.tif;1196;1528.845318;635.870401;36.470747;41.855701;1.002475;1.147651;0.871345;0.869225;31.000000;0.490671;122.746000;0.571244;2.658555e-01;7.896809e-01
31;B-11930-x40-05.tif;1000;1553.240000;451.485000;26.619178;49.869037;1.189446;1.873425;0.533782;0.511974;71.000000;0.845622;122.258000;0.585741;1.974465e-01;8.340166e-01
