No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11930-x40-05.tif;627;513.438596;325.065391;18.575201;49.848517;1.907298;2.683606;0.372633;0.321272;190.000000;0.927979;122.588000;104.424242;91;125
2;B-11930-x40-05.tif;427;508.562061;359.660422;19.157400;29.205602;1.149622;1.524508;0.655950;0.637391;17.000000;0.754805;78.541000;111.271663;93;127
3;B-11930-x40-05.tif;371;548.946092;288.455526;20.279173;30.183647;1.816982;1.488406;0.671860;0.518490;112.000000;0.740679;92.038000;103.730458;86;124
4;B-11930-x40-05.tif;590;579.822034;450.661017;20.594207;57.302380;2.814162;2.782451;0.359395;0.228779;397.000000;0.933185;144.446000;111.723729;94;126
5;B-11930-x40-05.tif;459;585.821351;254.265795;18.927226;37.044832;1.628764;1.957225;0.510928;0.425861;110.000000;0.859624;96.926000;107.529412;87;125
6;B-11930-x40-05.tif;1531;615.116264;385.650555;37.960725;56.958967;1.482649;1.500471;0.666457;0.600843;243.000000;0.745543;168.893000;92.974526;81;107
7;B-11930-x40-05.tif;1364;606.143695;219.861437;35.871108;51.570037;1.366567;1.437648;0.695580;0.653025;126.000000;0.718448;153.048000;96.790323;86;126
8;B-11930-x40-05.tif;1426;617.220196;333.361851;37.795985;48.232431;1.019950;1.276126;0.783622;0.780461;38.000000;0.621238;135.193000;90.779102;82;103
9;B-11930-x40-05.tif;4313;657.312312;474.428240;72.226515;85.467528;2.028521;1.183326;0.845076;0.751774;929.000000;0.534647;331.577000;99.098771;82;126
10;B-11930-x40-05.tif;959;646.986444;351.520334;33.381000;37.428987;1.045903;1.121266;0.891849;0.871591;35.000000;0.452334;112.269000;90.249218;82;107
11;B-11930-x40-05.tif;1141;659.209465;421.028046;34.235817;42.702970;1.062301;1.247319;0.801720;0.796672;40.000000;0.597700;123.416000;92.116564;83;104
12;B-11930-x40-05.tif;1355;660.906273;384.963838;37.390916;46.235745;1.014209;1.236550;0.808702;0.807037;34.000000;0.588219;131.413000;90.822140;81;105
13;B-11930-x40-05.tif;1001;695.616384;435.561439;34.607208;38.287302;1.105823;1.106339;0.903882;0.869430;46.000000;0.427782;117.941000;90.577423;82;101
14;B-11930-x40-05.tif;1345;709.994796;480.277323;35.581093;49.658147;1.152100;1.395633;0.716521;0.694467;88.000000;0.697566;139.544000;93.600743;85;110
15;B-11930-x40-05.tif;1287;708.505828;397.229992;35.887063;45.818625;1.019568;1.276745;0.783242;0.780557;34.000000;0.621717;128.411000;90.867133;82;106
16;B-11930-x40-05.tif;1216;719.949013;513.459704;34.029942;45.790531;1.056695;1.345595;0.743165;0.738401;46.000000;0.669108;127.071000;95.937500;82;121
17;B-11930-x40-05.tif;1053;729.587844;364.793922;33.451782;41.291825;1.081376;1.234368;0.810131;0.786340;62.000000;0.586249;119.621000;90.782526;83;107
18;B-11930-x40-05.tif;1200;727.591667;434.481667;33.090355;47.132529;1.139310;1.424359;0.702070;0.687781;58.000000;0.712108;131.074000;90.687500;81;104
19;B-11930-x40-05.tif;1301;752.039201;398.092237;37.670841;44.098252;1.003936;1.170620;0.854248;0.851814;35.000000;0.519866;128.114000;90.980784;79;108
20;B-11930-x40-05.tif;1158;756.279793;346.718480;33.282715;44.552653;1.066440;1.338612;0.747042;0.742799;46.000000;0.664777;124.574000;95.090674;85;111
21;B-11930-x40-05.tif;1334;759.044228;445.760120;37.929434;46.887814;1.169856;1.236185;0.808940;0.772584;107.000000;0.587891;140.039000;91.257871;78;111
22;B-11930-x40-05.tif;1326;767.354449;476.747360;31.623547;54.701354;1.163338;1.729767;0.578113;0.564232;105.000000;0.815957;139.229000;94.110106;85;110
23;B-11930-x40-05.tif;5742;792.235110;202.848137;73.665749;105.449043;1.421186;1.431453;0.698591;0.657488;613.000000;0.715521;320.230000;93.830024;82;124
24;B-11930-x40-05.tif;2295;792.750763;502.314597;41.619113;74.251669;1.417835;1.784076;0.560514;0.530005;269.000000;0.828145;202.213000;102.132462;83;126
25;B-11930-x40-05.tif;1496;790.122326;381.339572;41.408981;46.716650;1.104170;1.128177;0.886386;0.872767;77.000000;0.462947;144.075000;92.178476;82;109
26;B-11930-x40-05.tif;1397;794.196135;335.085183;36.942103;48.628542;1.044314;1.316345;0.759679;0.752184;36.000000;0.650298;135.400000;93.852541;85;109
27;B-11930-x40-05.tif;1549;804.588767;419.577147;40.686672;48.738384;1.039998;1.197896;0.834797;0.830270;50.000000;0.550557;142.281000;94.511943;84;114
28;B-11930-x40-05.tif;1588;836.545340;155.712846;38.222948;54.443077;1.170001;1.424356;0.702072;0.682143;100.000000;0.712106;152.800000;99.801637;83;126
29;B-11930-x40-05.tif;1497;838.541082;440.879092;40.809288;46.900972;1.013984;1.149272;0.870116;0.866499;38.000000;0.492847;138.112000;97.051436;86;114
30;B-11930-x40-05.tif;1142;844.609457;218.523643;35.960466;41.643986;1.062213;1.158049;0.863521;0.838439;45.000000;0.504312;123.465000;91.676883;85;105
31;B-11930-x40-05.tif;1583;871.722678;177.756791;40.397868;50.917809;1.071101;1.260408;0.793394;0.777413;69.000000;0.608709;145.969000;94.687934;82;117
32;B-11930-x40-05.tif;1494;872.000000;465.047523;37.584805;51.300773;1.281584;1.364934;0.732636;0.722791;89.000000;0.680620;155.115000;98.031459;82;128
33;B-11930-x40-05.tif;1292;882.031734;231.335913;35.710702;46.237302;1.043942;1.294774;0.772335;0.769463;40.000000;0.635215;130.189000;91.784830;79;107
