No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11930-x40-05.tif;1444;543.463989;363.824792;38.829838;50.727610;1.646748;1.306408;0.765458;0.714477;227.000000;0.643486;172.863000;240.353186;221;255
2;B-11930-x40-05.tif;1600;559.311250;323.186875;47.043536;50.565538;1.904577;1.074867;0.930348;0.796748;382.000000;0.366678;195.688000;244.001250;223;255
3;B-11930-x40-05.tif;1216;573.932566;392.189967;31.812343;52.390279;1.513405;1.646854;0.607218;0.564082;151.000000;0.794535;152.072000;244.404605;233;255
4;B-11930-x40-05.tif;1198;577.365609;281.825543;33.153515;47.591584;1.352030;1.435491;0.696626;0.673452;115.000000;0.717435;142.668000;243.452421;228;255
5;B-11930-x40-05.tif;1228;601.741042;420.034202;35.303686;48.015945;1.514960;1.360083;0.735249;0.678168;172.000000;0.677797;152.899000;246.862378;236;255
6;B-11930-x40-05.tif;760;609.042105;221.364474;27.319211;36.197192;1.183827;1.324972;0.754733;0.738540;55.000000;0.656032;106.330000;248.485526;225;255
7;B-11930-x40-05.tif;848;615.482311;249.437500;28.217950;38.721152;1.062953;1.372217;0.728748;0.720128;32.000000;0.684782;106.429000;243.936321;232;255
8;B-11930-x40-05.tif;547;619.308958;446.047532;25.002765;28.791022;1.280214;1.151514;0.868422;0.840201;58.000000;0.495825;93.808000;248.943327;237;255
9;B-11930-x40-05.tif;540;628.942593;272.898148;20.479516;35.980040;1.518677;1.756879;0.569191;0.531105;64.000000;0.822205;101.516000;250.335185;233;255
10;B-11930-x40-05.tif;692;652.832370;296.302023;27.156100;35.177795;1.565452;1.295392;0.771967;0.711998;118.000000;0.635662;116.675000;251.511561;239;255
11;B-11930-x40-05.tif;798;664.250627;458.383459;24.380071;44.004657;1.378768;1.804944;0.554034;0.524706;81.000000;0.832494;117.585000;250.114035;239;255
12;B-11930-x40-05.tif;760;664.319737;185.778947;26.830083;37.278976;1.148358;1.389447;0.719711;0.696299;40.000000;0.694274;104.725000;245.686842;223;255
13;B-11930-x40-05.tif;681;660.807636;421.954479;28.508858;30.837933;1.069512;1.081697;0.924474;0.911773;42.000000;0.381246;95.669000;250.737151;241;255
14;B-11930-x40-05.tif;765;672.639216;324.045752;29.731858;33.072822;1.063997;1.112370;0.898982;0.890490;32.000000;0.437986;101.136000;251.492810;242;255
15;B-11930-x40-05.tif;824;678.061893;210.611650;26.705145;40.401605;1.321016;1.512877;0.660992;0.642747;64.000000;0.750393;116.956000;247.514563;230;255
16;B-11930-x40-05.tif;822;693.024331;442.175182;30.246927;35.458897;1.095895;1.172314;0.853014;0.832399;46.000000;0.521888;106.396000;250.475669;241;255
17;B-11930-x40-05.tif;886;700.243792;259.011287;27.876125;40.926114;1.193905;1.468142;0.681133;0.673508;54.000000;0.732160;115.294000;248.311512;233;255
18;B-11930-x40-05.tif;889;696.203600;290.920135;30.773776;36.960454;1.059980;1.201037;0.832614;0.828585;32.000000;0.553854;108.819000;248.175478;236;255
19;B-11930-x40-05.tif;801;707.956305;326.551810;28.605933;36.414305;1.121669;1.272963;0.785569;0.769128;37.000000;0.618775;106.256000;247.475655;235;255
20;B-11930-x40-05.tif;1286;724.049767;192.108087;30.770155;56.785195;1.495385;1.845463;0.541869;0.507786;195.000000;0.840463;155.454000;244.603421;227;255
21;B-11930-x40-05.tif;462;724.952381;233.614719;19.001776;33.247100;1.534780;1.749684;0.571532;0.532163;58.000000;0.820580;94.395000;249.932900;241;255
22;B-11930-x40-05.tif;776;726.228093;306.923969;27.035610;36.888981;1.017949;1.364459;0.732891;0.726070;18.000000;0.680346;99.632000;248.729381;235;255
23;B-11930-x40-05.tif;363;718.413223;436.377410;18.662145;26.289599;1.155592;1.408713;0.709868;0.668727;32.000000;0.704335;72.604000;252.013774;242;255
24;B-11930-x40-05.tif;880;738.745455;256.367045;29.403521;38.358810;1.063826;1.304565;0.766539;0.761487;36.000000;0.642198;108.463000;248.330682;234;255
25;B-11930-x40-05.tif;864;765.357639;231.513889;33.062719;34.670561;1.181155;1.048630;0.953625;0.915171;73.000000;0.300997;113.244000;243.592593;229;255
26;B-11930-x40-05.tif;722;770.376731;178.858726;26.925453;34.771507;1.202711;1.291399;0.774354;0.760327;40.000000;0.632753;104.461000;250.613573;236;255
27;B-11930-x40-05.tif;405;771.024691;259.676543;21.318471;30.565325;2.020277;1.433748;0.697472;0.551959;90.000000;0.716612;101.400000;250.380247;239;255
28;B-11930-x40-05.tif;727;780.781293;205.305365;29.189277;32.382929;1.152642;1.109412;0.901379;0.882698;42.000000;0.433032;102.617000;248.281981;234;255
29;B-11930-x40-05.tif;781;804.696543;236.537772;30.317403;33.352230;1.055535;1.100102;0.909007;0.893946;31.000000;0.416781;101.781000;250.722151;237;255
30;B-11930-x40-05.tif;728;811.103022;192.314560;26.787569;35.027136;1.049853;1.307589;0.764766;0.755496;27.000000;0.644308;98.002000;249.469780;238;255
31;B-11930-x40-05.tif;742;839.370620;160.665768;27.704511;34.404034;1.053106;1.241821;0.805269;0.798170;32.000000;0.592909;99.093000;251.374663;235;255
32;B-11930-x40-05.tif;589;957.718166;261.675722;23.207143;33.574298;1.161006;1.446723;0.691218;0.665291;32.000000;0.722647;92.700000;248.726655;233;255
33;B-11930-x40-05.tif;643;984.528771;270.265941;26.554536;31.074068;1.004571;1.170198;0.854556;0.847861;16.000000;0.519359;90.095000;247.534992;231;255
