No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-05AA.tif;1058;414.960302;187.385633;32.854945;41.733852;1.072831;1.270246;0.787249;0.773426;41.000000;0.616635;119.430000;157.127599;130;182
2;B-AA11746-x40-05AA.tif;1448;449.305939;176.341160;34.733783;55.001340;1.228184;1.583511;0.631508;0.609442;127.000000;0.775369;149.493000;153.307320;130;169
3;B-AA11746-x40-05AA.tif;1372;458.814869;230.535714;37.169154;49.318543;1.424101;1.326868;0.753655;0.718197;130.000000;0.657271;156.694000;153.233236;126;174
4;B-AA11746-x40-05AA.tif;1925;474.261299;146.890390;38.493784;64.900845;1.286634;1.686008;0.593117;0.581889;160.000000;0.805116;176.420000;155.229091;129;175
5;B-AA11746-x40-05AA.tif;1625;506.083077;236.683692;41.237905;50.998683;1.100814;1.236694;0.808607;0.795510;86.000000;0.588349;149.930000;150.914462;128;169
6;B-AA11746-x40-05AA.tif;1646;526.089307;181.848117;44.537562;47.190826;1.004006;1.059574;0.943776;0.941076;40.000000;0.330586;144.108000;151.082625;132;177
7;B-AA11746-x40-05AA.tif;1239;539.091203;252.097659;35.280337;47.041788;1.298983;1.333371;0.749979;0.712876;106.000000;0.661462;142.214000;154.400323;132;185
8;B-AA11746-x40-05AA.tif;1887;580.499205;182.746688;46.287102;52.543535;1.188603;1.135166;0.880929;0.870249;123.000000;0.473249;167.884000;150.861155;131;172
9;B-AA11746-x40-05AA.tif;1365;580.567033;262.485714;36.082052;48.400770;1.022052;1.341408;0.745485;0.741888;36.000000;0.666522;132.406000;154.320879;136;173
10;B-AA11746-x40-05AA.tif;947;582.994720;439.582893;28.826029;42.195260;1.085507;1.463790;0.683158;0.677225;36.000000;0.730271;113.657000;153.255544;124;190
11;B-AA11746-x40-05AA.tif;1597;606.730119;229.717595;42.541313;48.025613;1.054015;1.128917;0.885805;0.881595;59.000000;0.464058;145.439000;151.619286;135;174
12;B-AA11746-x40-05AA.tif;1399;613.141530;295.126519;36.323100;50.655127;1.235838;1.394571;0.717067;0.694194;113.000000;0.697005;147.399000;153.787706;131;174
13;B-AA11746-x40-05AA.tif;1468;647.252725;161.275204;41.393746;45.637644;1.065319;1.102525;0.907009;0.897408;51.000000;0.421112;140.187000;152.762262;130;169
14;B-AA11746-x40-05AA.tif;1730;677.845665;309.019653;41.115037;53.864137;1.123816;1.310084;0.763310;0.759201;76.000000;0.646032;156.306000;151.336416;133;168
15;B-AA11746-x40-05AA.tif;1861;717.703385;176.029554;46.352502;51.591091;1.093919;1.113016;0.898459;0.890240;82.000000;0.439057;159.945000;151.174100;133;163
16;B-AA11746-x40-05AA.tif;1537;717.288874;218.785296;39.947177;49.245892;1.061553;1.232775;0.811178;0.806945;49.000000;0.584800;143.190000;152.707872;135;171
17;B-AA11746-x40-05AA.tif;1100;722.451818;139.559091;22.900727;65.309942;1.601717;2.851872;0.350647;0.328355;153.000000;0.936508;148.797000;151.599091;125;188
18;B-AA11746-x40-05AA.tif;1020;719.983333;448.090196;33.755792;39.025433;1.094076;1.156111;0.864969;0.852736;47.000000;0.501825;118.421000;153.128431;122;174
19;B-AA11746-x40-05AA.tif;1333;745.374344;418.194299;40.533747;43.880201;1.219212;1.082560;0.923737;0.881461;105.000000;0.383028;142.909000;154.651163;131;176
20;B-AA11746-x40-05AA.tif;1876;755.787846;295.743603;44.971154;53.206838;1.013135;1.183133;0.845214;0.843739;44.000000;0.534428;154.545000;150.788380;138;169
21;B-AA11746-x40-05AA.tif;1500;752.942000;378.770000;42.456981;45.150805;1.027402;1.063448;0.940337;0.936851;52.000000;0.340244;139.162000;152.962000;136;172
22;B-AA11746-x40-05AA.tif;1807;760.743774;246.299391;43.703591;52.775831;1.016661;1.207586;0.828099;0.826034;48.000000;0.560583;151.940000;150.566685;137;176
23;B-AA11746-x40-05AA.tif;1795;769.304178;203.744290;43.702137;52.404802;1.028246;1.199136;0.833934;0.832209;55.000000;0.551864;152.295000;150.976602;137;167
24;B-AA11746-x40-05AA.tif;1166;772.668096;144.286449;33.183153;45.112852;1.061505;1.359511;0.735559;0.729471;40.000000;0.677461;124.714000;153.514580;130;173
25;B-AA11746-x40-05AA.tif;1562;785.199744;330.031370;42.963241;46.382183;0.992273;1.079578;0.926288;0.924461;33.000000;0.376817;139.560000;152.323303;136;166
26;B-AA11746-x40-05AA.tif;310;810.612903;153.912903;12.777703;33.394234;1.605930;2.613477;0.382632;0.353939;51.000000;0.923901;79.095000;148.325806;134;162
27;B-AA11746-x40-05AA.tif;1721;867.820453;161.822196;40.099141;57.613332;1.538751;1.436772;0.696005;0.660154;212.000000;0.718037;182.423000;150.253922;128;170
28;B-AA11746-x40-05AA.tif;1755;877.335613;425.213105;43.813163;51.159166;1.018144;1.167667;0.856409;0.853769;41.000000;0.516298;149.847000;151.307692;135;170
29;B-AA11746-x40-05AA.tif;1758;880.632537;295.160978;42.961874;52.179117;1.005232;1.214545;0.823354;0.822121;34.000000;0.567528;149.021000;151.496587;139;166
30;B-AA11746-x40-05AA.tif;2176;918.368566;542.306066;39.319885;75.879257;1.647303;1.929793;0.518190;0.481197;250.000000;0.855265;212.237000;148.699908;127;173
31;B-AA11746-x40-05AA.tif;910;908.345055;458.521978;31.031978;37.709983;1.033009;1.215198;0.822911;0.814777;28.000000;0.568170;108.687000;157.047253;136;187
32;B-AA11746-x40-05AA.tif;2191;925.942948;411.541762;46.286516;64.895963;1.587306;1.402049;0.713242;0.662395;303.000000;0.700918;209.053000;151.818348;137;170
33;B-AA11746-x40-05AA.tif;1463;937.969925;329.613807;38.947411;48.003610;1.026879;1.232524;0.811343;0.808363;38.000000;0.584570;137.400000;153.578264;139;167
34;B-AA11746-x40-05AA.tif;1428;943.243697;208.808123;39.928377;45.702919;1.051925;1.144622;0.873650;0.870463;57.000000;0.486554;137.392000;153.484594;136;172
35;B-AA11746-x40-05AA.tif;1430;969.850350;529.594406;40.433214;45.391945;1.073609;1.122640;0.890757;0.883667;65.000000;0.454479;138.898000;152.119580;139;168
