No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-10AA.bmp;964;220.205394;86.544606;29.234113;42.282084;1.013501;1.446327;0.691407;0.686553;20.000000;0.722466;110.804000;135.303942;28;255
2;B-AA11746-x40-10AA.bmp;1031;226.547042;550.656644;33.034775;40.039814;0.993017;1.212050;0.825048;0.818813;23.000000;0.565062;113.426000;132.160039;84;255
3;B-AA11746-x40-10AA.bmp;3230;252.707430;500.323839;57.485573;75.612038;1.505464;1.315322;0.760270;0.719334;329.000000;0.649607;247.196000;131.909288;64;255
4;B-AA11746-x40-10AA.bmp;873;248.379152;573.857961;31.286023;36.178705;1.042998;1.156386;0.864763;0.849216;38.000000;0.502179;106.968000;125.514318;81;255
5;B-AA11746-x40-10AA.bmp;661;255.237519;457.101362;25.965708;33.224111;1.044902;1.279538;0.781532;0.762439;32.000000;0.623865;93.163000;119.001513;66;255
6;B-AA11746-x40-10AA.bmp;832;269.246394;549.933894;27.207404;39.572692;1.090328;1.454482;0.687530;0.676460;44.000000;0.726156;106.769000;116.205529;80;255
7;B-AA11746-x40-10AA.bmp;848;281.755896;576.941038;27.568729;40.215695;1.111577;1.458743;0.685522;0.667598;43.000000;0.728052;108.836000;125.596698;78;255
8;B-AA11746-x40-10AA.bmp;1082;305.720887;492.711645;32.183100;42.915100;0.986081;1.333467;0.749925;0.748027;19.000000;0.661523;115.791000;146.430684;73;255
9;B-AA11746-x40-10AA.bmp;1079;313.208526;528.189064;33.739371;41.114446;1.016979;1.218590;0.820621;0.812723;39.000000;0.571473;117.428000;126.629286;67;255
10;B-AA11746-x40-10AA.bmp;1476;316.025068;563.448509;38.593570;49.632595;1.110015;1.286033;0.777585;0.762891;77.000000;0.628778;143.487000;126.130081;69;255
11;B-AA11746-x40-10AA.bmp;1177;338.037383;344.209006;35.261506;42.941531;1.011947;1.217802;0.821152;0.812702;27.000000;0.570710;122.341000;137.544605;71;255
12;B-AA11746-x40-10AA.bmp;1235;342.866397;470.127126;38.369334;41.358931;1.013270;1.077916;0.927716;0.919260;40.000000;0.373287;125.401000;143.619433;47;255
13;B-AA11746-x40-10AA.bmp;1573;349.125874;429.669421;42.532075;47.222162;1.003163;1.110272;0.900680;0.898146;47.000000;0.434482;140.817000;153.268913;83;255
14;B-AA11746-x40-10AA.bmp;1115;355.148879;518.693274;34.017117;41.870924;0.985401;1.230878;0.812428;0.809767;27.000000;0.583061;117.503000;127.785650;74;255
