No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-10AA.tif;951;220.371188;86.558360;28.936258;42.106379;1.015429;1.455142;0.687218;0.682959;18.000000;0.726451;110.159000;111.259727;1;214
2;B-AA11746-x40-10AA.tif;684;255.508772;457.619883;26.269915;33.779464;1.026877;1.285861;0.777689;0.763239;31.000000;0.628649;93.949000;93.228070;32;212
3;B-AA11746-x40-10AA.tif;1783;344.960740;348.466068;41.109331;57.947492;1.274109;1.409595;0.709424;0.676071;164.000000;0.704782;168.960000;122.816601;40;199
4;B-AA11746-x40-10AA.tif;5961;388.608623;553.718671;69.936885;117.860874;1.374425;1.685246;0.593385;0.546374;735.000000;0.804919;320.867000;104.737460;12;207
5;B-AA11746-x40-10AA.tif;5939;444.329180;366.593703;86.172324;96.001042;1.240764;1.114059;0.897619;0.820487;534.000000;0.440773;304.303000;128.607341;52;202
6;B-AA11746-x40-10AA.tif;6343;444.015292;579.868832;67.425711;127.737936;1.396978;1.894499;0.527844;0.494954;365.000000;0.849341;333.693000;106.883651;45;201
7;B-AA11746-x40-10AA.tif;741;446.423752;28.491228;27.498243;34.853937;1.012014;1.267497;0.788957;0.776649;26.000000;0.614449;97.075000;145.643725;104;239
8;B-AA11746-x40-10AA.tif;1006;485.152087;488.450298;33.201970;38.787353;0.986922;1.168224;0.856000;0.851389;22.000000;0.516976;111.698000;113.157058;16;198
9;B-AA11746-x40-10AA.tif;1347;498.902747;525.789903;34.519356;50.134152;1.141388;1.452349;0.688540;0.682355;48.000000;0.725199;138.997000;121.330364;42;195
10;B-AA11746-x40-10AA.tif;1004;526.307769;343.749004;29.582108;43.526863;1.040795;1.471392;0.679629;0.674729;36.000000;0.733556;114.592000;112.343625;25;202
11;B-AA11746-x40-10AA.tif;1095;529.498630;505.995434;36.240312;38.571409;0.960505;1.064323;0.939564;0.937116;23.000000;0.342373;114.964000;118.696804;43;200
12;B-AA11746-x40-10AA.tif;1175;557.795745;548.637447;33.810969;44.892908;1.037538;1.327762;0.753147;0.742322;46.000000;0.657852;123.773000;122.826383;40;214
13;B-AA11746-x40-10AA.tif;1662;569.500000;324.477136;38.866489;55.350987;1.135535;1.424131;0.702182;0.690701;94.000000;0.711997;154.000000;132.637184;65;189
14;B-AA11746-x40-10AA.tif;1249;566.305845;375.917534;32.599176;49.060128;1.035896;1.504950;0.664474;0.660717;19.000000;0.747311;127.510000;123.609287;15;204
15;B-AA11746-x40-10AA.tif;4815;592.999585;675.503219;74.085509;86.115299;1.265053;1.162377;0.860306;0.826696;403.000000;0.509778;276.667000;111.420353;1;223
16;B-AA11746-x40-10AA.tif;1230;571.456911;262.157724;32.792092;49.679858;1.215666;1.514995;0.660068;0.634533;56.000000;0.751206;137.077000;107.019512;12;202
17;B-AA11746-x40-10AA.tif;1220;578.868033;292.768852;32.132798;49.271480;1.080978;1.533370;0.652158;0.639851;62.000000;0.758083;128.734000;121.261475;48;196
18;B-AA11746-x40-10AA.tif;1069;575.330215;521.652947;35.288670;40.292642;1.126145;1.141801;0.875809;0.838371;60.000000;0.482657;122.996000;116.138447;40;188
19;B-AA11746-x40-10AA.tif;1847;604.000541;357.519220;47.364248;50.017227;1.013031;1.056012;0.946959;0.940022;42.000000;0.321355;153.338000;140.851651;93;203
20;B-AA11746-x40-10AA.tif;4141;623.265636;543.591403;67.841172;81.707534;1.465739;1.204394;0.830293;0.789753;377.000000;0.557328;276.176000;126.187636;46;195
21;B-AA11746-x40-10AA.tif;4754;641.437316;625.421750;74.561678;86.330080;1.370634;1.157834;0.863681;0.812166;501.000000;0.504038;286.151000;123.657341;35;207
22;B-AA11746-x40-10AA.tif;1661;615.939795;476.977122;41.012310;52.008828;1.013083;1.268127;0.788564;0.781854;38.000000;0.614952;145.416000;130.097532;72;190
23;B-AA11746-x40-10AA.tif;1324;618.131420;419.441843;36.870133;46.204774;1.038240;1.253176;0.797972;0.789631;40.000000;0.602694;131.431000;130.444864;54;213
24;B-AA11746-x40-10AA.tif;1333;634.997749;321.204801;36.608157;47.751345;1.200650;1.304391;0.766641;0.744336;83.000000;0.642076;141.817000;118.032258;27;194
25;B-AA11746-x40-10AA.tif;1150;647.653913;397.157391;36.145683;40.680986;0.976520;1.125473;0.888515;0.884759;17.000000;0.458847;118.794000;119.204348;4;209
26;B-AA11746-x40-10AA.tif;1313;651.075400;452.816451;32.721781;51.500866;1.067848;1.573902;0.635364;0.630298;28.000000;0.772213;132.737000;126.979436;22;191
