No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-10AA.tif;895;219.629050;86.903911;28.039705;41.007269;1.026320;1.462471;0.683774;0.677659;21.000000;0.729694;107.438000;71.010056;11;100
2;B-AA11746-x40-10AA.tif;926;226.296976;550.645788;32.058501;37.003671;0.995492;1.154255;0.866360;0.861056;14.000000;0.499420;107.629000;70.919006;44;100
3;B-AA11746-x40-10AA.tif;1424;249.617978;485.212781;30.947759;60.354297;1.221516;1.950199;0.512768;0.497741;103.000000;0.858527;147.846000;69.722612;46;100
4;B-AA11746-x40-10AA.tif;809;247.573548;573.582200;31.874699;33.034027;1.010450;1.036371;0.964905;0.943921;12.000000;0.262599;101.353000;73.673671;57;100
5;B-AA11746-x40-10AA.tif;651;255.001536;458.239631;26.720027;31.386936;0.965992;1.174660;0.851310;0.841382;9.000000;0.524662;88.896000;62.754224;38;100
6;B-AA11746-x40-10AA.tif;924;268.800866;550.861472;32.693088;36.653103;1.145997;1.121127;0.891960;0.875711;56.000000;0.452115;115.354000;68.166667;53;99
7;B-AA11746-x40-10AA.tif;753;281.567065;576.641434;26.175067;38.066253;1.132295;1.454294;0.687619;0.661645;52.000000;0.726072;103.510000;70.618858;48;100
8;B-AA11746-x40-10AA.tif;891;305.124579;494.085297;27.428595;42.265355;1.139665;1.540923;0.648962;0.635066;68.000000;0.760821;112.962000;79.632997;52;100
9;B-AA11746-x40-10AA.tif;2617;316.797860;547.630111;46.093642;74.024829;1.187600;1.605966;0.622678;0.608078;156.000000;0.782478;197.625000;71.594192;47;100
10;B-AA11746-x40-10AA.tif;1064;337.486842;344.040414;32.586803;41.906821;1.004339;1.286006;0.777601;0.771405;20.000000;0.628758;115.882000;74.674812;45;100
11;B-AA11746-x40-10AA.tif;1524;348.051837;517.119423;35.887780;54.859551;1.142399;1.528642;0.654176;0.644749;84.000000;0.756343;147.913000;74.778871;54;100
12;B-AA11746-x40-10AA.tif;1097;342.780310;469.352780;35.349062;39.717997;0.990181;1.123594;0.890001;0.885405;28.000000;0.455958;116.833000;82.648131;40;100
13;B-AA11746-x40-10AA.tif;1235;356.330364;566.445344;35.599275;45.432227;1.285674;1.276212;0.783569;0.761814;107.000000;0.621305;141.255000;66.335223;43;100
14;B-AA11746-x40-10AA.tif;1055;359.735545;390.425592;32.347711;41.642422;0.990481;1.287338;0.776797;0.774623;25.000000;0.629751;114.592000;77.618009;45;100
15;B-AA11746-x40-10AA.tif;1071;378.898226;480.399627;36.308769;37.706790;0.983311;1.038504;0.962924;0.959092;23.000000;0.269773;115.039000;85.020542;53;100
16;B-AA11746-x40-10AA.tif;925;384.635676;582.871351;31.642912;37.884361;1.115082;1.197246;0.835250;0.820601;61.000000;0.549870;113.849000;74.023784;49;100
17;B-AA11746-x40-10AA.tif;1336;396.880240;546.074850;37.620583;50.014822;1.521276;1.329454;0.752189;0.680016;198.000000;0.658948;159.813000;77.541168;47;100
18;B-AA11746-x40-10AA.tif;1319;395.145565;394.796816;34.387497;53.679767;2.278796;1.561026;0.640604;0.582819;211.000000;0.767871;194.348000;77.021228;41;100
19;B-AA11746-x40-10AA.tif;1022;399.300391;508.600783;35.885891;37.674097;1.292069;1.049830;0.952535;0.916802;87.000000;0.304429;128.817000;75.680039;37;100
20;B-AA11746-x40-10AA.tif;863;409.493627;600.298957;32.063078;36.394761;1.127236;1.135099;0.880981;0.829551;50.000000;0.473152;110.565000;76.413673;59;100
21;B-AA11746-x40-10AA.tif;829;416.101327;429.878166;28.889060;36.912648;1.051792;1.277738;0.782633;0.774666;37.000000;0.622483;104.676000;75.875754;43;100
22;B-AA11746-x40-10AA.tif;1204;420.368771;347.190199;34.889861;44.015155;0.985118;1.261546;0.792678;0.791284;21.000000;0.609640;122.085000;87.338870;53;100
23;B-AA11746-x40-10AA.tif;307;412.345277;470.729642;18.317392;22.485558;1.174421;1.227552;0.814629;0.773110;30.000000;0.579982;67.311000;88.267101;69;100
24;B-AA11746-x40-10AA.tif;892;422.540359;256.570628;28.691238;39.693915;0.993333;1.383486;0.722812;0.720820;17.000000;0.691045;105.520000;70.857623;11;100
25;B-AA11746-x40-10AA.tif;1172;426.483788;308.539249;35.253791;42.444413;0.996310;1.203967;0.830587;0.828317;27.000000;0.556888;121.134000;83.536689;43;100
26;B-AA11746-x40-10AA.tif;909;433.635864;492.497250;31.064505;37.864434;1.137462;1.218897;0.820414;0.807256;44.000000;0.571770;113.987000;80.085809;46;100
27;B-AA11746-x40-10AA.tif;938;438.800640;395.700426;31.484796;40.081017;1.248415;1.273028;0.785529;0.743422;104.000000;0.618825;121.307000;85.430704;59;100
28;B-AA11746-x40-10AA.tif;2362;440.707028;570.233700;41.288968;76.198500;1.391303;1.845493;0.541861;0.517961;246.000000;0.840468;203.215000;77.448349;48;100
29;B-AA11746-x40-10AA.tif;940;453.510638;240.523404;32.542591;37.039969;0.982762;1.138200;0.878580;0.872362;18.000000;0.477594;107.744000;73.750000;33;100
30;B-AA11746-x40-10AA.tif;1086;457.153775;287.088398;34.038024;41.150442;1.090833;1.208955;0.827161;0.816565;47.000000;0.561966;122.011000;85.876611;62;100
31;B-AA11746-x40-10AA.tif;680;457.204412;528.335294;25.674330;34.836998;1.050095;1.356881;0.736985;0.713407;31.000000;0.675910;94.727000;75.560294;55;100
32;B-AA11746-x40-10AA.tif;1190;462.666387;617.163025;35.785066;42.814400;1.030345;1.196432;0.835818;0.826566;51.000000;0.549006;124.128000;71.894118;50;100
33;B-AA11746-x40-10AA.tif;893;465.633819;452.251960;29.203857;39.138279;0.997192;1.340175;0.746171;0.742264;20.000000;0.665754;105.784000;80.241881;42;100
34;B-AA11746-x40-10AA.tif;1096;471.326642;319.363139;33.834198;43.594619;1.251039;1.288478;0.776110;0.734269;91.000000;0.630598;131.264000;77.852190;56;100
35;B-AA11746-x40-10AA.tif;930;466.889247;380.319355;30.269113;40.127861;1.362500;1.325703;0.754317;0.735362;80.000000;0.656511;126.187000;81.397849;59;100
36;B-AA11746-x40-10AA.tif;837;467.634409;424.240143;29.466704;36.622029;1.048497;1.242827;0.804617;0.794604;38.000000;0.593794;105.015000;78.528076;49;100
37;B-AA11746-x40-10AA.tif;722;476.513850;264.304709;26.736666;35.045545;1.094084;1.310767;0.762912;0.748483;35.000000;0.646502;99.632000;68.720222;40;100
38;B-AA11746-x40-10AA.tif;882;480.445578;200.563492;31.227106;36.123164;0.976124;1.156789;0.864462;0.860612;20.000000;0.502698;104.014000;70.495465;42;100
39;B-AA11746-x40-10AA.tif;380;474.278947;564.463158;16.244674;34.292166;1.571894;2.110979;0.473714;0.411438;77.000000;0.880679;86.638000;79.518421;55;100
40;B-AA11746-x40-10AA.tif;881;483.977299;487.604994;31.356519;35.908257;0.975223;1.145161;0.873240;0.869956;19.000000;0.487291;103.907000;79.641317;31;100
41;B-AA11746-x40-10AA.tif;977;488.602866;235.770727;34.153079;36.689649;0.983370;1.074271;0.930864;0.924097;27.000000;0.365365;109.878000;76.026612;35;100
42;B-AA11746-x40-10AA.tif;1461;497.157426;630.217659;36.800898;53.796178;1.332710;1.461817;0.684080;0.642773;159.000000;0.729407;156.422000;78.432580;51;100
43;B-AA11746-x40-10AA.tif;773;497.058215;405.094437;28.954708;34.128840;0.983396;1.178697;0.848394;0.844980;15.000000;0.529365;97.737000;74.717982;34;100
44;B-AA11746-x40-10AA.tif;832;505.516827;464.509615;30.652692;35.151815;1.118695;1.146777;0.872009;0.857310;29.000000;0.489490;108.149000;78.314904;41;100
45;B-AA11746-x40-10AA.tif;624;522.591346;562.794872;25.188713;36.966429;1.728673;1.467579;0.681394;0.581406;116.000000;0.731917;116.427000;82.673077;57;100
46;B-AA11746-x40-10AA.tif;907;524.619625;343.976847;28.610575;40.590362;1.067881;1.418719;0.704861;0.700925;37.000000;0.709345;110.324000;78.744212;36;100
47;B-AA11746-x40-10AA.tif;995;528.327638;505.779899;34.304366;36.992944;0.957898;1.078374;0.927322;0.925754;16.000000;0.374265;109.440000;83.260302;54;100
48;B-AA11746-x40-10AA.tif;2244;546.156863;651.300802;41.349516;76.952644;1.593413;1.861029;0.537337;0.482487;393.000000;0.843368;211.973000;77.618984;43;100
49;B-AA11746-x40-10AA.tif;1348;537.737389;606.100148;37.055455;46.571337;1.058855;1.256801;0.795671;0.791339;36.000000;0.605729;133.927000;71.304896;50;100
50;B-AA11746-x40-10AA.tif;1175;565.418723;375.702128;31.858941;47.147477;1.023986;1.479882;0.675729;0.673025;23.000000;0.737150;122.962000;85.303830;38;100
51;B-AA11746-x40-10AA.tif;941;569.270988;264.452710;28.741640;41.915037;1.028382;1.458338;0.685712;0.681962;21.000000;0.727873;110.275000;70.590861;23;100
52;B-AA11746-x40-10AA.tif;1002;570.598802;494.464072;34.282000;38.898722;1.305346;1.134669;0.881314;0.843155;91.000000;0.472531;128.204000;82.847305;43;100
53;B-AA11746-x40-10AA.tif;1247;618.260626;418.767442;34.132384;47.134671;1.093059;1.380937;0.724146;0.714654;53.000000;0.689647;130.876000;87.140337;45;100
54;B-AA11746-x40-10AA.tif;1063;623.161806;562.824083;31.464966;47.689713;1.701038;1.515645;0.659785;0.595106;175.000000;0.751454;150.740000;85.755409;57;100
55;B-AA11746-x40-10AA.tif;1005;635.768159;322.605970;28.684597;44.969674;1.055424;1.567729;0.637865;0.632757;24.000000;0.770148;115.452000;78.282587;39;100
56;B-AA11746-x40-10AA.tif;1084;648.000000;397.019373;35.461425;39.088654;0.974595;1.102287;0.907205;0.903312;17.000000;0.420689;115.221000;83.162362;38;100
57;B-AA11746-x40-10AA.tif;962;666.994802;307.857588;34.005961;36.380507;0.972268;1.069827;0.934730;0.925439;18.000000;0.355358;108.414000;76.213098;42;100
58;B-AA11746-x40-10AA.tif;1078;670.127087;582.434137;34.938591;39.494594;1.003222;1.130400;0.884642;0.879941;38.000000;0.466270;116.577000;85.534323;53;100
59;B-AA11746-x40-10AA.tif;2176;689.166360;367.380055;40.858254;70.466364;1.463758;1.724654;0.579826;0.557963;196.000000;0.814740;200.064000;85.335018;35;100
60;B-AA11746-x40-10AA.tif;779;673.673941;518.786906;24.205763;42.203909;1.137230;1.743548;0.573543;0.556855;24.000000;0.819175;105.511000;74.924262;36;100
61;B-AA11746-x40-10AA.tif;898;681.692650;553.214922;29.895237;38.741455;1.026837;1.295907;0.771660;0.761789;35.000000;0.636035;107.645000;80.150334;49;100
62;B-AA11746-x40-10AA.tif;878;703.011390;332.515945;30.113376;37.561188;1.020893;1.247326;0.801715;0.792366;29.000000;0.597706;106.131000;73.973804;34;100
63;B-AA11746-x40-10AA.tif;1188;707.589226;616.526094;34.924577;43.448499;0.988661;1.244067;0.803815;0.801267;24.000000;0.594879;121.489000;87.575758;62;100
64;B-AA11746-x40-10AA.tif;1308;715.392202;672.320336;38.993070;42.878823;0.974855;1.099652;0.909378;0.905800;23.000000;0.415970;126.584000;82.844801;49;100
65;B-AA11746-x40-10AA.tif;816;721.583333;529.908088;24.341243;42.885881;1.071245;1.761861;0.567582;0.564900;20.000000;0.823317;104.808000;73.654412;29;100
66;B-AA11746-x40-10AA.tif;866;722.913395;586.956120;29.092221;38.659306;1.063159;1.328854;0.752528;0.737768;30.000000;0.658560;107.563000;80.495381;52;100
67;B-AA11746-x40-10AA.tif;1050;731.181905;407.405714;31.492231;42.663714;1.004268;1.354738;0.738150;0.734484;22.000000;0.674636;115.113000;82.471429;43;100
68;B-AA11746-x40-10AA.tif;1064;742.539474;449.688910;35.333503;38.895532;1.062355;1.100812;0.908421;0.895473;40.000000;0.418057;119.182000;84.463346;51;100
69;B-AA11746-x40-10AA.tif;1705;756.330205;570.221114;36.267627;61.608309;1.635095;1.698714;0.588681;0.571947;143.000000;0.808366;187.171000;77.000000;38;100
70;B-AA11746-x40-10AA.tif;956;746.215481;622.767782;30.480482;40.254436;1.015131;1.320663;0.757196;0.751174;22.000000;0.653188;110.432000;79.528243;25;100
71;B-AA11746-x40-10AA.tif;1120;750.797321;658.283036;34.136647;42.021285;1.012034;1.230973;0.812366;0.807587;41.000000;0.583148;119.347000;83.553571;43;100
72;B-AA11746-x40-10AA.tif;898;777.486637;385.464365;29.491606;38.870552;0.973890;1.318021;0.758713;0.756737;12.000000;0.651425;104.833000;74.616927;35;100
73;B-AA11746-x40-10AA.tif;1183;781.488588;611.793745;35.610871;42.412421;0.997045;1.190996;0.839633;0.837353;30.000000;0.543154;121.746000;85.636517;49;100
74;B-AA11746-x40-10AA.tif;1319;793.556482;650.260804;38.542606;44.790619;1.062334;1.162107;0.860506;0.837107;51.000000;0.509440;132.696000;78.657316;39;100
75;B-AA11746-x40-10AA.tif;545;803.482569;682.187156;19.032284;38.169277;1.314364;2.005502;0.498628;0.476298;34.000000;0.866816;94.877000;70.988991;38;100
76;B-AA11746-x40-10AA.tif;1189;822.553406;616.302775;36.389614;41.700137;0.986757;1.145935;0.872650;0.870597;29.000000;0.488347;121.423000;86.690496;57;100
77;B-AA11746-x40-10AA.tif;1269;833.153664;455.773050;36.941396;43.812343;0.987160;1.185996;0.843173;0.841742;25.000000;0.537642;125.467000;87.977935;31;100
78;B-AA11746-x40-10AA.tif;904;832.420354;392.163717;29.543564;39.294722;1.034170;1.330060;0.751846;0.745436;36.000000;0.659339;108.389000;76.038717;40;100
79;B-AA11746-x40-10AA.tif;1226;835.103589;505.469005;34.472324;45.494543;1.007694;1.319741;0.757724;0.754192;28.000000;0.652575;124.599000;87.725122;34;100
80;B-AA11746-x40-10AA.tif;1101;842.918256;652.742961;35.307587;39.773559;0.963264;1.126488;0.887715;0.886153;19.000000;0.460393;115.444000;80.403270;46;100
81;B-AA11746-x40-10AA.tif;907;859.069460;604.794928;31.292505;37.042618;0.972762;1.183754;0.844770;0.841616;20.000000;0.535129;105.296000;75.336273;11;100
82;B-AA11746-x40-10AA.tif;1435;882.988850;643.643206;39.644599;46.160451;0.970375;1.164357;0.858843;0.857476;22.000000;0.512238;132.282000;87.664808;45;100
83;B-AA11746-x40-10AA.tif;1011;895.199802;367.772502;30.213335;42.763007;1.001461;1.415369;0.706530;0.703922;16.000000;0.707683;112.797000;78.977250;37;100
84;B-AA11746-x40-10AA.tif;1310;906.253435;606.896183;31.781200;53.264561;1.172225;1.675977;0.596667;0.587902;61.000000;0.802489;138.914000;87.010687;56;100
85;B-AA11746-x40-10AA.tif;1040;917.510577;528.241346;36.246614;37.091059;1.025761;1.023297;0.977233;0.962509;29.000000;0.212168;115.783000;81.514423;41;100
86;B-AA11746-x40-10AA.tif;1123;921.521817;576.166518;37.375408;38.601527;1.010870;1.032805;0.968237;0.959579;39.000000;0.250036;119.438000;83.149599;36;100
87;B-AA11746-x40-10AA.tif;1043;923.456376;637.170662;33.349605;40.078721;0.983878;1.201775;0.832103;0.826736;22.000000;0.554622;113.558000;73.964525;27;100
88;B-AA11746-x40-10AA.tif;1182;939.883249;443.939086;35.398438;42.603190;0.966275;1.203533;0.830887;0.829170;16.000000;0.556441;119.802000;84.320643;53;100
89;B-AA11746-x40-10AA.tif;1001;938.554446;502.806194;31.526358;40.740978;1.010157;1.292283;0.773824;0.767859;26.000000;0.633400;112.724000;80.477522;46;100
90;B-AA11746-x40-10AA.tif;850;950.103529;251.148235;23.334370;48.524138;1.238412;2.079514;0.480882;0.459635;41.000000;0.876785;115.013000;68.009412;34;100
91;B-AA11746-x40-10AA.tif;1082;957.310536;301.732902;33.083880;41.769604;0.988893;1.262536;0.792056;0.789617;22.000000;0.610448;115.956000;79.447320;52;100
92;B-AA11746-x40-10AA.tif;1123;956.673197;338.195013;35.587179;40.643050;1.007792;1.142070;0.875603;0.865600;40.000000;0.483031;119.256000;81.927872;42;100
