No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-10AA.tif;964;220.124481;86.588174;29.171234;42.412877;1.018648;1.453928;0.687792;0.682326;24.000000;0.725908;111.085000;132.776971;35;221
2;B-AA11746-x40-10AA.tif;1896;242.488397;484.587553;30.957364;81.208371;1.478701;2.623233;0.381209;0.366055;179.000000;0.924489;187.700000;128.669304;78;226
3;B-AA11746-x40-10AA.tif;655;255.468702;457.774046;25.920642;32.698394;1.024380;1.261481;0.792719;0.780007;31.000000;0.609587;91.824000;112.825954;71;209
4;B-AA11746-x40-10AA.tif;1167;338.129392;344.067695;34.242746;43.862777;1.026968;1.280936;0.780679;0.772305;26.000000;0.624932;122.721000;129.605827;77;207
5;B-AA11746-x40-10AA.tif;1123;359.226180;390.565450;33.440821;43.206111;1.078593;1.292017;0.773984;0.765948;50.000000;0.633206;123.374000;133.426536;78;212
6;B-AA11746-x40-10AA.tif;2179;394.787976;387.808628;40.690130;70.411240;1.242819;1.730426;0.577893;0.559607;126.000000;0.816113;184.475000;139.676916;77;200
7;B-AA11746-x40-10AA.tif;1281;421.113973;347.094457;35.669039;45.864884;0.988259;1.285846;0.777698;0.775352;25.000000;0.628638;126.129000;147.192818;89;209
8;B-AA11746-x40-10AA.tif;957;423.195402;256.454545;29.742003;41.094307;0.998192;1.381693;0.723750;0.721537;23.000000;0.690062;109.564000;125.370951;36;218
9;B-AA11746-x40-10AA.tif;1167;438.994859;398.416452;36.653847;40.978974;1.022421;1.117999;0.894455;0.884828;42.000000;0.447158;122.449000;143.221937;93;206
10;B-AA11746-x40-10AA.tif;875;444.851429;27.972571;29.669334;37.765745;0.996498;1.272888;0.785615;0.781128;27.000000;0.618716;104.676000;175.488000;135;245
11;B-AA11746-x40-10AA.tif;937;466.903949;382.783351;30.730397;40.637948;1.127493;1.322402;0.756200;0.722414;70.000000;0.654341;115.221000;131.350053;91;200
12;B-AA11746-x40-10AA.tif;990;466.285859;451.283838;31.947615;39.580756;1.000629;1.238927;0.807150;0.804595;27.000000;0.590346;111.573000;135.749495;66;209
13;B-AA11746-x40-10AA.tif;1048;471.151718;317.337786;29.750178;45.559403;1.066320;1.531399;0.652998;0.642858;21.000000;0.757360;118.503000;125.501908;89;199
14;B-AA11746-x40-10AA.tif;1427;472.813595;349.951647;39.857730;46.967308;1.119995;1.178374;0.848627;0.823650;77.000000;0.528992;141.718000;151.124036;92;197
15;B-AA11746-x40-10AA.tif;864;476.311343;264.828704;30.610890;36.639500;1.130457;1.196943;0.835461;0.819454;61.000000;0.549549;110.787000;117.710648;66;190
16;B-AA11746-x40-10AA.tif;953;480.975866;200.410283;32.676866;37.274255;0.986090;1.140692;0.876660;0.873343;18.000000;0.481110;108.670000;124.444911;65;199
17;B-AA11746-x40-10AA.tif;1489;488.261921;572.039624;37.734089;51.153682;1.133950;1.355636;0.737661;0.724521;94.000000;0.675171;145.663000;116.417058;71;176
18;B-AA11746-x40-10AA.tif;946;484.644820;487.900634;32.346206;37.405917;0.983593;1.156424;0.864735;0.860836;22.000000;0.502228;108.133000;135.526427;58;212
19;B-AA11746-x40-10AA.tif;1003;489.389831;235.531406;34.693519;37.113027;0.988687;1.069739;0.934807;0.927168;26.000000;0.355156;111.631000;127.836491;52;197
20;B-AA11746-x40-10AA.tif;841;497.696790;404.835910;29.110477;37.009417;1.008631;1.271344;0.786569;0.781775;29.000000;0.617502;103.245000;127.631391;66;207
21;B-AA11746-x40-10AA.tif;1313;508.855293;371.305407;37.998805;44.785358;1.055639;1.178599;0.848465;0.833495;63.000000;0.529252;131.976000;152.213252;94;208
22;B-AA11746-x40-10AA.tif;902;506.023282;464.349224;31.310406;37.011914;1.014435;1.182096;0.845955;0.838366;24.000000;0.533255;107.231000;127.760532;65;203
23;B-AA11746-x40-10AA.tif;1094;512.088665;432.902194;32.122158;43.543533;1.063841;1.355561;0.737702;0.734649;37.000000;0.675126;120.935000;139.308044;86;198
24;B-AA11746-x40-10AA.tif;951;521.460568;563.920084;32.068818;38.800659;1.059196;1.209919;0.826502;0.804290;54.000000;0.562934;112.508000;130.937960;86;202
25;B-AA11746-x40-10AA.tif;971;525.803296;343.415036;29.008923;42.911045;1.080980;1.479236;0.676025;0.671415;43.000000;0.736879;114.848000;135.703399;70;212
26;B-AA11746-x40-10AA.tif;1090;528.742202;505.968807;36.506055;38.164399;0.981500;1.045427;0.956547;0.952840;27.000000;0.291577;115.948000;142.650459;89;213
27;B-AA11746-x40-10AA.tif;1402;538.319544;606.021398;37.545631;47.884448;1.096991;1.275367;0.784088;0.778519;51.000000;0.620649;139.021000;116.398716;84;193
28;B-AA11746-x40-10AA.tif;1537;541.808068;406.766428;38.079515;51.480040;1.012955;1.351909;0.739695;0.738425;35.000000;0.672943;139.874000;157.432661;102;210
29;B-AA11746-x40-10AA.tif;1188;543.382997;463.954545;36.030939;42.081980;0.974714;1.167940;0.856208;0.854150;17.000000;0.516631;120.629000;141.387205;106;193
30;B-AA11746-x40-10AA.tif;1509;567.799867;324.383698;38.308157;50.819020;1.053462;1.326585;0.753815;0.743955;68.000000;0.657086;141.338000;153.980782;101;208
31;B-AA11746-x40-10AA.tif;1252;565.924121;375.757188;32.650562;49.023371;1.027797;1.501456;0.666020;0.663297;19.000000;0.745934;127.163000;147.063099;73;216
32;B-AA11746-x40-10AA.tif;949;569.572181;263.780822;28.358199;43.172898;1.041690;1.522413;0.656852;0.648267;18.000000;0.754020;111.457000;117.620653;50;200
33;B-AA11746-x40-10AA.tif;1213;578.468261;292.975268;32.663471;47.904951;1.068581;1.466622;0.681839;0.672992;57.000000;0.731502;127.626000;143.496290;83;209
34;B-AA11746-x40-10AA.tif;1800;603.106667;357.893889;45.372544;50.882010;1.035108;1.121427;0.891721;0.885226;49.000000;0.452586;153.015000;161.650000;121;211
35;B-AA11746-x40-10AA.tif;1302;617.807988;419.066052;36.444142;46.016498;1.066155;1.262658;0.791980;0.782878;47.000000;0.610547;132.075000;150.824885;85;217
36;B-AA11746-x40-10AA.tif;1149;647.584856;396.969539;36.336279;40.389498;0.967326;1.111547;0.899647;0.896795;16.000000;0.436619;118.182000;142.752829;59;216
37;B-AA11746-x40-10AA.tif;1047;666.454632;308.080229;36.094313;37.187343;0.989272;1.030283;0.970607;0.963977;30.000000;0.240668;114.087000;133.619866;66;204
38;B-AA11746-x40-10AA.tif;1143;669.492563;582.984252;36.219229;40.468969;1.034312;1.117334;0.894988;0.888612;51.000000;0.446091;121.886000;144.165354;81;204
39;B-AA11746-x40-10AA.tif;1157;674.549697;374.751945;30.860659;48.425375;1.085310;1.569162;0.637283;0.628199;45.000000;0.770630;125.617000;144.725151;61;206
40;B-AA11746-x40-10AA.tif;858;672.846154;518.628205;25.507971;44.115895;1.129891;1.729494;0.578204;0.561316;27.000000;0.815892;110.374000;134.879953;58;214
41;B-AA11746-x40-10AA.tif;973;681.452210;553.112025;31.431390;40.048347;1.038894;1.274151;0.784836;0.772420;49.000000;0.619703;112.706000;135.252826;93;204
42;B-AA11746-x40-10AA.tif;1531;686.331809;434.060091;44.105111;44.358015;0.996929;1.005734;0.994299;0.990698;35.000000;0.106632;138.492000;163.058785;83;216
43;B-AA11746-x40-10AA.tif;1237;692.400162;482.443007;37.638752;41.988039;0.988149;1.115553;0.896416;0.893364;25.000000;0.443214;123.937000;152.367017;98;211
44;B-AA11746-x40-10AA.tif;1188;702.537879;362.656566;32.143682;48.409430;1.120831;1.506032;0.663996;0.645456;62.000000;0.747736;129.355000;148.789562;101;216
45;B-AA11746-x40-10AA.tif;926;702.450324;332.152268;30.841399;38.872410;1.023208;1.260397;0.793401;0.780258;37.000000;0.608700;109.117000;130.990281;61;217
46;B-AA11746-x40-10AA.tif;1256;707.353503;616.648089;35.997803;44.552588;0.983357;1.237647;0.807985;0.805664;19.000000;0.589204;124.582000;145.636943;100;205
47;B-AA11746-x40-10AA.tif;1349;714.518162;672.650111;40.308586;42.898823;1.005938;1.064260;0.939620;0.933322;40.000000;0.342220;130.586000;139.236471;84;217
