No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-10AA.tif;885;226.482486;551.377401;31.796811;35.757736;0.991479;1.124570;0.889229;0.881279;20.000000;0.457463;105.007000;75.009040;46;100
2;B-AA11746-x40-10AA.tif;1381;249.393193;485.692976;30.989607;58.640823;1.284894;1.892274;0.528465;0.511333;124.000000;0.848955;149.326000;73.645909;45;100
3;B-AA11746-x40-10AA.tif;1389;260.861051;519.573074;29.726481;63.719550;1.543950;2.143528;0.466521;0.435579;150.000000;0.884510;164.162000;74.059755;31;100
4;B-AA11746-x40-10AA.tif;786;247.736641;573.259542;30.052053;34.298637;1.055177;1.141308;0.876188;0.850705;27.000000;0.481970;102.089000;76.489822;53;100
5;B-AA11746-x40-10AA.tif;644;255.372671;458.610248;26.724808;30.946918;0.966347;1.157985;0.863569;0.856172;14.000000;0.504230;88.433000;66.673913;34;100
6;B-AA11746-x40-10AA.tif;1674;275.110514;562.949821;35.563600;62.500720;1.203712;1.757435;0.569011;0.545627;123.000000;0.822330;159.127000;70.608722;46;100
7;B-AA11746-x40-10AA.tif;2593;316.901273;547.336676;45.937922;73.416947;1.175728;1.598177;0.625713;0.612520;135.000000;0.780054;195.731000;71.665253;40;100
8;B-AA11746-x40-10AA.tif;1053;338.030389;344.151947;32.472512;41.632280;1.016425;1.282078;0.779984;0.773532;29.000000;0.625799;115.973000;78.647673;40;100
9;B-AA11746-x40-10AA.tif;1513;348.257105;517.171183;35.386783;55.249464;1.137239;1.561302;0.640491;0.631092;73.000000;0.767966;147.045000;73.651024;43;100
10;B-AA11746-x40-10AA.tif;1248;356.197917;566.524840;36.039486;44.922650;1.202209;1.246484;0.802256;0.787397;87.000000;0.596980;137.310000;65.994391;39;100
11;B-AA11746-x40-10AA.tif;1063;360.442145;390.589840;32.556950;41.636472;0.978349;1.278881;0.781933;0.780720;21.000000;0.623362;114.319000;81.132643;38;100
12;B-AA11746-x40-10AA.tif;1082;378.892791;480.223660;35.684756;38.854956;1.027208;1.088839;0.918409;0.912525;31.000000;0.395631;118.181000;88.822551;48;100
13;B-AA11746-x40-10AA.tif;932;384.984979;582.418455;32.292140;37.821777;1.134211;1.171238;0.853798;0.829549;76.000000;0.520605;115.255000;73.946352;34;100
14;B-AA11746-x40-10AA.tif;1220;394.098361;545.744262;34.463739;47.814101;1.480679;1.387374;0.720786;0.679451;154.000000;0.693158;150.666000;74.895902;38;100
15;B-AA11746-x40-10AA.tif;1120;394.612500;397.237500;30.241077;49.164262;1.549417;1.625744;0.615103;0.589969;123.000000;0.788447;147.672000;78.175893;31;100
