No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-10AA.tif;953;217.834208;88.502623;29.916212;41.966689;1.227915;1.402808;0.712856;0.688959;77.000000;0.701310;121.265000;78.473242;16;100
2;B-AA11746-x40-10AA.tif;940;222.240426;550.106383;32.777857;37.482796;1.111347;1.143540;0.874477;0.851871;51.000000;0.485066;114.576000;85.698936;31;100
3;B-AA11746-x40-10AA.tif;1177;246.778250;481.926933;33.293721;50.971069;1.871027;1.530951;0.653189;0.576818;228.000000;0.757195;166.354000;89.200510;44;100
4;B-AA11746-x40-10AA.tif;574;253.778746;456.353659;23.997330;31.610157;1.081964;1.317236;0.759165;0.731423;46.000000;0.650898;88.342000;81.775261;25;100
5;B-AA11746-x40-10AA.tif;927;331.454153;342.848975;34.317315;35.519369;1.362039;1.035028;0.966158;0.935534;85.000000;0.257952;125.962000;86.552319;25;100
6;B-AA11746-x40-10AA.tif;779;414.640565;430.035944;27.432644;36.984237;1.132428;1.348183;0.741739;0.725127;51.000000;0.670689;105.288000;90.012837;38;100
7;B-AA11746-x40-10AA.tif;859;418.444703;256.620489;29.367457;38.182435;1.195490;1.300161;0.769135;0.750198;57.000000;0.639086;113.599000;80.693830;0;100
8;B-AA11746-x40-10AA.tif;818;476.743276;200.155257;30.375985;34.788257;1.125858;1.145255;0.873168;0.860594;38.000000;0.487420;107.578000;82.347188;28;100
9;B-AA11746-x40-10AA.tif;1281;618.499610;417.482436;32.175719;52.108426;1.199487;1.619495;0.617476;0.600680;81.000000;0.786589;138.956000;88.231069;16;100
10;B-AA11746-x40-10AA.tif;1407;620.723525;668.992182;34.122733;56.287805;1.794631;1.649569;0.606219;0.565426;197.000000;0.795298;178.131000;87.999289;25;100
11;B-AA11746-x40-10AA.tif;461;626.405640;623.516269;19.169287;35.047719;1.545157;1.828327;0.546948;0.477850;72.000000;0.837166;94.611000;90.355748;50;100
12;B-AA11746-x40-10AA.tif;901;642.027747;601.113208;32.152883;36.108757;1.074038;1.123033;0.890446;0.879852;34.000000;0.455090;110.275000;91.761376;47;100
13;B-AA11746-x40-10AA.tif;1116;649.978495;397.267921;36.532905;39.191528;1.036464;1.072773;0.932163;0.925103;38.000000;0.362038;120.563000;91.170251;50;100
14;B-AA11746-x40-10AA.tif;2135;691.596721;367.517096;40.134507;71.433759;1.730092;1.779859;0.561842;0.532722;286.000000;0.827244;215.446000;91.041686;38;100
15;B-AA11746-x40-10AA.tif;782;675.947570;517.702046;23.161019;44.689461;1.244355;1.929512;0.518266;0.498548;42.000000;0.855220;110.581000;81.227621;25;100
16;B-AA11746-x40-10AA.tif;888;705.561937;331.762387;30.918131;37.239738;1.123840;1.204463;0.830246;0.815286;49.000000;0.557398;111.986000;84.226351;22;100
17;B-AA11746-x40-10AA.tif;1008;733.699405;407.149802;31.816082;41.172060;1.174260;1.294064;0.772759;0.757121;72.000000;0.634699;121.960000;89.572421;47;100
18;B-AA11746-x40-10AA.tif;1039;744.532243;449.443696;35.282390;38.092141;1.028062;1.079636;0.926238;0.911706;36.000000;0.376939;115.857000;90.619827;41;100
19;B-AA11746-x40-10AA.tif;964;747.960581;622.691909;30.730640;40.166921;1.036478;1.307064;0.765073;0.760764;32.000000;0.643943;112.053000;91.445021;41;100
