No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-10AA.tif;839;226.798570;552.208582;31.667785;34.073024;1.004563;1.075952;0.929409;0.920133;22.000000;0.369051;102.914000;0.429205;2.640954e-01;9.985368e-01
2;B-AA11746-x40-10AA.tif;1230;247.254472;486.254472;27.996906;57.604993;1.319922;2.057549;0.486015;0.471949;109.000000;0.873950;142.834000;0.397533;2.207034e-01;1.021982e+00
3;B-AA11746-x40-10AA.tif;2452;266.689233;566.357259;54.818421;63.168103;1.455413;1.152315;0.867818;0.782411;265.000000;0.496882;211.767000;0.386749;2.290421e-01;1.186463e+00
4;B-AA11746-x40-10AA.tif;641;255.608424;459.121685;26.882521;30.526158;0.967425;1.135539;0.880639;0.875838;18.000000;0.473788;88.276000;0.379034;1.989923e-01;1.127194e+00
5;B-AA11746-x40-10AA.tif;2312;317.888841;546.276817;41.557767;77.141768;1.677106;1.856254;0.538719;0.494674;380.000000;0.842485;220.739000;0.403059;2.278933e-01;8.528152e-01
6;B-AA11746-x40-10AA.tif;1090;353.678899;519.132110;33.521850;41.836942;1.128300;1.248050;0.801250;0.792897;56.000000;0.598330;124.317000;0.435159;2.728910e-01;1.130361e+00
7;B-AA11746-x40-10AA.tif;1549;364.041317;569.794061;38.599917;54.969650;1.378928;1.424087;0.702204;0.652703;195.000000;0.711976;163.833000;0.375317;1.747933e-01;8.308818e-01
8;B-AA11746-x40-10AA.tif;659;392.314112;398.529590;25.560534;39.502984;1.677119;1.545468;0.647053;0.537695;147.000000;0.762445;117.850000;0.428784;2.415042e-01;9.158686e-01
9;B-AA11746-x40-10AA.tif;1194;406.460637;596.737018;30.433538;52.738905;1.560811;1.732921;0.577060;0.546578;195.000000;0.816701;153.032000;0.434800;2.626307e-01;9.793278e-01
10;B-AA11746-x40-10AA.tif;1107;439.911472;571.321590;34.595317;42.624513;1.365303;1.232089;0.811630;0.775781;109.000000;0.584172;137.814000;0.410146;2.540627e-01;8.967434e-01
11;B-AA11746-x40-10AA.tif;1649;472.733778;619.781079;35.096524;65.059159;1.519196;1.853721;0.539456;0.496037;227.000000;0.842014;177.428000;0.429052;2.610589e-01;1.008314e+00
12;B-AA11746-x40-10AA.tif;833;478.081633;262.187275;30.385863;38.261055;1.510785;1.259173;0.794172;0.724505;83.000000;0.607693;125.756000;0.418646;2.028683e-01;9.739336e-01
13;B-AA11746-x40-10AA.tif;1397;498.763064;571.808160;36.860941;54.007923;2.219870;1.465180;0.682510;0.609806;297.000000;0.730876;197.409000;0.407832;2.348747e-01;9.523329e-01
14;B-AA11746-x40-10AA.tif;497;494.621730;232.995976;20.708192;38.824251;1.802387;1.874826;0.533383;0.419817;119.000000;0.845874;106.098000;0.476214;1.480271e-01;1.098852e+00
15;B-AA11746-x40-10AA.tif;1130;540.133628;606.331858;36.328217;40.517208;1.142150;1.115310;0.896612;0.876414;63.000000;0.442817;127.352000;0.410678;2.642947e-01;7.891813e-01
16;B-AA11746-x40-10AA.tif;755;538.843709;651.923179;30.126832;34.271169;1.460369;1.137563;0.879072;0.818463;83.000000;0.476689;117.709000;0.409560;2.104740e-01;7.611497e-01
17;B-AA11746-x40-10AA.tif;862;570.140371;264.662413;27.333127;40.501827;1.084719;1.481785;0.674862;0.669065;29.000000;0.737944;108.397000;0.434501;1.311194e-01;1.098690e+00
18;B-AA11746-x40-10AA.tif;1457;985.892244;259.844200;37.946861;49.818427;1.217333;1.312847;0.761703;0.747463;80.000000;0.647926;149.293000;0.421000;2.151178e-01;1.010243e+00
19;B-AA11746-x40-10AA.tif;789;987.520913;459.793409;28.522506;35.350103;0.969180;1.239376;0.806858;0.803907;15.000000;0.590746;98.027000;0.433996;1.068905e-01;1.216079e+00
20;B-AA11746-x40-10AA.tif;762;1020.011811;268.258530;29.442356;33.867465;1.150775;1.150297;0.869340;0.845862;37.000000;0.494214;104.973000;0.423796;1.179085e-01;1.208701e+00
21;B-AA11746-x40-10AA.tif;1011;1030.119683;238.279921;33.711409;38.506396;0.997647;1.142236;0.875476;0.868152;24.000000;0.483262;112.582000;0.479717;2.451729e-01;1.128573e+00
22;B-AA11746-x40-10AA.tif;809;1045.695921;379.519159;27.969612;37.235755;1.020324;1.331293;0.751149;0.742914;24.000000;0.660132;101.847000;0.459495;6.085903e-02;1.706872e+00
23;B-AA11746-x40-10AA.tif;1062;1070.983051;345.265537;37.045980;43.169435;1.933797;1.165293;0.858153;0.725574;294.000000;0.513394;160.647000;0.448331;1.746326e-01;1.275042e+00
24;B-AA11746-x40-10AA.tif;772;1143.611399;234.102332;28.008417;35.855281;1.066624;1.280161;0.781152;0.764577;35.000000;0.624341;101.723000;0.412399;7.355327e-02;1.265795e+00
25;B-AA11746-x40-10AA.tif;576;1182.298611;315.180556;22.809459;32.402027;0.983104;1.420552;0.703952;0.698535;11.000000;0.710248;84.356000;0.348909;6.397683e-02;1.453304e+00
26;B-AA11746-x40-10AA.tif;764;1245.887435;271.878272;29.326866;33.493056;1.013410;1.142061;0.875610;0.867149;27.000000;0.483018;98.638000;0.412026;1.254907e-01;1.239269e+00
27;B-AA11746-x40-10AA.tif;1053;1256.878443;337.377968;32.880281;40.890890;0.973265;1.243630;0.804098;0.801836;20.000000;0.594497;113.484000;0.462810;1.070441e-01;1.326370e+00
28;B-AA11746-x40-10AA.tif;826;1295.577482;318.175545;27.672105;38.241528;0.995599;1.381952;0.723614;0.719150;18.000000;0.690205;101.657000;0.419179;2.319701e-01;1.274466e+00
29;B-AA11746-x40-10AA.tif;746;1311.347185;349.636729;26.454488;37.879428;1.183645;1.431872;0.698387;0.661976;75.000000;0.715721;105.338000;0.390441;1.039448e-01;1.267958e+00
30;B-AA11746-x40-10AA.tif;826;1314.600484;210.084746;28.440396;37.180717;0.982519;1.307321;0.764923;0.760772;17.000000;0.644121;100.987000;0.424209;1.650583e-01;1.082438e+00
31;B-AA11746-x40-10AA.tif;899;1331.135706;295.191324;29.773337;39.148414;1.113045;1.314882;0.760525;0.746864;46.000000;0.649309;112.135000;0.410297;1.184036e-01;1.124377e+00
