No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-10AA.tif;800;227.283750;552.573750;30.099413;34.076044;1.055563;1.132117;0.883301;0.877206;37.000000;0.468806;103.013000;0.435136;2.329905e-01;1.317476e+00
2;B-AA11746-x40-10AA.tif;1173;247.745098;486.505541;26.931928;56.883763;1.327272;2.112131;0.473455;0.461564;91.000000;0.880818;139.873000;0.390032;1.783741e-01;1.010001e+00
3;B-AA11746-x40-10AA.tif;1156;263.122837;520.474913;27.831080;57.010275;1.520542;2.048439;0.488177;0.452858;130.000000;0.872745;148.622000;0.414923;1.385896e-01;1.056911e+00
4;B-AA11746-x40-10AA.tif;720;248.569444;573.873611;28.316595;33.633216;1.068723;1.187756;0.841924;0.810412;33.000000;0.539597;98.334000;0.397667;2.151012e-01;1.157131e+00
5;B-AA11746-x40-10AA.tif;636;255.691824;459.022013;26.632534;30.612588;0.956300;1.149443;0.869986;0.864106;14.000000;0.493076;87.424000;0.388212;1.436821e-01;1.541334e+00
6;B-AA11746-x40-10AA.tif;1664;275.378005;563.095553;35.457418;62.248001;1.266964;1.755571;0.569615;0.546780;132.000000;0.821911;162.766000;0.370343;1.971688e-01;1.648881e+00
7;B-AA11746-x40-10AA.tif;1329;319.229496;560.103837;36.817281;49.461807;2.117173;1.343440;0.744358;0.691664;154.000000;0.667781;188.038000;0.381803;1.607069e-01;1.003210e+00
8;B-AA11746-x40-10AA.tif;1081;319.688252;526.749306;34.773938;41.757644;1.383571;1.200832;0.832756;0.789340;153.000000;0.553640;137.094000;0.378593;2.162816e-01;6.575023e-01
9;B-AA11746-x40-10AA.tif;1141;353.446976;517.948291;32.571437;45.770426;1.109800;1.405232;0.711626;0.693467;65.000000;0.702558;126.145000;0.415977;1.859363e-01;1.441994e+00
10;B-AA11746-x40-10AA.tif;1251;359.836930;567.725020;37.993819;43.196147;1.207568;1.136926;0.879565;0.853645;116.000000;0.475779;137.781000;0.328389;9.924364e-02;9.131799e-01
