No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-10AA.tif;879;219.139932;87.265074;27.838550;40.751037;1.037778;1.463835;0.683137;0.673941;25.000000;0.730290;107.066000;60.684869;0;255
2;B-AA11746-x40-10AA.tif;1474;231.590909;558.868385;33.682614;62.649848;1.923224;1.860006;0.537633;0.478154;288.000000;0.843179;188.742000;67.043419;0;206
3;B-AA11746-x40-10AA.tif;1452;250.576446;485.876722;34.185038;55.850003;1.287909;1.633756;0.612087;0.592694;104.000000;0.790791;153.296000;64.330579;0;197
4;B-AA11746-x40-10AA.tif;1498;260.160214;519.597463;30.887216;64.666700;1.401764;2.093640;0.477637;0.456100;93.000000;0.878557;162.442000;56.370494;0;189
5;B-AA11746-x40-10AA.tif;651;254.623656;457.894009;26.124203;32.346367;1.003004;1.238176;0.807639;0.792210;19.000000;0.589677;90.583000;45.804916;0;255
6;B-AA11746-x40-10AA.tif;827;268.602177;549.712213;27.359477;39.642720;1.152489;1.448958;0.690151;0.670022;60.000000;0.723665;109.440000;59.425635;0;156
7;B-AA11746-x40-10AA.tif;716;281.245810;576.079609;24.090905;38.717109;1.108374;1.607126;0.622229;0.608159;23.000000;0.782835;99.863000;79.356145;16;222
8;B-AA11746-x40-10AA.tif;983;304.935910;493.077314;30.648825;41.043475;1.021549;1.339153;0.746740;0.742977;31.000000;0.665116;112.334000;62.077314;0;197
9;B-AA11746-x40-10AA.tif;2707;316.142593;547.734762;47.319406;74.244676;1.156695;1.569011;0.637344;0.625270;147.000000;0.770579;198.362000;51.740672;0;173
10;B-AA11746-x40-10AA.tif;1102;337.287659;344.588929;33.682041;42.198556;1.022163;1.252850;0.798180;0.787946;30.000000;0.602419;118.975000;58.784029;0;222
11;B-AA11746-x40-10AA.tif;1618;347.998764;517.200247;36.748390;56.842603;1.141749;1.546805;0.646494;0.637589;88.000000;0.762919;152.363000;58.045735;0;239
12;B-AA11746-x40-10AA.tif;1426;347.469144;429.084151;38.752936;47.522599;1.131530;1.226297;0.815463;0.803950;90.000000;0.578809;142.396000;82.840112;0;247
13;B-AA11746-x40-10AA.tif;1113;342.643306;469.426774;35.419310;40.237409;0.994410;1.136030;0.880258;0.875276;32.000000;0.474495;117.933000;67.048518;0;255
14;B-AA11746-x40-10AA.tif;1155;353.746320;566.218182;30.909105;49.318433;1.215426;1.595596;0.626725;0.604608;110.000000;0.779240;132.819000;46.430303;0;181
15;B-AA11746-x40-10AA.tif;1078;359.183673;390.432282;32.335522;42.612201;0.999663;1.317814;0.758832;0.755894;28.000000;0.651286;116.370000;57.210575;0;230
16;B-AA11746-x40-10AA.tif;1113;378.692722;480.635220;36.699359;38.859305;0.995254;1.058855;0.944416;0.938459;38.000000;0.328752;117.983000;70.607367;0;255
17;B-AA11746-x40-10AA.tif;1247;382.410585;579.326383;35.436108;47.476465;1.260103;1.339776;0.746393;0.704401;134.000000;0.665505;140.521000;58.340818;0;173
18;B-AA11746-x40-10AA.tif;2031;393.912358;388.229936;39.284603;68.220537;1.366225;1.736572;0.575847;0.555635;138.000000;0.817557;186.733000;72.238306;0;214
19;B-AA11746-x40-10AA.tif;1521;400.238659;541.881657;38.415157;55.454327;1.387920;1.443553;0.692735;0.629750;175.000000;0.721192;162.874000;61.528600;0;255
20;B-AA11746-x40-10AA.tif;993;398.914401;507.822759;33.673973;39.136109;1.112238;1.162206;0.860432;0.825475;40.000000;0.509565;117.809000;54.395770;0;206
