No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;1776;96.639077;547.940315;40.602486;55.865423;1.019930;1.375911;0.726791;0.724548;35.000000;0.686859;150.873000;106.553491;63;187
2;B-hosp1385-x40-09.tif;3232;123.280941;596.216584;60.258913;69.835392;1.146201;1.158922;0.862871;0.843782;189.000000;0.505425;215.760000;104.288366;51;185
3;B-hosp1385-x40-09.tif;2929;134.268351;491.739502;53.776178;70.078732;1.053474;1.303156;0.767368;0.759376;77.000000;0.641207;196.914000;101.221577;35;194
4;B-hosp1385-x40-09.tif;1877;126.644113;646.029302;47.379518;52.732692;1.235662;1.112985;0.898485;0.859438;179.000000;0.439005;170.721000;101.282898;41;161
5;B-hosp1385-x40-09.tif;1984;155.697581;395.967742;47.576785;53.321370;0.987541;1.120743;0.892265;0.888483;33.000000;0.451512;156.911000;108.834677;58;194
6;B-hosp1385-x40-09.tif;1669;167.269623;691.215698;44.858988;47.932461;1.022602;1.068514;0.935879;0.924926;49.000000;0.352321;146.449000;96.617735;46;202
7;B-hosp1385-x40-09.tif;2578;175.903801;636.564779;55.702004;59.427881;1.076063;1.066889;0.937304;0.929421;95.000000;0.348512;186.709000;90.966641;42;166
8;B-hosp1385-x40-09.tif;1820;203.631319;425.230769;46.080522;50.419221;1.000305;1.094155;0.913948;0.911568;35.000000;0.405832;151.254000;103.507692;70;167
9;B-hosp1385-x40-09.tif;3160;226.915506;326.137658;58.439860;69.160639;0.995419;1.183450;0.844987;0.841161;49.000000;0.534786;198.816000;98.717089;43;185
10;B-hosp1385-x40-09.tif;2097;265.148784;237.857415;44.064485;60.911165;1.046521;1.382319;0.723422;0.719639;54.000000;0.690406;166.065000;113.144492;33;208
11;B-hosp1385-x40-09.tif;1084;266.261993;283.399446;31.468465;44.703846;1.079113;1.420592;0.703932;0.690637;58.000000;0.710267;121.242000;94.763838;68;195
12;B-hosp1385-x40-09.tif;1298;281.935285;312.963790;37.579019;44.810146;1.053307;1.192425;0.838627;0.823061;74.000000;0.544705;131.075000;95.553929;58;189
13;B-hosp1385-x40-09.tif;2709;308.854928;364.600591;58.263120;59.533445;1.015326;1.021803;0.978662;0.973189;60.000000;0.205477;185.914000;93.375046;29;183
14;B-hosp1385-x40-09.tif;1899;312.106898;179.579252;44.913398;54.165593;0.995522;1.206001;0.829187;0.824116;36.000000;0.558971;154.132000;104.925750;67;177
15;B-hosp1385-x40-09.tif;2832;352.462924;142.244350;49.520215;74.449712;1.135130;1.503421;0.665150;0.650545;102.000000;0.746710;200.990000;102.472811;59;185
16;B-hosp1385-x40-09.tif;3818;390.659508;216.245678;65.587502;74.575698;1.097858;1.137041;0.879476;0.874080;147.000000;0.475944;229.507000;100.316920;30;176
17;B-hosp1385-x40-09.tif;2066;418.462246;150.992256;48.253924;55.497246;1.142184;1.150108;0.869483;0.854078;92.000000;0.493962;172.202000;98.796709;49;170
18;B-hosp1385-x40-09.tif;462;414.452381;498.136364;19.059574;39.563207;1.863474;2.075765;0.481750;0.375811;153.000000;0.876309;104.013000;148.634199;87;187
19;B-hosp1385-x40-09.tif;3043;465.524482;148.323694;49.269870;81.219825;1.366466;1.648468;0.606624;0.587338;295.000000;0.794989;228.589000;95.319422;50;172
20;B-hosp1385-x40-09.tif;4223;494.461047;506.997632;61.458712;106.513845;2.193480;1.733096;0.577002;0.473935;1747.000000;0.816743;341.179000;158.574000;81;185
21;B-hosp1385-x40-09.tif;1969;479.897918;53.220924;47.581904;53.649535;1.097970;1.127520;0.886902;0.871012;101.000000;0.461957;164.825000;102.493652;35;168
22;B-hosp1385-x40-09.tif;6768;513.551418;124.867465;68.070743;131.010407;1.495478;1.924621;0.519583;0.502064;685.000000;0.854420;356.636000;101.665337;29;177
23;B-hosp1385-x40-09.tif;4286;539.312179;406.352776;67.433029;88.106508;1.748652;1.306578;0.765358;0.702985;1038.000000;0.643605;306.890000;124.598460;56;184
