No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;3310;129.519940;493.056495;54.201279;81.853906;1.332070;1.510184;0.662171;0.629013;258.000000;0.749353;235.387000;0.193638;1.420411e-03;8.505358e-01
2;B-hosp1385-x40-09.tif;2605;147.981574;394.902879;49.679673;73.325109;1.545790;1.475958;0.677526;0.616897;381.000000;0.735499;224.949000;0.270431;1.579398e-02;8.615341e-01
3;B-hosp1385-x40-09.tif;311;150.250804;817.421222;15.584953;28.012768;1.331958;1.797424;0.556352;0.504613;24.000000;0.830947;72.149000;0.653601;4.266851e-01;7.456877e-01
4;B-hosp1385-x40-09.tif;1916;163.848643;685.856994;43.747617;60.149031;1.412005;1.374910;0.727320;0.674293;210.000000;0.686298;184.383000;0.252830;1.204208e-02;6.816241e-01
5;B-hosp1385-x40-09.tif;751;165.885486;604.384820;25.892034;53.247622;2.835514;2.056525;0.486257;0.337248;346.000000;0.873816;163.584000;0.584153;2.483821e-02;8.556943e-01
6;B-hosp1385-x40-09.tif;4021;221.914947;326.691122;68.734511;80.370354;2.092182;1.169287;0.855222;0.792597;594.000000;0.518262;325.141000;0.222595;5.772669e-03;8.766415e-01
7;B-hosp1385-x40-09.tif;1878;216.837593;728.890841;48.053811;52.206227;1.347666;1.086412;0.920461;0.877326;209.000000;0.390834;178.338000;0.231960;0;6.937023e-01
8;B-hosp1385-x40-09.tif;2336;230.773973;664.148973;51.614998;57.826878;1.014643;1.120350;0.892578;0.889454;55.000000;0.450893;172.583000;0.147879;2.021609e-04;7.986803e-01
9;B-hosp1385-x40-09.tif;2791;266.953063;232.050520;52.411529;74.359122;1.988931;1.418755;0.704843;0.642690;499.000000;0.709363;264.116000;0.281219;7.904979e-04;9.288553e-01
10;B-hosp1385-x40-09.tif;2419;274.133113;299.966102;41.479531;76.455658;1.195553;1.843214;0.542531;0.526898;158.000000;0.840036;190.637000;0.128957;9.368810e-04;9.309158e-01
11;B-hosp1385-x40-09.tif;1926;283.516615;656.868640;46.241060;58.973118;1.915928;1.275341;0.784104;0.705112;228.000000;0.620629;215.339000;0.242839;1.894254e-03;7.011601e-01
12;B-hosp1385-x40-09.tif;2995;308.161937;362.260100;63.222165;63.871142;1.368226;1.010265;0.989839;0.934755;307.000000;0.142191;226.925000;0.172538;2.322496e-05;8.950632e-01
13;B-hosp1385-x40-09.tif;5363;334.008577;159.245944;64.448183;125.105558;2.257915;1.941181;0.515150;0.436279;1268.000000;0.857100;390.088000;0.215332;9.689044e-03;8.643998e-01
14;B-hosp1385-x40-09.tif;5687;361.733603;276.220503;70.976114;109.517434;1.672848;1.543018;0.648081;0.603708;815.000000;0.761572;345.760000;0.327084;0;9.525838e-01
15;B-hosp1385-x40-09.tif;575;335.954783;788.636522;25.802741;38.863568;2.432276;1.506180;0.663931;0.484722;289.000000;0.747794;132.570000;0.576643;4.508977e-02;8.994378e-01
16;B-hosp1385-x40-09.tif;424;352.474057;596.403302;25.609338;26.693723;1.657729;1.042343;0.959377;0.757631;133.000000;0.282128;93.982000;0.603224;9.425279e-02;9.462626e-01
17;B-hosp1385-x40-09.tif;482;365.813278;435.894191;19.496058;43.060792;1.994460;2.208692;0.452757;0.330973;222.000000;0.891634;109.911000;0.534175;1.590754e-02;8.909777e-01
18;B-hosp1385-x40-09.tif;683;361.524158;661.471449;18.283833;58.236456;2.304064;3.185134;0.313959;0.256414;219.000000;0.949437;140.625000;0.593725;3.560030e-03;8.747481e-01
19;B-hosp1385-x40-09.tif;6005;467.992007;672.972689;115.988401;206.140713;8.559402;1.777253;0.562666;0.179927;10198.000000;0.826684;803.680000;0.652331;9.824880e-05;9.765762e-01
20;B-hosp1385-x40-09.tif;1592;519.153894;789.619975;40.047086;94.785486;3.382007;2.366851;0.422502;0.225616;1325.000000;0.906362;260.114000;0.652983;3.677729e-02;9.235218e-01
21;B-hosp1385-x40-09.tif;2342;561.261315;727.691716;63.297621;139.429002;5.967707;2.202753;0.453977;0.153388;3591.000000;0.891013;419.085000;0.639873;1.355683e-04;9.646238e-01
22;B-hosp1385-x40-09.tif;810;512.575309;163.344444;28.780753;69.087815;3.764973;2.400487;0.416582;0.216069;684.000000;0.909098;195.762000;0.570221;6.048798e-03;9.139500e-01
