No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;1861;96.418592;547.835572;42.058422;56.511088;1.021301;1.343633;0.744251;0.741975;43.000000;0.667900;154.545000;0.465773;1.306533e-01;7.463768e-01
2;B-hosp1385-x40-09.tif;3043;133.818271;491.118304;54.806660;71.372059;1.044043;1.302252;0.767901;0.760599;64.000000;0.640569;199.809000;0.487855;8.121827e-02;9.519231e-01
3;B-hosp1385-x40-09.tif;2066;155.239109;395.207164;49.321601;53.674827;1.041284;1.088262;0.918896;0.913060;66.000000;0.394499;164.420000;0.460376;5.076142e-02;7.985612e-01
4;B-hosp1385-x40-09.tif;1421;166.449683;691.985222;40.595357;44.715151;0.967471;1.101484;0.907866;0.904888;24.000000;0.419261;131.438000;0.567111;1.324201e-01;8.848921e-01
5;B-hosp1385-x40-09.tif;2855;203.012960;536.344308;58.676771;62.072693;0.984693;1.057875;0.945291;0.943442;46.000000;0.326228;187.957000;0.549613;2.447917e-01;7.647059e-01
6;B-hosp1385-x40-09.tif;1710;203.032749;424.942690;44.735490;48.791185;0.982254;1.090659;0.916876;0.914584;30.000000;0.399171;145.283000;0.511912;2.417582e-01;7.162162e-01
7;B-hosp1385-x40-09.tif;3164;226.948483;325.693110;58.334774;69.387583;1.025750;1.189472;0.840709;0.836726;78.000000;0.541487;201.950000;0.518273;1.195652e-01;9.677419e-01
8;B-hosp1385-x40-09.tif;2967;239.447927;491.526121;52.097633;72.787969;1.027261;1.397145;0.715745;0.713031;44.000000;0.698362;195.706000;0.550990;2.146341e-01;8.222222e-01
9;B-hosp1385-x40-09.tif;2228;230.950628;664.678636;50.625900;56.134271;0.979906;1.108805;0.901872;0.900262;36.000000;0.432004;165.636000;0.608758;2.128713e-01;9.909910e-01
10;B-hosp1385-x40-09.tif;1891;259.370703;395.721840;41.563732;58.120894;1.019025;1.398356;0.715125;0.712750;40.000000;0.698996;155.612000;0.520220;2.784091e-01;7.324841e-01
11;B-hosp1385-x40-09.tif;1741;256.188397;441.369902;47.062715;47.174545;0.973896;1.002376;0.997629;0.996078;37.000000;0.068815;145.969000;0.550945;3.214286e-01;8.000000e-01
12;B-hosp1385-x40-09.tif;2707;261.985962;561.565201;54.874879;63.001896;1.046213;1.148101;0.871004;0.868343;79.000000;0.491277;188.651000;0.577767;2.437811e-01;8.601399e-01
13;B-hosp1385-x40-09.tif;2196;264.924863;236.937158;45.301866;61.947117;1.012831;1.367430;0.731299;0.728619;35.000000;0.682057;167.182000;0.437586;9.900990e-03;9.430894e-01
