No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;1831;96.232114;548.453850;41.316095;56.647447;1.034813;1.371075;0.729355;0.726504;43.000000;0.684136;154.305000;0.660397;4.750687e-01;8.170588e-01
2;B-hosp1385-x40-09.tif;3405;140.706314;392.203231;50.236853;91.821584;1.497619;1.827773;0.547114;0.514207;359.000000;0.837058;253.142000;0.611220;1.786874e-02;8.448414e-01
3;B-hosp1385-x40-09.tif;3223;131.953149;492.277071;55.685185;74.802203;1.118785;1.343305;0.744432;0.733401;123.000000;0.667698;212.867000;0.665922;5.892534e-02;9.358965e-01
4;B-hosp1385-x40-09.tif;1850;164.034595;686.822703;42.584814;60.623065;1.630276;1.423584;0.702452;0.640923;237.000000;0.711731;194.680000;0.690085;4.019753e-01;8.981332e-01
5;B-hosp1385-x40-09.tif;3607;223.516218;325.813696;63.700764;72.944042;1.311651;1.145105;0.873283;0.863131;252.000000;0.487214;243.830000;0.676810;5.076774e-01;9.536053e-01
6;B-hosp1385-x40-09.tif;1667;214.864427;729.051590;44.279168;48.497728;1.077463;1.095272;0.913015;0.902408;63.000000;0.407925;150.236000;0.706930;4.353230e-01;9.408007e-01
7;B-hosp1385-x40-09.tif;2308;230.922444;664.430676;51.294528;57.427787;0.984871;1.119569;0.893200;0.891049;38.000000;0.449659;169.010000;0.736402;4.984102e-01;9.528283e-01
8;B-hosp1385-x40-09.tif;2422;261.801817;237.542527;45.905888;68.343692;1.242290;1.488778;0.671692;0.660218;130.000000;0.740831;194.448000;0.633545;5.383368e-03;9.206622e-01
9;B-hosp1385-x40-09.tif;2429;274.258131;299.734047;41.639350;76.430377;1.214406;1.835532;0.544801;0.529426;171.000000;0.838565;192.531000;0.694817;2.788309e-02;8.730738e-01
10;B-hosp1385-x40-09.tif;1651;286.019382;653.546941;41.131108;51.311223;1.007645;1.247504;0.801601;0.798422;31.000000;0.597860;144.588000;0.741311;6.161078e-01;8.713814e-01
11;B-hosp1385-x40-09.tif;5527;332.625113;159.270671;63.321721;129.277810;2.420815;2.041603;0.489811;0.421067;1251.000000;0.871829;410.044000;0.657234;4.637254e-01;8.428717e-01
12;B-hosp1385-x40-09.tif;2627;308.441188;364.953559;57.602185;58.785152;1.088499;1.020537;0.979876;0.967910;88.000000;0.199605;189.561000;0.717216;7.737423e-02;9.697957e-01
13;B-hosp1385-x40-09.tif;4228;331.256623;462.167455;62.054872;92.203405;1.669286;1.485837;0.673021;0.633215;354.000000;0.739623;297.809000;0.723231;5.362385e-01;9.531582e-01
14;B-hosp1385-x40-09.tif;371;338.830189;747.568733;17.066494;34.756866;1.682140;2.036556;0.491025;0.391023;107.000000;0.871145;88.557000;0.669069;5.878549e-01;8.795421e-01
15;B-hosp1385-x40-09.tif;678;361.756637;662.685841;19.159687;60.403039;2.589129;3.152611;0.317197;0.236604;339.000000;0.948360;148.524000;0.679040;6.070916e-01;8.774056e-01
16;B-hosp1385-x40-09.tif;4375;395.913600;213.783314;65.094907;96.598885;2.560604;1.483970;0.673868;0.596958;1169.000000;0.738852;375.202000;0.686264;5.218734e-01;9.521203e-01
17;B-hosp1385-x40-09.tif;5541;467.521206;674.444324;113.747242;213.230790;9.894378;1.874602;0.533447;0.155167;11022.000000;0.845834;830.029000;0.661464;5.304160e-01;9.715162e-01
18;B-hosp1385-x40-09.tif;308;439.035714;70.717532;16.910056;37.158718;2.658682;2.197433;0.455076;0.284014;189.000000;0.890452;101.441000;0.586271;5.499392e-01;6.309696e-01
19;B-hosp1385-x40-09.tif;2283;561.062637;727.747262;62.819318;140.223682;6.349941;2.232175;0.447994;0.147834;3753.000000;0.894037;426.818000;0.673476;5.658456e-01;9.626884e-01
20;B-hosp1385-x40-09.tif;5848;538.876368;319.637483;64.460738;125.267790;1.600981;1.943319;0.514584;0.474503;834.000000;0.857440;343.006000;0.727980;5.120656e-01;9.683181e-01
21;B-hosp1385-x40-09.tif;2153;539.110543;400.802601;44.925649;62.040861;1.195136;1.380967;0.724130;0.712194;121.000000;0.689663;179.819000;0.715186;5.477261e-01;8.632920e-01
22;B-hosp1385-x40-09.tif;2902;575.740868;81.799793;54.281155;68.980655;1.220999;1.270803;0.786904;0.776520;118.000000;0.617075;211.014000;0.717551;5.281110e-01;9.164016e-01
23;B-hosp1385-x40-09.tif;3085;592.771799;344.141329;60.407865;65.388101;1.027593;1.082444;0.923836;0.918688;58.000000;0.382789;199.592000;0.724470;5.372440e-01;9.455064e-01
24;B-hosp1385-x40-09.tif;1522;591.879763;394.739816;39.139694;50.078536;1.078583;1.279482;0.781566;0.772719;66.000000;0.623822;143.628000;0.735047;5.556609e-01;8.666497e-01
25;B-hosp1385-x40-09.tif;2798;606.914939;562.402430;52.684925;70.553988;1.238844;1.339168;0.746732;0.715673;216.000000;0.665125;208.707000;0.745370;4.540228e-01;9.418903e-01
26;B-hosp1385-x40-09.tif;1905;611.522310;253.029396;41.850768;59.330491;1.135078;1.417668;0.705384;0.689048;74.000000;0.708826;164.841000;0.708173;5.611757e-01;8.843602e-01
27;B-hosp1385-x40-09.tif;426;615.338028;672.183099;20.763316;29.535113;1.394402;1.422466;0.703004;0.621788;83.000000;0.711185;86.398000;0.681774;5.892087e-01;8.939425e-01
28;B-hosp1385-x40-09.tif;1984;646.406250;314.929940;46.489868;54.831731;1.150973;1.179434;0.847864;0.840210;84.000000;0.530213;169.398000;0.712413;5.798268e-01;9.086559e-01
29;B-hosp1385-x40-09.tif;4690;662.654371;396.281023;63.136046;102.215505;1.679560;1.618972;0.617676;0.571544;540.000000;0.786433;314.622000;0.721747;5.604437e-01;9.606131e-01
30;B-hosp1385-x40-09.tif;1545;659.150162;671.400647;41.782345;47.263420;0.997477;1.131182;0.884031;0.880620;43.000000;0.467428;139.162000;0.751701;5.784071e-01;9.697190e-01
31;B-hosp1385-x40-09.tif;4879;703.776799;127.137938;58.949940;113.678985;1.600948;1.928399;0.518565;0.480707;722.000000;0.855038;313.299000;0.729915;5.310883e-01;9.005627e-01
32;B-hosp1385-x40-09.tif;6994;731.574492;367.301401;65.878048;153.721508;2.826054;2.333425;0.428555;0.376848;1510.000000;0.903516;498.377000;0.724055;5.326462e-01;9.280596e-01
33;B-hosp1385-x40-09.tif;2562;737.146370;569.194379;52.313605;62.501689;1.017039;1.194750;0.836995;0.835037;55.000000;0.547210;180.952000;0.732866;4.562876e-01;8.685181e-01
34;B-hosp1385-x40-09.tif;2617;746.435995;630.646160;52.810807;64.636087;1.159322;1.223918;0.817048;0.797561;106.000000;0.576569;195.258000;0.751445;5.113559e-01;1
