No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;2993;134.235550;490.208486;55.393352;69.492542;1.062441;1.254529;0.797112;0.789115;90.000000;0.603831;199.899000;91.859673;67;125
2;B-hosp1385-x40-09.tif;2380;231.141176;665.055882;52.215902;58.145102;0.997987;1.113552;0.898028;0.896315;50.000000;0.439939;172.765000;87.555462;65;115
3;B-hosp1385-x40-09.tif;1973;260.064369;395.025849;42.807447;58.769815;1.011651;1.372888;0.728392;0.727325;35.000000;0.685161;158.374000;90.662950;75;109
4;B-hosp1385-x40-09.tif;1158;266.761658;282.583765;32.983182;45.713311;1.132141;1.385958;0.721522;0.705559;80.000000;0.692391;128.354000;89.975820;68;123
5;B-hosp1385-x40-09.tif;1260;282.065873;312.601587;36.191139;45.192624;1.049492;1.248721;0.800820;0.785499;67.000000;0.598906;128.908000;90.438889;68;122
6;B-hosp1385-x40-09.tif;1939;417.767406;149.929345;48.040747;51.607303;1.001311;1.074240;0.930890;0.926970;32.000000;0.365298;156.199000;89.240330;71;113
7;B-hosp1385-x40-09.tif;1859;469.199032;215.456697;45.350140;52.296350;1.013659;1.153168;0.867176;0.865459;44.000000;0.498002;153.883000;88.132329;69;111
8;B-hosp1385-x40-09.tif;3268;605.130355;561.578947;59.998262;73.482905;1.526635;1.224751;0.816493;0.770583;473.000000;0.577356;250.388000;87.537638;60;115
9;B-hosp1385-x40-09.tif;2545;593.160707;443.704519;55.220698;58.788390;0.995024;1.064608;0.939313;0.937594;47.000000;0.343061;178.388000;88.242043;69;124
10;B-hosp1385-x40-09.tif;1578;659.163498;671.723067;41.853133;48.162051;0.996919;1.150739;0.869006;0.866178;46.000000;0.494801;140.601000;86.627376;72;107
11;B-hosp1385-x40-09.tif;1983;665.750883;259.168432;48.723253;51.951727;1.006969;1.066261;0.937856;0.935476;49.000000;0.347024;158.407000;89.252143;73;115
12;B-hosp1385-x40-09.tif;3205;692.287988;139.163807;58.957975;70.221243;1.186540;1.191039;0.839603;0.827563;277.000000;0.543200;218.605000;88.911700;74;115
13;B-hosp1385-x40-09.tif;2029;719.449975;316.879251;47.709418;54.461916;1.005427;1.141534;0.876014;0.870976;47.000000;0.482285;160.111000;88.109414;70;112
14;B-hosp1385-x40-09.tif;2780;736.639928;568.757554;55.436187;64.001846;1.018654;1.154514;0.866165;0.864112;59.000000;0.499757;188.643000;86.332014;63;119
15;B-hosp1385-x40-09.tif;1622;735.027744;514.408138;42.706187;48.663753;1.029538;1.139501;0.877577;0.872067;52.000000;0.479436;144.861000;88.599877;70;117
16;B-hosp1385-x40-09.tif;2595;747.099807;632.250482;53.285345;62.805487;1.063501;1.178663;0.848419;0.837630;70.000000;0.529326;186.227000;86.616956;70;112
17;B-hosp1385-x40-09.tif;2787;756.505203;472.044851;54.731754;65.094896;1.063861;1.189344;0.840799;0.837439;90.000000;0.541347;193.026000;87.158952;65;120
18;B-hosp1385-x40-09.tif;2321;762.689789;60.745799;41.707004;70.991405;1.082971;1.702146;0.587494;0.586373;47.000000;0.809229;177.726000;88.380870;64;118
19;B-hosp1385-x40-09.tif;3259;812.146364;517.878490;57.725492;71.949665;1.033889;1.246411;0.802304;0.801562;49.000000;0.596916;205.771000;88.737956;71;116
20;B-hosp1385-x40-09.tif;1860;801.732258;624.289247;41.935932;57.353775;1.089326;1.367652;0.731180;0.719945;54.000000;0.682185;159.566000;87.169892;68;111
21;B-hosp1385-x40-09.tif;3115;825.626645;398.348636;50.433280;79.240719;1.103164;1.571199;0.636457;0.631643;69.000000;0.771313;207.804000;88.118459;66;118
22;B-hosp1385-x40-09.tif;1649;859.204366;349.656155;40.310998;52.263535;1.024389;1.296508;0.771303;0.768658;44.000000;0.636469;145.696000;88.393572;69;119
23;B-hosp1385-x40-09.tif;3170;895.754890;308.527129;58.305018;69.377622;1.030185;1.189908;0.840401;0.838553;68.000000;0.541965;202.578000;87.789274;74;113
24;B-hosp1385-x40-09.tif;6551;927.459777;383.550756;83.737833;101.145327;1.168048;1.207881;0.827896;0.815316;302.000000;0.560881;310.091000;88.991146;68;121
25;B-hosp1385-x40-09.tif;2279;984.607723;342.997367;44.004553;66.403267;1.074702;1.509009;0.662687;0.658075;71.000000;0.748897;175.437000;87.348398;64;113
26;B-hosp1385-x40-09.tif;1575;1022.230476;391.429206;41.559383;48.431938;0.997881;1.165367;0.858099;0.854923;30.000000;0.513485;140.535000;88.778413;72;114
27;B-hosp1385-x40-09.tif;2531;1028.503358;92.067562;53.614816;60.474215;1.029121;1.127938;0.886573;0.881174;62.000000;0.462588;180.919000;89.618333;68;124
