No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;1724;216.798724;603.539443;36.870866;65.775468;1.886348;1.783941;0.560557;0.507364;384.000000;0.828116;202.155000;241.150812;213;255
2;B-hosp1385-x40-09.tif;1839;312.820555;611.655247;40.371281;59.261575;1.281682;1.467914;0.681239;0.666723;134.000000;0.732061;172.102000;244.760196;217;255
3;B-hosp1385-x40-09.tif;2397;374.097205;717.125991;45.501272;69.908200;1.391153;1.536401;0.650872;0.624485;175.000000;0.759188;204.704000;239.525240;212;255
4;B-hosp1385-x40-09.tif;2110;404.513744;635.978199;38.152148;79.515419;2.312262;2.084166;0.479808;0.424903;476.000000;0.877373;247.608000;241.373934;220;255
5;B-hosp1385-x40-09.tif;1092;383.496337;577.725275;37.751903;40.345076;1.395530;1.068690;0.935725;0.854184;109.000000;0.352730;138.384000;242.204212;219;255
6;B-hosp1385-x40-09.tif;1795;398.886351;676.373816;44.702078;52.159309;1.225761;1.166821;0.857030;0.840061;138.000000;0.515267;166.280000;236.515877;215;255
7;B-hosp1385-x40-09.tif;1688;416.228081;455.656398;40.174339;57.230937;1.534316;1.424564;0.701969;0.656177;202.000000;0.712208;180.405000;235.645735;207;255
8;B-hosp1385-x40-09.tif;1547;423.604396;801.045249;38.229616;53.525477;1.370381;1.400105;0.714232;0.687511;130.000000;0.699909;163.219000;238.683904;216;255
9;B-hosp1385-x40-09.tif;1933;434.071392;758.617693;39.474035;64.012209;1.460522;1.621628;0.616664;0.600643;161.000000;0.787226;188.354000;238.082773;205;255
10;B-hosp1385-x40-09.tif;1938;433.228070;590.447884;39.022136;66.704908;1.588663;1.709412;0.584996;0.554560;306.000000;0.811036;196.697000;240.443756;208;255
11;B-hosp1385-x40-09.tif;1554;432.590734;289.653153;36.090594;58.449325;1.784288;1.619517;0.617468;0.579165;250.000000;0.786596;186.665000;237.433076;179;255
12;B-hosp1385-x40-09.tif;1462;463.178523;796.119699;37.923272;52.962876;1.410526;1.396580;0.716035;0.663612;175.000000;0.698064;160.979000;239.549932;205;255
13;B-hosp1385-x40-09.tif;1389;490.963283;441.512599;41.323043;43.339790;1.103979;1.048804;0.953467;0.941540;63.000000;0.301499;138.815000;237.357811;211;255
14;B-hosp1385-x40-09.tif;1622;525.945746;345.876695;37.329587;57.024712;1.532114;1.527601;0.654621;0.635089;175.000000;0.755957;176.716000;242.139951;190;255
15;B-hosp1385-x40-09.tif;1071;570.136321;699.627451;32.339527;43.826447;1.218259;1.355198;0.737900;0.709949;88.000000;0.674910;128.047000;238.691877;211;255
16;B-hosp1385-x40-09.tif;4386;605.771774;772.060192;64.827284;96.601480;2.270964;1.490136;0.671080;0.598427;894.000000;0.741385;353.789000;239.379617;211;255
17;B-hosp1385-x40-09.tif;1187;591.017692;656.081719;36.145717;46.186846;1.730520;1.277796;0.782598;0.708475;192.000000;0.622528;160.664000;236.906487;189;255
18;B-hosp1385-x40-09.tif;417;597.827338;174.167866;19.512474;28.760731;1.095881;1.473966;0.678442;0.641869;8.000000;0.734654;75.780000;236.865707;210;255
19;B-hosp1385-x40-09.tif;620;600.885484;152.475806;27.173245;29.620573;1.052968;1.090064;0.917377;0.899736;26.000000;0.398018;90.575000;223.253226;196;255
20;B-hosp1385-x40-09.tif;1100;617.342727;131.603636;28.915930;53.815889;1.562987;1.861116;0.537312;0.483595;213.000000;0.843383;146.987000;236.158182;208;255
21;B-hosp1385-x40-09.tif;959;622.507821;184.796663;26.443470;50.773397;1.764847;1.920073;0.520813;0.473649;177.000000;0.853670;145.837000;237.517205;208;255
22;B-hosp1385-x40-09.tif;1416;647.512712;118.275424;37.639652;50.484049;1.339535;1.341246;0.745575;0.707400;121.000000;0.666422;154.388000;242.026130;218;255
23;B-hosp1385-x40-09.tif;2158;666.246988;64.437905;42.245728;66.109163;1.347583;1.564872;0.639030;0.628692;131.000000;0.769182;191.165000;246.340593;203;255
24;B-hosp1385-x40-09.tif;1093;661.273559;575.582800;33.840020;44.964278;1.516853;1.328731;0.752598;0.688327;148.000000;0.658480;144.340000;238.936871;191;255
25;B-hosp1385-x40-09.tif;1599;672.963102;478.170732;44.299748;49.623130;1.497944;1.120167;0.892724;0.826781;214.000000;0.450604;173.491000;231.787992;185;255
26;B-hosp1385-x40-09.tif;2017;693.527516;808.031730;40.141146;66.176962;1.848637;1.648607;0.606573;0.586411;216.000000;0.795028;216.463000;234.088746;199;255
27;B-hosp1385-x40-09.tif;545;680.987156;105.104587;21.832809;32.295042;1.124212;1.479198;0.676042;0.665327;34.000000;0.736863;87.746000;241.937615;229;255
28;B-hosp1385-x40-09.tif;733;690.788540;602.893588;20.313335;47.381741;1.440258;2.332544;0.428717;0.415712;67.000000;0.903439;115.180000;236.249659;208;255
29;B-hosp1385-x40-09.tif;1662;763.736462;64.150421;37.156320;60.753311;1.548608;1.635073;0.611593;0.573325;215.000000;0.791172;179.842000;239.217810;181;255
30;B-hosp1385-x40-09.tif;1786;766.856103;719.418813;48.156423;52.085850;1.617705;1.081597;0.924559;0.838209;280.000000;0.381040;190.544000;228.134378;180;255
31;B-hosp1385-x40-09.tif;320;793.003125;773.200000;15.134425;31.843770;1.728171;2.104062;0.475271;0.401801;76.000000;0.879839;83.363000;248.140625;222;255
32;B-hosp1385-x40-09.tif;952;802.415966;745.655462;27.530507;47.815853;1.563679;1.736832;0.575761;0.530155;149.000000;0.817618;136.772000;229.721639;174;255
33;B-hosp1385-x40-09.tif;1253;847.324022;212.031125;30.636617;56.295739;1.663762;1.837531;0.544208;0.503396;211.000000;0.838950;161.855000;236.175579;204;255
34;B-hosp1385-x40-09.tif;1589;866.617999;630.048458;41.661897;63.365575;2.401218;1.520948;0.657485;0.503880;598.000000;0.753468;218.969000;237.685966;177;255
35;B-hosp1385-x40-09.tif;2073;974.560540;56.990835;50.038776;53.187607;1.054421;1.062928;0.940798;0.933015;68.000000;0.338969;165.734000;245.777135;220;255
36;B-hosp1385-x40-09.tif;1690;982.312426;725.135503;42.408179;51.674815;1.232922;1.218511;0.820674;0.805822;112.000000;0.571397;161.814000;243.282249;204;255
37;B-hosp1385-x40-09.tif;1859;984.906939;343.381926;38.093293;64.490856;1.420264;1.692971;0.590677;0.569106;204.000000;0.806908;182.150000;243.895105;202;255
38;B-hosp1385-x40-09.tif;1827;1027.604269;334.945813;45.111651;52.986267;1.521315;1.174558;0.851384;0.828556;149.000000;0.524543;186.889000;242.559934;217;255
39;B-hosp1385-x40-09.tif;1388;1029.108790;609.115274;34.767082;53.571294;1.779363;1.540863;0.648987;0.615794;179.000000;0.760799;176.170000;243.634726;221;255
40;B-hosp1385-x40-09.tif;1557;1062.093128;718.542710;38.757715;52.582032;1.377928;1.356686;0.737090;0.717008;122.000000;0.675794;164.196000;243.100835;200;255
41;B-hosp1385-x40-09.tif;884;1077.739819;675.595023;31.765130;36.284437;1.052247;1.142273;0.875448;0.854912;38.000000;0.483313;108.116000;234.022624;192;255
42;B-hosp1385-x40-09.tif;452;1104.716814;667.387168;24.515905;24.579469;1.248858;1.002593;0.997414;0.952585;39.000000;0.071871;84.223000;242.081858;216;255
43;B-hosp1385-x40-09.tif;2244;1133.289661;200.631907;41.541475;75.422473;1.909432;1.815594;0.550784;0.502263;397.000000;0.834648;232.043000;233.890374;212;255
44;B-hosp1385-x40-09.tif;1807;1150.606530;357.842833;42.900512;57.026990;1.648847;1.329285;0.752284;0.707469;236.000000;0.658839;193.497000;241.116768;212;255
