No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;1715;96.724198;547.502624;39.810168;55.032294;1.030201;1.382368;0.723396;0.721006;39.000000;0.690433;149.004000;66.068805;35;100
2;B-hosp1385-x40-09.tif;1531;126.566950;647.352711;39.605508;49.319925;0.987077;1.245279;0.803033;0.801384;32.000000;0.595935;137.806000;58.207054;18;100
3;B-hosp1385-x40-09.tif;2372;175.331366;635.846965;53.218491;56.933767;0.997045;1.069812;0.934744;0.931719;42.000000;0.355322;172.393000;53.643761;23;100
4;B-hosp1385-x40-09.tif;1445;166.375087;691.948789;41.273146;44.734712;0.978285;1.083870;0.922620;0.919366;25.000000;0.385710;133.282000;55.296194;27;100
5;B-hosp1385-x40-09.tif;1069;186.752105;580.969130;33.031443;42.634290;1.103843;1.290718;0.774762;0.748807;35.000000;0.632253;121.772000;54.115996;32;100
6;B-hosp1385-x40-09.tif;1775;219.536338;608.643380;44.405170;51.976837;1.095353;1.170513;0.854326;0.836544;84.000000;0.519737;156.308000;51.044507;24;100
7;B-hosp1385-x40-09.tif;2309;230.999134;664.680814;51.478608;57.208253;0.980022;1.111301;0.899846;0.898290;34.000000;0.436208;168.630000;51.411434;10;100
8;B-hosp1385-x40-09.tif;1018;266.052063;283.000000;30.161075;43.823696;1.073993;1.452989;0.688237;0.674901;52.000000;0.725486;117.214000;57.360511;33;100
9;B-hosp1385-x40-09.tif;1263;281.584323;312.273159;36.953535;44.143843;1.040966;1.194577;0.837116;0.825227;66.000000;0.547025;128.536000;57.466350;29;100
10;B-hosp1385-x40-09.tif;1605;286.042368;653.527726;40.656307;50.389591;0.990914;1.239404;0.806839;0.804829;32.000000;0.590771;141.371000;55.273520;30;95
11;B-hosp1385-x40-09.tif;1584;318.113636;759.626894;41.271870;48.949642;0.975017;1.186029;0.843150;0.841717;21.000000;0.537679;139.312000;52.495581;19;96
12;B-hosp1385-x40-09.tif;3530;389.203399;216.599717;64.459924;69.811199;1.003465;1.083017;0.923346;0.922220;55.000000;0.383968;210.981000;60.715864;12;100
13;B-hosp1385-x40-09.tif;1912;417.752615;150.413703;47.343238;51.554192;0.973634;1.088945;0.918320;0.915946;23.000000;0.395839;152.949000;59.535565;32;100
14;B-hosp1385-x40-09.tif;1854;469.036677;216.071737;45.325427;52.145926;0.998127;1.150478;0.869204;0.868119;36.000000;0.494454;152.494000;58.693635;19;100
15;B-hosp1385-x40-09.tif;795;517.261635;722.615094;21.082036;63.794415;2.460612;3.026008;0.330468;0.248721;470.000000;0.943817;156.787000;82.192453;18;100
