No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;2976;133.834005;490.984207;55.275183;69.350207;1.071698;1.254635;0.797044;0.787857;81.000000;0.603921;200.197000;148.720094;59;213
2;B-hosp1385-x40-09.tif;2373;175.111673;635.723135;53.262046;56.904284;1.018060;1.068383;0.935994;0.933078;61.000000;0.352017;174.237000;163.911083;90;203
3;B-hosp1385-x40-09.tif;1074;186.667598;580.937616;33.042277;42.809284;1.110374;1.295591;0.771848;0.746171;36.000000;0.635807;122.417000;163.266294;88;193
4;B-hosp1385-x40-09.tif;1793;219.549916;608.680982;44.712212;52.165665;1.088259;1.166698;0.857120;0.838921;81.000000;0.515118;156.589000;167.675962;75;207
5;B-hosp1385-x40-09.tif;2334;230.683376;664.661525;51.662808;57.604006;0.978099;1.115000;0.896861;0.895582;27.000000;0.442312;169.374000;165.805913;72;222
6;B-hosp1385-x40-09.tif;3588;388.906633;216.712932;64.981563;70.378597;1.001068;1.083055;0.923314;0.922319;62.000000;0.384045;212.453000;152.869844;85;218
7;B-hosp1385-x40-09.tif;1857;468.971998;216.170705;45.244635;52.335858;1.007458;1.156731;0.864505;0.863224;40.000000;0.502623;153.329000;155.744750;86;209
8;B-hosp1385-x40-09.tif;784;516.600765;722.107143;20.641822;61.456065;2.231386;2.977260;0.335879;0.264300;391.000000;0.941905;148.269000;123.174745;83;207
9;B-hosp1385-x40-09.tif;2648;576.912764;79.801360;49.986315;67.539678;1.010626;1.351163;0.740103;0.739112;39.000000;0.672494;183.383000;164.333837;83;206
10;B-hosp1385-x40-09.tif;2510;593.232669;444.601195;54.827936;58.421516;0.993900;1.065543;0.938489;0.936350;44.000000;0.345310;177.057000;163.347410;62;220
11;B-hosp1385-x40-09.tif;3044;606.199080;561.858081;55.537707;71.698861;1.157023;1.290994;0.774597;0.753929;179.000000;0.632455;210.377000;167.434297;69;224
12;B-hosp1385-x40-09.tif;2019;645.454185;314.064884;48.238211;53.396842;0.992426;1.106941;0.903391;0.901603;36.000000;0.428818;158.680000;151.594354;80;202
13;B-hosp1385-x40-09.tif;1591;658.895035;671.213074;42.355438;47.999602;0.988197;1.133257;0.882412;0.879235;35.000000;0.470477;140.560000;160.506600;97;221
14;B-hosp1385-x40-09.tif;3244;692.151973;139.882244;60.156072;69.840883;1.219120;1.160995;0.861330;0.846782;312.000000;0.508045;222.930000;162.432182;81;210
15;B-hosp1385-x40-09.tif;1623;735.131855;515.465188;43.555345;47.628075;1.008563;1.093507;0.914489;0.910967;46.000000;0.404611;143.422000;154.813309;72;201
16;B-hosp1385-x40-09.tif;3544;748.191309;264.634594;62.198646;77.945342;1.454440;1.253168;0.797978;0.742717;333.000000;0.602687;254.507000;164.899549;66;228
17;B-hosp1385-x40-09.tif;2790;756.641577;473.001075;55.028370;64.762257;1.012787;1.176889;0.849698;0.846975;55.000000;0.527269;188.437000;160.830466;82;206
18;B-hosp1385-x40-09.tif;2360;763.023305;61.354237;42.336107;71.092581;1.080991;1.679242;0.595507;0.594530;44.000000;0.803350;179.049000;165.467373;75;234
19;B-hosp1385-x40-09.tif;3159;782.671098;215.765432;58.389115;69.023103;1.043081;1.182123;0.845936;0.844249;78.000000;0.533285;203.488000;161.969611;89;220
20;B-hosp1385-x40-09.tif;3277;812.149527;518.750076;57.960724;72.034399;1.002914;1.242814;0.804626;0.804094;45.000000;0.593782;203.224000;153.304242;78;195
21;B-hosp1385-x40-09.tif;1870;801.659893;623.563636;42.064550;57.190073;1.047197;1.359579;0.735522;0.727965;31.000000;0.677501;156.870000;155.228342;86;220
22;B-hosp1385-x40-09.tif;1674;859.298686;350.727001;40.738953;52.491722;1.017126;1.288490;0.776102;0.773542;38.000000;0.630607;146.275000;157.428913;67;214
23;B-hosp1385-x40-09.tif;3156;895.933460;309.525982;58.349979;69.031610;1.021122;1.183061;0.845265;0.843240;58.000000;0.534348;201.239000;160.274081;87;213
24;B-hosp1385-x40-09.tif;2500;1028.726000;92.643200;53.544535;59.786729;0.992663;1.116579;0.895592;0.890514;38.000000;0.444876;176.594000;159.865600;60;206
25;B-hosp1385-x40-09.tif;2323;1044.325011;194.805424;45.406428;65.242640;1.021102;1.436859;0.695962;0.694858;33.000000;0.718078;172.649000;167.411537;86;215
26;B-hosp1385-x40-09.tif;3033;1072.448071;149.242664;55.494949;69.802088;1.038738;1.257810;0.795033;0.792585;73.000000;0.606566;198.973000;158.534784;90;192
27;B-hosp1385-x40-09.tif;1611;1185.938547;512.860956;41.083149;50.007014;0.998105;1.217215;0.821548;0.820245;34.000000;0.570140;142.148000;160.222843;83;208
28;B-hosp1385-x40-09.tif;1465;1195.384983;473.896928;37.631063;49.634195;1.001320;1.318969;0.758168;0.757157;29.000000;0.652059;135.772000;161.305119;79;201
29;B-hosp1385-x40-09.tif;861;1535.646922;743.174216;27.899761;39.894998;1.070625;1.429940;0.699330;0.688773;27.000000;0.714799;107.628000;175.089431;72;227
