No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;3013;134.273813;490.223365;55.507009;69.810415;1.067120;1.257686;0.795111;0.787171;92.000000;0.606464;201.007000;162.994026;129;188
2;B-hosp1385-x40-09.tif;2410;231.200830;665.115768;52.629340;58.418260;0.993887;1.109994;0.900906;0.899145;43.000000;0.434015;173.493000;167.220332;140;190
3;B-hosp1385-x40-09.tif;2475;274.761616;298.200808;41.932858;77.248272;1.204671;1.842190;0.542832;0.528090;152.000000;0.839841;193.565000;164.637980;132;187
4;B-hosp1385-x40-09.tif;1978;312.649141;178.063195;46.909128;54.226773;1.143993;1.155996;0.865055;0.856464;102.000000;0.501677;168.628000;163.077351;138;184
5;B-hosp1385-x40-09.tif;510;406.231373;602.733333;24.754308;40.565107;2.215733;1.638709;0.610236;0.394616;260.000000;0.792219;119.165000;156.417647;140;175
6;B-hosp1385-x40-09.tif;3351;604.967472;561.546404;60.622041;74.543264;1.580684;1.229640;0.813246;0.767835;504.000000;0.581919;257.997000;167.077290;140;195
7;B-hosp1385-x40-09.tif;2681;592.052592;444.553898;57.947173;60.363439;1.301420;1.041698;0.959971;0.936826;154.000000;0.280098;209.393000;165.933234;129;186
8;B-hosp1385-x40-09.tif;2011;665.823471;259.125808;48.937444;52.452305;1.012843;1.071824;0.932989;0.930664;47.000000;0.359904;159.986000;165.558926;140;182
9;B-hosp1385-x40-09.tif;3125;691.955200;140.068800;57.043882;70.356751;1.104200;1.233379;0.810780;0.803801;175.000000;0.585350;208.235000;166.309440;143;181
10;B-hosp1385-x40-09.tif;2075;719.477108;316.981205;48.475036;54.808551;1.016625;1.130655;0.884443;0.879491;55.000000;0.466648;162.815000;166.497831;142;185
11;B-hosp1385-x40-09.tif;1754;724.417332;100.888826;40.000487;56.357379;1.081865;1.408917;0.709765;0.703134;78.000000;0.704439;154.421000;166.618586;145;182
12;B-hosp1385-x40-09.tif;2836;736.736953;568.716150;55.697687;64.972610;1.018071;1.166523;0.857249;0.855373;55.000000;0.514903;190.479000;168.351551;136;192
13;B-hosp1385-x40-09.tif;1632;735.064338;514.412377;42.969949;48.657791;1.033653;1.132368;0.883105;0.877658;54.000000;0.469175;145.597000;166.287990;138;185
14;B-hosp1385-x40-09.tif;2831;756.725539;472.108795;55.005745;65.811622;1.076973;1.196450;0.835806;0.832233;96.000000;0.549025;195.739000;167.518898;135;190
15;B-hosp1385-x40-09.tif;2376;762.822391;60.717593;42.397291;71.507354;1.080570;1.686602;0.592908;0.591637;41.000000;0.805270;179.620000;166.188552;137;191
16;B-hosp1385-x40-09.tif;3286;812.187462;517.874011;58.162949;71.997060;1.006931;1.237851;0.807852;0.807139;46.000000;0.589386;203.910000;166.128424;139;184
17;B-hosp1385-x40-09.tif;1905;801.716535;624.317585;42.304495;58.222177;1.087995;1.376265;0.726604;0.715531;59.000000;0.687056;161.386000;167.435696;143;187
18;B-hosp1385-x40-09.tif;1687;859.160640;349.588619;40.509221;53.231820;1.035357;1.314067;0.760996;0.758023;46.000000;0.648756;148.152000;166.233551;136;186
19;B-hosp1385-x40-09.tif;3196;895.676471;308.476846;58.427307;69.809353;1.022975;1.194807;0.836955;0.835006;63.000000;0.547271;202.694000;167.100438;142;181
20;B-hosp1385-x40-09.tif;2678;1027.801718;93.102689;53.290307;64.242249;1.082635;1.205515;0.829521;0.826189;80.000000;0.558475;190.876000;164.573936;131;187
21;B-hosp1385-x40-09.tif;2346;1043.962063;193.927536;45.634596;65.582697;1.032805;1.437127;0.695833;0.694480;34.000000;0.718204;174.493000;167.054561;137;187
22;B-hosp1385-x40-09.tif;1657;1185.461074;512.041642;41.327900;51.132334;0.985363;1.237235;0.808254;0.806940;31.000000;0.588834;143.240000;166.821967;138;186
23;B-hosp1385-x40-09.tif;1486;1194.891655;473.170929;37.769604;50.185081;1.013076;1.328716;0.752606;0.751242;32.000000;0.658471;137.542000;167.317631;140;186
24;B-hosp1385-x40-09.tif;931;1534.030075;743.154672;28.317735;42.621274;1.176480;1.505109;0.664404;0.652540;58.000000;0.747374;117.320000;166.630505;137;194
