No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;1892;209.125264;598.174419;34.203047;75.461344;1.765864;2.206276;0.453253;0.423041;290.000000;0.891382;204.901000;0.442700;2.669073e-01;7.612562e-01
2;B-hosp1385-x40-09.tif;1568;228.299745;666.010842;44.721971;46.708159;1.376257;1.044412;0.957477;0.915104;190.000000;0.288511;164.675000;0.467928;2.497488e-01;8.757599e-01
3;B-hosp1385-x40-09.tif;1139;307.498683;377.190518;31.889283;46.575858;1.265568;1.460549;0.684674;0.668516;97.000000;0.728849;134.589000;0.465291;1.802722e-01;9.597176e-01
4;B-hosp1385-x40-09.tif;1842;313.667752;610.197611;43.709571;55.279557;1.378076;1.264701;0.790700;0.767486;180.000000;0.612203;178.602000;0.462814;3.206031e-01;7.511893e-01
5;B-hosp1385-x40-09.tif;922;309.396963;474.199566;30.024579;39.562497;1.115745;1.317670;0.758915;0.750021;46.000000;0.651190;113.698000;0.447460;1.733053e-01;1.047958e+00
6;B-hosp1385-x40-09.tif;1095;317.849315;704.934247;30.791259;46.359831;1.296913;1.505617;0.664180;0.648695;87.000000;0.747573;133.588000;0.426158;2.442325e-01;7.020377e-01
7;B-hosp1385-x40-09.tif;764;334.085079;577.447644;25.406045;39.092494;1.175769;1.538708;0.649896;0.636527;63.000000;0.760023;106.246000;0.449899;3.020205e-01;7.308766e-01
8;B-hosp1385-x40-09.tif;2648;371.464502;714.878399;46.231215;75.134100;1.381149;1.625181;0.615316;0.597247;180.000000;0.788281;214.380000;0.428488;2.658096e-01;6.763193e-01
9;B-hosp1385-x40-09.tif;2207;372.723154;766.683734;47.426151;59.647684;1.130442;1.257696;0.795105;0.789815;82.000000;0.606472;177.064000;0.458326;2.733408e-01;6.708327e-01
10;B-hosp1385-x40-09.tif;959;371.420229;614.451512;29.491314;44.173339;1.715341;1.497842;0.667627;0.625761;151.000000;0.744496;143.777000;0.480647;3.502871e-01;6.198238e-01
11;B-hosp1385-x40-09.tif;920;382.830435;577.530435;32.976669;37.613837;1.386515;1.140620;0.876716;0.827947;103.000000;0.481008;126.608000;0.445643;2.991429e-01;6.087945e-01
12;B-hosp1385-x40-09.tif;1913;398.095661;674.933612;45.427495;54.736616;1.263094;1.204923;0.829929;0.812960;140.000000;0.557869;174.253000;0.404854;2.541820e-01;7.332170e-01
13;B-hosp1385-x40-09.tif;1880;408.022872;636.067021;39.013158;65.836599;1.418327;1.687549;0.592576;0.552247;166.000000;0.805515;183.051000;0.431595;2.942420e-01;7.468844e-01
14;B-hosp1385-x40-09.tif;1527;418.252783;461.260642;36.962172;52.980259;1.148944;1.433364;0.697659;0.692661;77.000000;0.716430;148.482000;0.395970;2.397970e-01;6.957934e-01
15;B-hosp1385-x40-09.tif;4223;445.472650;793.127871;56.771798;99.304349;1.831630;1.749184;0.571695;0.545249;648.000000;0.820466;311.770000;0.439874;2.144345e-01;7.713155e-01
16;B-hosp1385-x40-09.tif;1442;428.219834;753.276006;38.142321;49.204337;1.203724;1.290019;0.775182;0.758348;98.000000;0.631738;147.690000;0.436935;2.836024e-01;6.653942e-01
17;B-hosp1385-x40-09.tif;2062;436.203686;590.648885;48.453617;61.451896;2.006485;1.268262;0.788480;0.695230;346.000000;0.615060;228.017000;0.442216;2.131695e-01;6.719503e-01
18;B-hosp1385-x40-09.tif;1543;433.145172;291.952041;36.571346;56.587006;1.525795;1.547304;0.646285;0.613540;237.000000;0.763096;172.003000;0.420032;1.396483e-01;6.975636e-01
19;B-hosp1385-x40-09.tif;1200;446.087500;531.632500;35.393210;45.260107;1.231538;1.278779;0.781996;0.745865;95.000000;0.623284;136.276000;0.412415;1.343746e-01;1.056239e+00
20;B-hosp1385-x40-09.tif;1775;468.284507;685.152676;42.759899;55.869277;1.488016;1.306581;0.765356;0.724040;189.000000;0.643607;182.183000;0.458646;2.760331e-01;7.039992e-01
21;B-hosp1385-x40-09.tif;2790;486.313262;738.579570;54.879910;66.529219;1.252560;1.212269;0.824899;0.802582;225.000000;0.565280;209.559000;0.422900;1.911822e-01;6.954736e-01
22;B-hosp1385-x40-09.tif;2173;486.018868;446.994017;45.807345;66.215017;1.734459;1.445511;0.691797;0.631040;404.000000;0.722092;217.629000;0.436035;2.389498e-01;9.424117e-01
23;B-hosp1385-x40-09.tif;1515;526.311551;348.708911;35.486505;55.909107;1.467506;1.575503;0.634718;0.617103;149.000000;0.772744;167.148000;0.450799;1.617116e-01;6.905488e-01
24;B-hosp1385-x40-09.tif;1955;531.762148;703.762660;36.390797;69.839387;1.451948;1.919150;0.521064;0.510336;183.000000;0.853518;188.866000;0.459190;2.167892e-01;7.749063e-01
25;B-hosp1385-x40-09.tif;825;525.067879;150.596364;26.522622;47.565849;1.985918;1.793407;0.557598;0.464273;221.000000;0.830111;143.487000;0.458640;2.082488e-01;7.985761e-01
26;B-hosp1385-x40-09.tif;2003;535.595107;767.560160;48.056440;55.991246;1.406623;1.165114;0.858285;0.813487;186.000000;0.513174;188.163000;0.422716;2.963810e-01;7.084287e-01
27;B-hosp1385-x40-09.tif;1205;545.970954;465.443154;40.552875;43.799025;1.692596;1.080047;0.925885;0.799776;285.000000;0.377805;160.094000;0.461448;2.623715e-01;8.550383e-01
28;B-hosp1385-x40-09.tif;1460;551.833562;523.173973;39.186126;49.994031;1.522187;1.275809;0.783816;0.743749;163.000000;0.620993;167.115000;0.429695;1.135697e-01;1.006401e+00
29;B-hosp1385-x40-09.tif;844;556.894550;644.060427;26.714271;41.156053;1.179116;1.540602;0.649097;0.634432;55.000000;0.760706;111.829000;0.427364;2.935381e-01;9.058961e-01
30;B-hosp1385-x40-09.tif;1115;570.460987;697.147982;32.784666;45.809659;1.377411;1.397289;0.715671;0.676505;151.000000;0.698437;138.923000;0.404395;2.186851e-01;7.417484e-01
31;B-hosp1385-x40-09.tif;707;563.432815;154.205092;23.541337;41.622043;1.568061;1.768041;0.565598;0.519616;110.000000;0.824681;118.031000;0.471484;3.732733e-01;5.937239e-01
32;B-hosp1385-x40-09.tif;1570;584.273885;83.326115;42.186528;50.508906;1.461148;1.197276;0.835230;0.783563;147.000000;0.549902;169.786000;0.470924;3.006665e-01;9.624241e-01
33;B-hosp1385-x40-09.tif;1303;590.960860;656.099002;37.129625;50.307045;1.843658;1.354903;0.738060;0.655537;253.000000;0.674735;173.747000;0.408426;1.864535e-01;7.481817e-01
34;B-hosp1385-x40-09.tif;1238;597.099354;162.113086;35.300223;46.303885;1.229672;1.311717;0.762360;0.735184;86.000000;0.647153;138.312000;0.377868;1.649508e-01;7.301428e-01
35;B-hosp1385-x40-09.tif;796;592.422111;574.283920;26.326573;40.199883;1.474326;1.526970;0.654892;0.627153;85.000000;0.755723;121.439000;0.435557;2.784352e-01;9.006749e-01
36;B-hosp1385-x40-09.tif;1191;603.123426;446.090680;31.086593;49.660737;1.282452;1.597497;0.625979;0.614887;74.000000;0.779840;138.542000;0.455012;2.083304e-01;1.072687e+00
37;B-hosp1385-x40-09.tif;1157;617.839239;132.797753;31.146973;53.441595;1.567673;1.715788;0.582823;0.515804;227.000000;0.812599;150.973000;0.414750;2.802240e-01;8.963842e-01
38;B-hosp1385-x40-09.tif;1120;615.749107;552.297321;29.933655;49.303361;1.348986;1.647088;0.607132;0.586645;115.000000;0.794601;137.790000;0.438567;2.650501e-01;8.139569e-01
