No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;4323;207.602822;524.254684;64.689461;92.777980;2.491480;1.434205;0.697250;0.639448;999.000000;0.716828;367.897000;128.422392;9;255
2;B-hosp1385-x40-09.tif;792;188.520202;587.669192;27.663927;39.988132;1.671098;1.445497;0.691803;0.630628;133.000000;0.722086;128.964000;126.138889;36;219
3;B-hosp1385-x40-09.tif;601;202.021631;478.806988;27.635171;29.369374;1.395381;1.062753;0.940952;0.887146;52.000000;0.338540;102.657000;144.584027;91;219
4;B-hosp1385-x40-09.tif;339;213.395280;666.471976;17.530436;28.544024;1.565303;1.628255;0.614154;0.529760;71.000000;0.789186;81.659000;136.669617;55;255
5;B-hosp1385-x40-09.tif;596;251.255034;388.078859;26.727951;33.464428;2.056338;1.252039;0.798697;0.677625;147.000000;0.601733;124.101000;127.568792;82;164
6;B-hosp1385-x40-09.tif;421;268.116390;344.624703;17.724940;37.553434;1.968301;2.118678;0.471993;0.380096;106.000000;0.881603;102.045000;138.325416;91;182
7;B-hosp1385-x40-09.tif;833;273.320528;513.722689;30.352925;43.310323;2.189588;1.426891;0.700824;0.565421;235.000000;0.713334;151.394000;151.983193;36;237
8;B-hosp1385-x40-09.tif;592;296.395270;543.959459;21.725922;42.899197;1.998892;1.974563;0.506441;0.409575;220.000000;0.862274;121.944000;150.694257;46;255
9;B-hosp1385-x40-09.tif;1287;313.957265;468.644911;32.470460;52.139093;1.424466;1.605739;0.622766;0.602784;136.000000;0.782408;151.782000;117.965035;0;255
10;B-hosp1385-x40-09.tif;863;332.570104;547.783314;27.777474;46.133323;2.272167;1.660818;0.602113;0.516287;210.000000;0.798411;156.975000;147.555041;55;255
11;B-hosp1385-x40-09.tif;2202;377.217984;343.792007;49.879894;59.687809;1.672176;1.196631;0.835680;0.786966;295.000000;0.549217;215.107000;123.227520;27;246
