No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;889;127.502812;651.782902;29.083284;42.840152;1.688083;1.473016;0.678879;0.616751;144.000000;0.734250;137.326000;137.580427;36;255
2;B-hosp1385-x40-09.tif;302;229.327815;737.566225;14.792629;27.996965;1.374162;1.892629;0.528365;0.490563;40.000000;0.849017;72.215000;145.827815;73;255
3;B-hosp1385-x40-09.tif;1293;253.576953;357.365043;46.045880;49.957292;3.056145;1.084946;0.921705;0.659646;630.000000;0.387892;222.839000;138.966744;46;219
4;B-hosp1385-x40-09.tif;914;270.196937;313.413567;25.115465;74.630629;3.188872;2.971501;0.336530;0.208940;493.000000;0.941673;191.380000;113.318381;0;228
5;B-hosp1385-x40-09.tif;864;282.910880;389.828704;21.933282;56.849227;3.218944;2.591916;0.385815;0.340388;254.000000;0.922576;186.947000;150.402778;46;255
6;B-hosp1385-x40-09.tif;2653;311.038447;514.946099;46.639098;78.613054;2.425010;1.685561;0.593274;0.546585;544.000000;0.805000;284.335000;144.577459;64;246
7;B-hosp1385-x40-09.tif;378;302.862434;376.738095;16.189056;32.337602;1.462125;1.997498;0.500626;0.460242;66.000000;0.865663;83.338000;131.000000;27;182
8;B-hosp1385-x40-09.tif;509;314.762279;563.416503;18.706255;39.963368;1.704896;2.136364;0.468085;0.405792;88.000000;0.883683;104.427000;143.367387;82;255
9;B-hosp1385-x40-09.tif;2277;374.465525;548.499780;50.613713;69.405989;2.343413;1.371288;0.729241;0.601838;530.000000;0.684257;258.947000;161.773386;64;255
10;B-hosp1385-x40-09.tif;392;383.471939;234.186224;17.879907;29.633130;1.509842;1.657342;0.603376;0.568383;51.000000;0.797457;86.241000;132.959184;91;155
11;B-hosp1385-x40-09.tif;532;398.958647;208.112782;28.698750;40.151474;3.931004;1.399067;0.714762;0.420164;377.000000;0.699368;162.111000;131.990602;91;164
12;B-hosp1385-x40-09.tif;1704;413.917840;285.230634;39.809235;70.896625;3.225726;1.780909;0.561511;0.431647;815.000000;0.827469;262.817000;141.436620;46;246
13;B-hosp1385-x40-09.tif;2383;454.855225;252.781788;50.705144;76.361783;2.730526;1.505997;0.664012;0.520334;1063.000000;0.747722;285.950000;143.367604;36;237
14;B-hosp1385-x40-09.tif;396;448.020202;72.694444;16.745412;33.782278;1.624287;2.017405;0.495686;0.441802;53.000000;0.868502;89.905000;122.618687;73;155
15;B-hosp1385-x40-09.tif;674;465.445104;145.307122;18.906115;49.101849;1.764728;2.597141;0.385039;0.355938;126.000000;0.922900;122.257000;134.658754;82;173
16;B-hosp1385-x40-09.tif;3182;499.448460;91.722187;55.382150;80.926870;2.725818;1.461245;0.684348;0.618621;863.000000;0.729155;330.144000;131.076367;9;219
17;B-hosp1385-x40-09.tif;344;497.497093;144.671512;13.674988;34.094668;1.579340;2.493214;0.401089;0.376787;58.000000;0.916039;82.627000;136.877907;55;200
18;B-hosp1385-x40-09.tif;453;690.101545;60.871965;19.246028;36.594156;1.686837;1.901387;0.525932;0.430710;109.000000;0.850527;97.992000;135.503311;64;191
19;B-hosp1385-x40-09.tif;1343;772.093820;724.354430;38.124998;49.281823;2.037829;1.292638;0.773612;0.704065;208.000000;0.633660;185.450000;149.085629;27;246
20;B-hosp1385-x40-09.tif;795;777.238994;79.615094;23.573032;47.588291;1.805595;2.018760;0.495354;0.446969;144.000000;0.868691;134.307000;127.387421;18;209
21;B-hosp1385-x40-09.tif;352;845.105114;49.366477;21.107237;25.210173;1.594825;1.194385;0.837251;0.705182;79.000000;0.546819;83.991000;133.701705;82;173
22;B-hosp1385-x40-09.tif;321;1001.024922;67.056075;17.153001;26.304134;1.313928;1.533500;0.652103;0.590700;52.000000;0.758130;72.802000;113.514019;9;191
23;B-hosp1385-x40-09.tif;2939;1068.477714;127.720313;57.687887;76.608513;3.146216;1.327983;0.753022;0.637611;1127.000000;0.657995;340.878000;133.716570;0;255
24;B-hosp1385-x40-09.tif;959;1292.971846;240.745568;27.190110;60.639081;3.925022;2.230189;0.448393;0.332065;423.000000;0.893837;217.488000;141.355579;36;255
25;B-hosp1385-x40-09.tif;941;1475.289054;405.221041;28.449223;50.452717;1.636552;1.773430;0.563879;0.470685;218.000000;0.825857;139.112000;49.825717;0;255
