No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-10917-x40-02.tif;1234;133.601297;281.715559;30.528523;52.026534;1.130534;1.704194;0.586788;0.580464;45.000000;0.809741;132.405000;142.674230;125;166
2;F-10917-x40-02.tif;1514;228.657860;429.391678;35.479283;55.380974;1.159465;1.560938;0.640640;0.628514;42.000000;0.767841;148.524000;141.981506;124;165
3;F-10917-x40-02.tif;875;384.206857;557.569143;25.374838;44.573230;1.150336;1.756592;0.569284;0.560751;42.000000;0.822141;112.466000;146.096000;126;175
4;F-10917-x40-02.tif;985;416.157360;391.701523;27.711799;46.118538;1.096060;1.664220;0.600882;0.589651;32.000000;0.799338;116.477000;144.957360;122;166
5;F-10917-x40-02.tif;1138;420.273286;362.797012;31.570499;47.629465;1.274938;1.508670;0.662835;0.638706;68.000000;0.748765;135.027000;142.768893;120;174
6;F-10917-x40-02.tif;1451;432.672640;511.119917;36.490371;52.031034;1.286427;1.425884;0.701319;0.682421;125.000000;0.712847;153.155000;143.592006;127;163
7;F-10917-x40-02.tif;450;471.597778;426.237778;18.473449;41.163775;2.002738;2.228267;0.448779;0.338137;140.000000;0.893643;106.420000;141.142222;132;153
8;F-10917-x40-02.tif;722;522.475069;558.786704;25.634983;62.694005;3.025289;2.445643;0.408891;0.233881;506.000000;0.912583;165.675000;140.916898;130;163
9;F-10917-x40-02.tif;1348;566.864243;285.827893;32.785522;57.488832;1.639537;1.753482;0.570294;0.519318;186.000000;0.821441;166.652000;145.819733;126;165
10;F-10917-x40-02.tif;1184;681.819257;168.440878;37.127687;45.219300;1.692300;1.217940;0.821058;0.737249;209.000000;0.570844;158.679000;143.812500;126;175
11;F-10917-x40-02.tif;1465;704.449147;537.397952;36.543686;61.087779;2.271905;1.671637;0.598216;0.499849;560.000000;0.801335;204.512000;136.582253;124;158
12;F-10917-x40-02.tif;473;716.221987;283.467230;16.700597;40.901880;2.102382;2.449127;0.408309;0.359985;118.000000;0.912844;111.787000;148.131078;131;163
13;F-10917-x40-02.tif;1307;752.508034;516.509564;40.603362;42.000244;1.189933;1.034403;0.966741;0.943370;101.000000;0.255757;139.799000;147.003060;133;162
14;F-10917-x40-02.tif;370;748.427027;307.543243;22.070886;22.592284;1.167519;1.023624;0.976921;0.922978;30.000000;0.213599;73.678000;146.316216;133;154
15;F-10917-x40-02.tif;1522;787.589356;317.091327;38.740213;53.471775;1.570264;1.380265;0.724498;0.677759;334.000000;0.689277;173.300000;146.990145;125;162
16;F-10917-x40-02.tif;2451;795.951856;554.283150;48.014792;76.713767;2.174664;1.597711;0.625895;0.530282;831.000000;0.779907;258.805000;147.092615;124;176
17;F-10917-x40-02.tif;765;810.277124;662.661438;22.247832;44.736206;1.272376;2.010812;0.497312;0.486691;44.000000;0.867572;110.597000;145.751634;122;174
18;F-10917-x40-02.tif;1298;916.627889;316.880586;34.017078;55.212531;1.946231;1.623083;0.616112;0.542138;306.000000;0.787659;178.172000;143.766564;126;168
19;F-10917-x40-02.tif;308;946.493506;356.642857;12.286496;37.960399;1.931211;3.089603;0.323666;0.272144;102.000000;0.946171;86.456000;139.912338;129;152
20;F-10917-x40-02.tif;814;1003.163391;600.105651;33.495371;35.877257;2.178207;1.071111;0.933610;0.805186;113.000000;0.358290;149.268000;142.362408;126;158
21;F-10917-x40-02.tif;693;1038.818182;575.072150;25.441961;57.449211;2.427281;2.258050;0.442860;0.267347;384.000000;0.896591;145.389000;139.291486;124;155
22;F-10917-x40-02.tif;525;1077.358095;369.683810;19.354825;37.749984;1.517581;1.950417;0.512711;0.469068;97.000000;0.858561;100.060000;140.051429;130;155
23;F-10917-x40-02.tif;481;1123.482328;483.869023;13.840956;53.406496;2.398788;3.858584;0.259162;0.214717;163.000000;0.965834;120.413000;139.773389;128;151
24;F-10917-x40-02.tif;1607;1162.672060;418.086497;42.842885;56.009659;2.126631;1.307327;0.764920;0.652229;572.000000;0.644126;207.233000;145.273180;122;168
25;F-10917-x40-02.tif;1231;1236.952884;200.636068;34.637832;46.039769;1.201264;1.329176;0.752346;0.739438;70.000000;0.658768;136.318000;148.766856;129;164
26;F-10917-x40-02.tif;3271;1275.044940;226.701926;61.670385;72.278810;1.546470;1.172018;0.853229;0.797203;420.000000;0.521536;252.125000;151.664629;124;167
27;F-10917-x40-02.tif;466;1268.594421;96.450644;23.479538;28.190093;1.407324;1.200624;0.832900;0.746626;74.000000;0.553423;90.781000;140.890558;130;161
28;F-10917-x40-02.tif;412;1300.606796;67.584951;15.181388;41.357675;2.010312;2.724235;0.367075;0.306687;128.000000;0.930191;102.020000;141.730583;132;152
29;F-10917-x40-02.tif;348;1334.367816;29.954023;14.738724;33.757371;1.510031;2.290386;0.436608;0.388823;47.000000;0.899652;81.262000;143.936782;130;162
30;F-10917-x40-02.tif;489;1347.936605;155.194274;23.517590;39.450484;2.393013;1.677488;0.596129;0.400050;250.000000;0.802888;121.264000;144.548057;137;155
31;F-10917-x40-02.tif;1537;1380.911516;601.685101;32.581887;79.008413;2.584774;2.424918;0.412385;0.313500;430.000000;0.911010;223.436000;146.919323;122;183
