No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-10968-x40-03.tif;770;407.911688;472.098701;27.920877;35.427412;1.007880;1.268850;0.788115;0.781128;23.000000;0.615528;98.754000;0.483050;2.198406e-01;8.904723e-01
2;F-10968-x40-03.tif;767;454.617992;433.926988;28.384468;34.791126;1.006583;1.225710;0.815854;0.806805;20.000000;0.578258;98.498000;0.390437;1.440899e-01;8.799886e-01
3;F-10968-x40-03.tif;1653;479.816697;244.065941;42.023905;51.782225;1.126791;1.232209;0.811551;0.784913;83.000000;0.584282;152.990000;0.329097;3.794802e-02;9.808453e-01
4;F-10968-x40-03.tif;2122;555.134307;251.138549;50.170068;54.162098;1.012978;1.079570;0.926295;0.921010;47.000000;0.376800;164.353000;0.366565;2.276575e-02;9.899919e-01
5;F-10968-x40-03.tif;1468;625.356948;475.886240;33.229411;64.902514;1.957592;1.953165;0.511990;0.443724;336.000000;0.858992;190.033000;0.350757;6.411261e-02;9.624310e-01
6;F-10968-x40-03.tif;798;631.748120;187.180451;30.465082;33.481777;0.956628;1.099021;0.909900;0.906350;17.000000;0.414827;97.944000;0.435721;2.275982e-01;9.068385e-01
7;F-10968-x40-03.tif;1444;731.422438;327.153740;41.035631;53.346180;2.623594;1.299997;0.769233;0.646057;470.000000;0.638969;218.191000;0.435239;3.450329e-02;9.667133e-01
8;F-10968-x40-03.tif;1793;765.647518;293.068042;39.496106;58.345642;1.052680;1.477250;0.676933;0.670615;42.000000;0.736044;154.008000;0.301808;2.114559e-02;9.799583e-01
9;F-10968-x40-03.tif;2584;832.048762;474.563080;38.809790;92.813304;1.562248;2.391492;0.418149;0.381929;373.000000;0.908378;225.230000;0.278360;3.686043e-02;9.815724e-01
10;F-10968-x40-03.tif;808;818.481436;315.095297;27.301615;38.303750;1.066362;1.402985;0.712766;0.701195;23.000000;0.701402;104.055000;0.331114;5.692075e-02;8.760606e-01
11;F-10968-x40-03.tif;1811;831.832689;266.790171;40.227997;57.592257;1.027597;1.431646;0.698497;0.695185;31.000000;0.715613;152.924000;0.347807;1.120639e-01;9.495855e-01
12;F-10968-x40-03.tif;1231;836.996751;373.574330;36.899810;42.586148;0.984108;1.154102;0.866474;0.864234;27.000000;0.499221;123.383000;0.356830;1.102333e-01;9.525651e-01
13;F-10968-x40-03.tif;513;863.697856;503.290448;14.848304;50.644656;2.049310;3.410804;0.293186;0.254660;100.000000;0.956055;114.939000;0.440953;1.410283e-01;8.757581e-01
14;F-10968-x40-03.tif;718;885.650418;284.743733;25.268856;36.347565;1.012829;1.438433;0.695201;0.691965;25.000000;0.718816;95.595000;0.354146;1.364418e-01;9.263412e-01
15;F-10968-x40-03.tif;915;1042.993443;274.460109;30.318262;38.874027;0.990960;1.282198;0.779910;0.770925;16.000000;0.625891;106.744000;0.346014;1.539009e-01;8.828214e-01
16;F-10968-x40-03.tif;539;1083.469388;245.320965;25.143209;32.169751;1.956060;1.279461;0.781579;0.663137;133.000000;0.623806;115.104000;0.790269;1.027537e-01;9.590202e-01
17;F-10968-x40-03.tif;1232;1339.457792;789.638799;31.549580;61.470239;1.786984;1.948369;0.513250;0.415137;334.000000;0.858239;166.330000;0.590408;4.546916e-01;7.683334e-01
