No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-10968-x40-03.tif;818;406.693154;471.551345;28.339073;37.077601;1.051828;1.308356;0.764318;0.757600;37.000000;0.644840;103.981000;108.548900;90;132
2;F-10968-x40-03.tif;811;453.445129;432.975339;28.508949;36.991738;1.114897;1.297548;0.770684;0.754608;50.000000;0.637217;106.594000;109.390875;93;129
3;F-10968-x40-03.tif;2502;469.268585;295.035172;49.954134;65.163820;1.202160;1.304473;0.766593;0.750213;144.000000;0.642133;194.415000;101.876499;81;126
4;F-10968-x40-03.tif;1731;478.644714;242.459850;42.580876;53.343862;1.126374;1.252766;0.798234;0.774530;76.000000;0.602348;156.529000;107.624495;85;131
5;F-10968-x40-03.tif;2806;496.491803;347.940841;48.862387;75.883077;1.298958;1.552996;0.643917;0.620452;177.000000;0.765096;214.016000;105.137206;88;124
6;F-10968-x40-03.tif;1988;512.137827;398.022636;48.096623;52.987821;1.072997;1.101695;0.907692;0.901518;66.000000;0.419637;163.724000;106.487928;88;130
7;F-10968-x40-03.tif;755;518.871523;297.115232;24.529404;39.379295;1.074915;1.605391;0.622901;0.619899;30.000000;0.782301;100.987000;102.010596;79;124
8;F-10968-x40-03.tif;777;539.701416;429.755470;26.375418;39.217743;1.195690;1.486905;0.672538;0.643229;69.000000;0.740063;108.050000;106.127413;77;143
9;F-10968-x40-03.tif;2459;554.089061;319.683205;50.299311;63.877831;1.287695;1.269954;0.787430;0.767306;173.000000;0.616404;199.476000;104.174054;89;121
10;F-10968-x40-03.tif;2536;568.407729;388.531151;49.788778;77.729914;2.396490;1.561193;0.640536;0.534420;813.000000;0.767928;276.355000;107.056782;84;128
11;F-10968-x40-03.tif;1868;595.857066;212.702355;42.717063;58.478892;1.333601;1.368982;0.730470;0.695487;218.000000;0.682945;176.932000;107.346360;91;127
12;F-10968-x40-03.tif;2668;599.092579;299.242879;49.241136;71.109285;1.554673;1.444103;0.692471;0.671805;263.000000;0.721445;228.306000;104.419415;90;124
13;F-10968-x40-03.tif;1401;628.182727;474.602427;33.058738;62.157173;1.805859;1.880204;0.531857;0.461706;297.000000;0.846834;178.306000;104.971449;78;136
14;F-10968-x40-03.tif;2250;631.864889;238.652444;47.169488;61.483934;1.093884;1.303468;0.767184;0.757826;112.000000;0.641427;175.866000;108.697333;93;125
15;F-10968-x40-03.tif;850;630.965882;186.522353;32.201079;33.823329;1.002906;1.050379;0.952038;0.946011;25.000000;0.305981;103.501000;108.442353;87;132
16;F-10968-x40-03.tif;2193;655.171911;340.097583;51.673622;54.612447;1.139999;1.056873;0.946188;0.936193;91.000000;0.323619;177.246000;103.850889;84;131
17;F-10968-x40-03.tif;2039;661.108877;294.511035;45.144653;59.282516;1.180190;1.313168;0.761517;0.738710;134.000000;0.648145;173.896000;101.633644;82;132
18;F-10968-x40-03.tif;3264;672.890012;384.663909;51.647147;83.567882;1.594834;1.618054;0.618026;0.595088;421.000000;0.786157;255.763000;107.668505;80;134
19;F-10968-x40-03.tif;753;661.243028;259.314741;26.445602;37.604876;1.156467;1.421971;0.703249;0.677980;53.000000;0.710943;104.609000;103.162019;85;131
20;F-10968-x40-03.tif;996;736.005020;331.760040;28.620843;46.014905;1.320492;1.607741;0.621991;0.598925;101.000000;0.783025;128.559000;108.695783;92;128
21;F-10968-x40-03.tif;1738;764.892980;292.455696;36.922511;60.678136;1.196783;1.643391;0.608498;0.601029;89.000000;0.793556;161.673000;105.475834;85;123
22;F-10968-x40-03.tif;946;806.784355;471.504228;32.871527;37.397673;1.079858;1.137692;0.878973;0.861216;55.000000;0.476872;113.301000;105.406977;89;130
23;F-10968-x40-03.tif;1402;814.572753;428.589158;38.921723;46.642103;1.066790;1.198357;0.834476;0.820544;53.000000;0.551044;137.094000;101.783880;86;122
24;F-10968-x40-03.tif;859;819.097788;314.374854;26.607320;41.558511;1.055048;1.561920;0.640238;0.633262;25.000000;0.768177;106.718000;107.025611;86;131
25;F-10968-x40-03.tif;1830;831.231694;265.983607;39.471207;59.481824;1.100519;1.506967;0.663584;0.658556;52.000000;0.748101;159.085000;106.569399;94;123
26;F-10968-x40-03.tif;1198;837.026711;373.263773;36.976254;41.425858;1.061140;1.120337;0.892589;0.888841;44.000000;0.450872;126.392000;107.009182;94;122
27;F-10968-x40-03.tif;1559;849.063502;476.607441;34.255008;60.249351;1.471163;1.758848;0.568554;0.546829;156.000000;0.822646;169.769000;104.110969;86;130
28;F-10968-x40-03.tif;5801;882.280297;419.203930;78.910955;100.069637;1.654910;1.268134;0.788560;0.737579;862.000000;0.614957;347.331000;107.185485;85;129
29;F-10968-x40-03.tif;711;886.225035;283.824191;25.280483;36.335485;1.065521;1.437294;0.695752;0.685674;32.000000;0.718282;97.571000;107.239100;94;132
30;F-10968-x40-03.tif;1069;916.291862;472.037418;30.986511;44.843962;1.183477;1.447209;0.690985;0.676830;44.000000;0.722869;126.088000;111.013096;98;133
31;F-10968-x40-03.tif;858;1042.798368;273.489510;29.607048;37.340759;1.032852;1.261212;0.792888;0.783486;27.000000;0.609367;105.528000;110.350816;96;130
32;F-10968-x40-03.tif;2051;1339.844466;783.398342;46.510271;56.366073;1.044566;1.211906;0.825147;0.821940;63.000000;0.564919;164.080000;113.683569;100;130
