No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-10968-x40-03.tif;672;407.394345;470.964286;26.008939;33.239433;1.010550;1.278000;0.782472;0.774412;22.000000;0.622685;92.378000;58.918155;0;255
2;F-10968-x40-03.tif;938;447.664179;337.342217;32.852364;36.862457;1.031503;1.122064;0.891215;0.878910;40.000000;0.453582;110.266000;65.684435;0;191
3;F-10968-x40-03.tif;603;451.631841;432.152570;24.868410;31.248794;1.012839;1.256566;0.795820;0.786250;24.000000;0.605533;87.606000;54.484245;0;255
4;F-10968-x40-03.tif;2367;469.288551;296.295733;47.713091;64.057953;1.058474;1.342566;0.744843;0.734450;73.000000;0.667240;177.437000;33.196451;0;234
5;F-10968-x40-03.tif;2641;497.379402;347.616055;47.669498;74.290945;1.334110;1.558459;0.641660;0.609266;214.000000;0.766990;210.419000;51.337751;0;223
6;F-10968-x40-03.tif;1807;512.411732;397.469286;44.688430;51.775719;1.123006;1.158593;0.863116;0.858254;58.000000;0.505006;159.689000;55.936359;0;255
7;F-10968-x40-03.tif;746;518.868633;297.553619;24.299597;39.286705;1.052010;1.616764;0.618520;0.615400;27.000000;0.785769;99.308000;36.725201;0;213
8;F-10968-x40-03.tif;2316;553.504318;319.788860;48.842719;61.952876;1.147285;1.268416;0.788385;0.768291;122.000000;0.615182;182.730000;42.677893;0;191
9;F-10968-x40-03.tif;1850;554.142703;251.365405;46.755077;50.808732;1.197975;1.086700;0.920217;0.912442;82.000000;0.391408;166.884000;67.437838;0;213
10;F-10968-x40-03.tif;1524;557.664698;390.856299;36.269829;53.790472;1.051523;1.483064;0.674280;0.670632;39.000000;0.738476;141.908000;34.702756;0;170
11;F-10968-x40-03.tif;2888;604.771814;359.804363;51.553619;75.135258;1.226336;1.457420;0.686144;0.651358;183.000000;0.727466;210.964000;52.130886;0;244
12;F-10968-x40-03.tif;2655;599.288889;298.282486;50.917990;67.647812;1.427913;1.328564;0.752692;0.738698;198.000000;0.658372;218.267000;47.932580;0;255
13;F-10968-x40-03.tif;1405;597.641993;217.750178;35.590555;51.681961;1.365104;1.452126;0.688646;0.669743;139.000000;0.725098;155.248000;50.568683;0;191
14;F-10968-x40-03.tif;2166;615.494460;406.532779;45.733557;61.456793;1.369214;1.343801;0.744158;0.730178;157.000000;0.668004;193.050000;69.544783;0;191
15;F-10968-x40-03.tif;1147;626.447254;474.501308;30.019650;52.643218;1.496576;1.753625;0.570247;0.526973;142.000000;0.821473;146.871000;44.061901;0;255
16;F-10968-x40-03.tif;1935;630.789147;240.615504;45.296661;55.765797;1.290323;1.231124;0.812266;0.792237;132.000000;0.583287;177.131000;72.936434;0;202
17;F-10968-x40-03.tif;756;630.576720;186.395503;29.693542;32.640633;0.980991;1.099250;0.909711;0.903472;22.000000;0.415242;96.538000;65.818783;0;255
18;F-10968-x40-03.tif;2134;654.466261;338.724930;51.359864;53.364615;1.131533;1.039033;0.962433;0.954109;89.000000;0.271519;174.195000;44.499531;0;234
19;F-10968-x40-03.tif;1951;660.883649;293.717581;42.201648;60.092190;1.091370;1.423930;0.702282;0.687910;86.000000;0.711899;163.576000;30.961558;0;255
20;F-10968-x40-03.tif;683;661.243045;260.045388;25.216546;35.563385;1.052780;1.410319;0.709059;0.687582;19.000000;0.705149;95.057000;34.932650;0;255
21;F-10968-x40-03.tif;2042;682.162096;379.216454;42.621806;61.663019;1.112071;1.446748;0.691205;0.683780;86.000000;0.722658;168.927000;31.939765;0;255
22;F-10968-x40-03.tif;2916;726.464678;435.773320;48.554210;82.232101;1.709321;1.693614;0.590453;0.549054;413.000000;0.807072;250.271000;39.410151;0;255
23;F-10968-x40-03.tif;623;715.174960;401.487961;24.490735;32.843952;1.018261;1.341077;0.745670;0.735339;21.000000;0.666316;89.285000;38.107544;0;244
24;F-10968-x40-03.tif;730;736.968493;327.975342;28.596873;32.883100;1.095407;1.149884;0.869653;0.859582;34.000000;0.493664;100.243000;49.342466;0;234
25;F-10968-x40-03.tif;736;750.187500;390.112772;27.525896;34.328776;0.987376;1.247145;0.801832;0.795191;16.000000;0.597550;95.562000;24.076087;0;255
26;F-10968-x40-03.tif;1538;764.167100;292.763329;37.438367;53.090538;1.106931;1.418078;0.705180;0.694756;67.000000;0.709029;146.266000;46.128739;0;213
27;F-10968-x40-03.tif;1554;769.189189;456.581725;37.301627;56.011276;1.242386;1.501577;0.665966;0.630682;132.000000;0.745982;155.761000;37.790862;0;255
28;F-10968-x40-03.tif;933;778.549839;410.427653;30.224416;39.519393;1.033629;1.307532;0.764800;0.760626;31.000000;0.644268;110.085000;42.113612;0;181
29;F-10968-x40-03.tif;804;797.572139;386.543532;26.831860;38.675296;1.040404;1.441395;0.693773;0.684382;25.000000;0.720194;102.526000;45.585821;0;223
30;F-10968-x40-03.tif;825;806.070303;470.694545;29.496813;35.885847;0.996806;1.216601;0.821962;0.815676;26.000000;0.569542;101.657000;44.412121;0;234
31;F-10968-x40-03.tif;1427;814.365102;428.438683;39.844086;46.474024;1.016237;1.166397;0.857341;0.841228;39.000000;0.514749;134.994000;32.223546;0;202
32;F-10968-x40-03.tif;779;819.056483;314.585366;24.697299;40.470445;1.055149;1.638659;0.610255;0.605580;26.000000;0.792205;101.632000;59.486521;0;255
33;F-10968-x40-03.tif;1710;830.739181;266.067251;38.106500;57.407229;1.035739;1.506494;0.663793;0.660652;32.000000;0.747917;149.186000;56.471930;0;202
34;F-10968-x40-03.tif;1103;837.051677;373.214869;35.562567;39.615371;0.976451;1.113963;0.897696;0.894866;19.000000;0.440615;116.337000;60.342702;0;202
35;F-10968-x40-03.tif;1465;847.122184;476.506485;32.074305;59.307452;1.198520;1.849064;0.540814;0.530309;86.000000;0.841142;148.541000;38.037543;0;213
36;F-10968-x40-03.tif;1693;861.552274;423.131128;43.122067;50.711372;1.107444;1.175996;0.850343;0.838217;86.000000;0.526229;153.495000;55.572947;0;213
37;F-10968-x40-03.tif;951;873.806519;384.280757;30.949944;39.360997;1.000697;1.271763;0.786310;0.781553;33.000000;0.617832;109.357000;53.454259;0;223
38;F-10968-x40-03.tif;613;886.703100;284.042414;23.604986;33.686194;1.078841;1.427080;0.700732;0.687807;41.000000;0.713425;91.162000;53.590538;0;255
39;F-10968-x40-03.tif;992;890.387097;457.645161;30.878754;42.584441;1.237154;1.379085;0.725118;0.696498;68.000000;0.688624;124.186000;59.660282;0;244
40;F-10968-x40-03.tif;878;908.480638;433.486333;28.248556;39.818183;1.026480;1.409565;0.709439;0.705085;21.000000;0.704767;106.421000;65.627563;0;223
41;F-10968-x40-03.tif;650;903.350769;402.803077;27.598051;30.258384;0.963347;1.096396;0.912079;0.903924;13.000000;0.410013;88.706000;34.824615;0;213
42;F-10968-x40-03.tif;568;916.982394;471.779930;24.874120;29.977154;1.104262;1.205154;0.829769;0.804781;30.000000;0.558107;88.780000;71.859155;0;223
