No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11069-x40-07.tif;1054;351.809298;368.449715;33.127027;40.940361;1.042289;1.235860;0.809153;0.800659;41.000000;0.587598;117.495000;145.836812;100;220
2;F-11069-x40-07.tif;1262;509.761490;434.242472;39.004174;41.403705;0.982975;1.061520;0.942045;0.937327;29.000000;0.335485;124.855000;141.474643;89;193
3;F-11069-x40-07.tif;4495;556.792436;378.789099;49.689779;120.019977;1.448515;2.415386;0.414013;0.397313;390.000000;0.910271;286.043000;147.752169;75;211
4;F-11069-x40-07.tif;1013;534.014808;349.109576;35.760515;37.273623;1.111500;1.042312;0.959405;0.928360;77.000000;0.282031;118.950000;146.136229;89;211
5;F-11069-x40-07.tif;1525;542.492459;312.580328;40.966299;47.781109;1.062998;1.166352;0.857374;0.850487;55.000000;0.514693;142.727000;153.737705;99;202
6;F-11069-x40-07.tif;2644;565.032148;448.896747;55.628820;68.397024;1.499788;1.229525;0.813322;0.719610;423.000000;0.581814;223.229000;148.244327;77;223
7;F-11069-x40-07.tif;891;593.329966;396.281706;30.560022;38.744932;1.102781;1.267831;0.788749;0.755715;42.000000;0.614716;111.119000;142.542088;106;201
8;F-11069-x40-07.tif;1259;619.729944;526.212073;37.708711;42.754551;1.026202;1.133811;0.881981;0.876943;37.000000;0.471285;127.419000;135.164416;66;215
9;F-11069-x40-07.tif;6019;638.998671;420.152351;67.828180;115.404075;1.322709;1.701418;0.587745;0.575430;360.000000;0.809046;316.300000;138.530321;72;202
10;F-11069-x40-07.tif;2565;668.518519;503.063938;45.144408;74.971129;1.220398;1.660696;0.602157;0.581044;192.000000;0.798378;198.335000;130.699805;67;218
11;F-11069-x40-07.tif;739;740.951286;508.400541;23.993818;40.129305;1.116423;1.672485;0.597913;0.584294;29.000000;0.801561;101.822000;128.512855;39;218
