No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11183a-x40-08.tif;398;16.876884;745.188442;20.118796;26.926750;1.266332;1.338388;0.747168;0.698917;40.000000;0.664636;79.583000;0.460236;0;9.666667e-01
2;F-11183a-x40-08.tif;430;22.451163;327.065116;27.042937;28.965468;2.352135;1.071092;0.933627;0.652556;161.000000;0.358247;112.738000;0.401873;0;9.444444e-01
3;F-11183a-x40-08.tif;709;49.267983;22.966150;24.601397;44.908743;2.362495;1.825455;0.547809;0.447605;217.000000;0.836604;145.082000;0.391396;0;9.444444e-01
4;F-11183a-x40-08.tif;876;57.331050;317.296804;27.791973;43.777408;1.714133;1.575182;0.634847;0.581988;190.000000;0.772638;137.366000;0.325904;0;9.444444e-01
5;F-11183a-x40-08.tif;976;67.397541;504.219262;35.880405;38.767040;1.953810;1.080452;0.925539;0.826865;210.000000;0.378652;154.800000;0.404471;0;9.583333e-01
6;F-11183a-x40-08.tif;845;105.486391;117.734911;28.073262;42.681834;1.652403;1.520373;0.657733;0.590583;125.000000;0.753251;132.462000;0.215779;0;9.444444e-01
7;F-11183a-x40-08.tif;3501;170.755213;364.717224;59.835649;81.825538;2.370862;1.367505;0.731259;0.665770;944.000000;0.682100;322.964000;0.266598;0;9.583333e-01
8;F-11183a-x40-08.tif;310;221.441935;706.690323;15.760501;29.376111;1.477990;1.863907;0.536507;0.457386;74.000000;0.843896;75.879000;0.337366;0;9.444444e-01
9;F-11183a-x40-08.tif;943;234.484624;591.883351;30.522167;44.006272;1.986030;1.441781;0.693587;0.620001;200.000000;0.720373;153.410000;0.374030;0;9.583333e-01
10;F-11183a-x40-08.tif;531;236.291902;357.101695;22.175186;43.219992;3.032325;1.949025;0.513077;0.361939;236.000000;0.858343;142.246000;0.307177;0;9.444444e-01
11;F-11183a-x40-08.tif;516;259.916667;484.649225;19.845433;43.913074;2.428963;2.212755;0.451925;0.340700;179.000000;0.892056;125.499000;0.416559;0;9.444444e-01
12;F-11183a-x40-08.tif;601;260.738769;384.229617;23.607833;35.006733;1.810650;1.482844;0.674380;0.624427;84.000000;0.738385;116.939000;0.441718;0;9.444444e-01
13;F-11183a-x40-08.tif;346;265.696532;663.156069;17.267056;35.458258;2.425705;2.053521;0.486969;0.350390;132.000000;0.873420;102.698000;0.413469;0;9.583333e-01
14;F-11183a-x40-08.tif;1160;291.043103;757.787069;29.277417;56.475441;1.847801;1.928976;0.518410;0.463072;210.000000;0.855132;164.120000;0.395138;0;9.444444e-01
15;F-11183a-x40-08.tif;599;287.547579;622.766277;19.491703;60.198006;3.779854;3.088391;0.323793;0.210462;347.000000;0.946128;168.677000;0.348179;0;9.722222e-01
16;F-11183a-x40-08.tif;496;297.459677;689.991935;19.859561;44.370639;3.051494;2.234221;0.447583;0.320775;276.000000;0.894242;137.912000;0.375412;0;9.444444e-01
17;F-11183a-x40-08.tif;880;313.932955;561.760227;22.636413;65.773402;2.315531;2.905646;0.344158;0.258995;274.000000;0.938912;160.019000;0.374749;0;9.583333e-01
18;F-11183a-x40-08.tif;1503;332.807053;484.425150;35.678630;97.645291;7.043228;2.736800;0.365390;0.200709;1364.000000;0.930854;364.729000;0.545287;0;9.761905e-01
19;F-11183a-x40-08.tif;1236;434.862460;621.440939;35.002633;48.196982;1.686292;1.376953;0.726241;0.677468;209.000000;0.687440;161.838000;0.664090;0;9.722222e-01
20;F-11183a-x40-08.tif;1104;441.374094;505.312500;31.599143;69.891923;3.850214;2.211830;0.452114;0.287757;660.000000;0.891960;231.117000;0.521820;0;9.666667e-01
21;F-11183a-x40-08.tif;861;445.193961;463.370499;28.462463;43.630968;2.008929;1.532930;0.652345;0.575869;205.000000;0.757922;147.431000;0.495017;0;9.444444e-01
22;F-11183a-x40-08.tif;572;451.977273;711.372378;25.587802;30.684919;1.400495;1.199201;0.833889;0.773493;69.000000;0.551933;100.333000;0.363249;0;9.444444e-01
23;F-11183a-x40-08.tif;393;461.519084;811.778626;18.249787;39.472703;2.099660;2.162913;0.462339;0.321151;168.000000;0.886703;101.830000;0.343299;0;9.444444e-01
24;F-11183a-x40-08.tif;2247;505.076101;316.815309;38.866094;78.288943;1.993322;2.014325;0.496444;0.466780;324.000000;0.868069;237.244000;0.319401;0;9.444444e-01
25;F-11183a-x40-08.tif;391;527.240409;720.156010;14.118057;38.975725;1.858552;2.760700;0.362227;0.327717;78.000000;0.932090;95.561000;0.279951;0;9.761905e-01
26;F-11183a-x40-08.tif;946;530.211416;601.051797;33.649095;47.934924;2.964128;1.424553;0.701975;0.524200;425.000000;0.712202;187.715000;0.575655;0;9.791667e-01
27;F-11183a-x40-08.tif;980;529.266327;795.269388;25.402998;79.709301;3.843246;3.137791;0.318696;0.196389;593.000000;0.947857;217.554000;0.492835;0;9.583333e-01
28;F-11183a-x40-08.tif;1196;595.081940;291.900502;31.204641;55.688836;2.204943;1.784633;0.560339;0.491027;260.000000;0.828263;182.041000;0.484671;0;9.444444e-01
29;F-11183a-x40-08.tif;568;630.028169;568.468310;18.910662;46.195658;2.578181;2.442837;0.409360;0.338888;170.000000;0.912373;135.655000;0.753439;7.115385e-01;8.333333e-01
30;F-11183a-x40-08.tif;712;653.296348;284.848315;34.634330;36.468662;2.510950;1.052963;0.949701;0.681633;268.000000;0.313158;149.887000;0.344374;0;9.444444e-01
31;F-11183a-x40-08.tif;654;686.972477;711.929664;21.789264;47.070762;2.224422;2.160273;0.462904;0.375825;246.000000;0.886408;135.208000;0.566344;0;9.444444e-01
32;F-11183a-x40-08.tif;359;715.707521;263.746518;12.186078;54.538050;3.489821;4.475439;0.223442;0.153676;191.000000;0.974717;125.474000;0.313796;0;9.583333e-01
33;F-11183a-x40-08.tif;599;729.225376;374.053422;21.672125;39.291561;1.651809;1.813000;0.551572;0.494013;80.000000;0.834127;111.506000;0.577272;0;9.333333e-01
34;F-11183a-x40-08.tif;879;770.417520;356.270762;28.481746;43.314336;2.069743;1.520775;0.657559;0.596535;210.000000;0.753403;151.202000;0.422635;0;9.722222e-01
35;F-11183a-x40-08.tif;5908;824.873392;451.800271;62.591826;172.093848;5.753629;2.749462;0.363708;0.253992;3413.000000;0.931513;653.576000;0.759882;0;9.500000e-01
36;F-11183a-x40-08.tif;1742;847.733065;697.018370;43.913194;52.130851;1.213046;1.187134;0.842365;0.816147;133.000000;0.538908;162.955000;0.656854;0;9.871795e-01
37;F-11183a-x40-08.tif;374;837.836898;88.716578;15.777004;40.303119;1.872399;2.554548;0.391459;0.293160;143.000000;0.920196;93.808000;0.681176;0;9.666667e-01
38;F-11183a-x40-08.tif;1603;876.505926;575.526513;35.170580;67.912136;2.173328;1.930936;0.517884;0.442536;383.000000;0.855451;209.235000;0.753944;6.544715e-01;8.690476e-01
39;F-11183a-x40-08.tif;1367;884.768105;479.108266;31.428172;62.865970;2.607284;2.000306;0.499923;0.440400;304.000000;0.866070;211.633000;0.763903;6.962963e-01;8.385417e-01
40;F-11183a-x40-08.tif;830;879.056627;754.685542;28.568624;48.238559;2.566099;1.688515;0.592236;0.454150;260.000000;0.805764;163.599000;0.392397;0;9.444444e-01
41;F-11183a-x40-08.tif;312;877.317308;32.407051;16.028357;30.475867;1.602987;1.901372;0.525936;0.427713;76.000000;0.850524;79.277000;0.532185;0;9.583333e-01
42;F-11183a-x40-08.tif;2697;909.486096;528.992955;56.702494;91.932768;3.405650;1.621318;0.616782;0.406303;1130.000000;0.787134;339.739000;0.759065;7.000000e-01;8.571429e-01
43;F-11183a-x40-08.tif;353;902.065156;654.337110;16.853616;28.347092;1.214164;1.681959;0.594545;0.559330;27.000000;0.804062;73.389000;0.342237;0;9.444444e-01
44;F-11183a-x40-08.tif;466;916.133047;790.090129;20.007287;33.784544;1.594711;1.688612;0.592202;0.519828;90.000000;0.805789;96.636000;0.586314;0;9.444444e-01
45;F-11183a-x40-08.tif;584;923.198630;13.840753;26.104890;30.087088;1.160711;1.152546;0.867644;0.821415;24.000000;0.497186;92.294000;0.327959;0;9.444444e-01
46;F-11183a-x40-08.tif;931;933.312567;435.580021;26.660544;47.213976;1.535573;1.770931;0.564675;0.531764;130.000000;0.825313;134.034000;0.709426;0;9.666667e-01
