No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11183a-x40-08.tif;396;16.835859;745.232323;20.168557;26.781105;1.296378;1.327864;0.753089;0.702989;42.000000;0.657919;80.319000;0.606367;2.797674e-01;9.519182e-01
2;F-11183a-x40-08.tif;420;22.402381;326.864286;27.140679;28.994633;2.578516;1.068309;0.936059;0.636098;171.000000;0.351844;116.658000;0.571890;2.903785e-01;9.398701e-01
3;F-11183a-x40-08.tif;961;31.520291;246.501561;25.822455;50.620235;1.918512;1.960318;0.510121;0.477513;160.000000;0.860103;152.212000;0.684759;2.877257e-01;9.678349e-01
4;F-11183a-x40-08.tif;671;49.436662;22.405365;24.641130;43.808226;2.488620;1.777850;0.562477;0.445165;226.000000;0.826813;144.859000;0.554636;2.903785e-01;9.425229e-01
5;F-11183a-x40-08.tif;907;57.886439;316.868798;28.791128;44.180235;1.767410;1.534509;0.651674;0.591645;190.000000;0.758499;141.931000;0.514966;2.903785e-01;9.451757e-01
6;F-11183a-x40-08.tif;876;69.152968;503.877854;33.727862;36.548223;1.419836;1.083621;0.922832;0.834991;116.000000;0.385203;125.019000;0.576923;2.930313e-01;9.492654e-01
7;F-11183a-x40-08.tif;833;105.442977;117.860744;27.789664;42.725434;1.736390;1.537458;0.650424;0.581008;135.000000;0.759571;134.819000;0.443724;2.930313e-01;9.425229e-01
8;F-11183a-x40-08.tif;3366;170.352941;365.513666;57.723407;80.665056;2.274813;1.397441;0.715594;0.658648;797.000000;0.698517;310.195000;0.472355;2.903785e-01;9.492654e-01
9;F-11183a-x40-08.tif;2408;256.810631;596.776578;45.621359;75.469818;2.300915;1.654265;0.604498;0.538295;584.000000;0.796607;263.866000;0.598310;2.505867e-01;9.519182e-01
10;F-11183a-x40-08.tif;465;235.505376;358.787097;22.380365;39.888366;2.976967;1.782293;0.561075;0.372109;245.000000;0.827765;131.892000;0.496133;2.930313e-01;9.451757e-01
11;F-11183a-x40-08.tif;462;258.424242;484.887446;16.948393;43.669641;2.027868;2.576624;0.388105;0.308456;133.000000;0.921615;108.504000;0.585880;2.930313e-01;9.451757e-01
12;F-11183a-x40-08.tif;571;260.831874;383.451839;23.482871;33.313141;1.908747;1.418614;0.704913;0.655111;81.000000;0.709294;117.030000;0.594353;2.903785e-01;9.451757e-01
13;F-11183a-x40-08.tif;649;272.543914;646.617874;17.624101;73.227563;3.856020;4.154967;0.240676;0.154101;460.000000;0.970606;177.336000;0.546027;2.638506e-01;9.692718e-01
14;F-11183a-x40-08.tif;1150;290.947826;757.746957;29.051480;56.370974;1.878548;1.940382;0.515362;0.460783;217.000000;0.856972;164.765000;0.561787;2.877257e-01;9.451757e-01
15;F-11183a-x40-08.tif;589;299.619694;695.658744;23.670503;38.530427;1.908674;1.627782;0.614333;0.505147;154.000000;0.789047;118.858000;0.567929;2.824202e-01;9.425229e-01
16;F-11183a-x40-08.tif;2671;320.783227;524.107076;39.537526;118.750532;5.030287;3.003489;0.332946;0.241164;1474.000000;0.942946;410.902000;0.610694;2.850730e-01;9.719562e-01
17;F-11183a-x40-08.tif;723;378.670816;232.550484;28.655023;32.603961;1.052653;1.137810;0.878882;0.865980;40.000000;0.477040;97.795000;0.642198;2.373227e-01;9.507339e-01
18;F-11183a-x40-08.tif;1326;434.455505;622.942685;37.024970;47.860085;1.395864;1.292643;0.773609;0.737067;124.000000;0.633664;152.510000;0.659882;2.611978e-01;9.655137e-01
19;F-11183a-x40-08.tif;384;430.752604;500.059896;20.367607;33.992017;2.466610;1.668925;0.599188;0.423143;135.000000;0.800608;109.099000;0.638156;2.797674e-01;9.425229e-01
20;F-11183a-x40-08.tif;1586;457.843001;534.881463;37.702118;58.939151;1.858253;1.563285;0.639679;0.581307;337.000000;0.768642;192.446000;0.667302;2.797674e-01;9.611556e-01
21;F-11183a-x40-08.tif;345;446.765217;455.428986;19.220860;25.433436;1.488016;1.323221;0.755732;0.679077;70.000000;0.654881;80.319000;0.604351;2.771146e-01;9.266061e-01
22;F-11183a-x40-08.tif;562;452.028470;711.209964;25.722753;30.259437;1.422831;1.176368;0.850074;0.781492;75.000000;0.526664;100.242000;0.537799;2.877257e-01;9.425229e-01
23;F-11183a-x40-08.tif;2219;505.251915;316.925192;38.647346;77.955837;1.990428;2.017107;0.495759;0.464911;347.000000;0.868460;235.590000;0.512246;2.877257e-01;9.398701e-01
24;F-11183a-x40-08.tif;2767;528.422118;507.146729;47.746725;103.195810;2.681670;2.161317;0.462681;0.330823;1374.000000;0.886525;305.360000;0.664918;3.120430e-01;9.686639e-01
25;F-11183a-x40-08.tif;383;527.195822;720.287206;13.723668;39.371664;2.009659;2.868888;0.348567;0.314587;86.000000;0.937284;98.348000;0.482266;2.877257e-01;9.639978e-01
26;F-11183a-x40-08.tif;961;529.295525;795.096774;25.283053;80.155761;4.040824;3.170336;0.315424;0.190443;612.000000;0.948951;220.903000;0.634288;2.903785e-01;9.545710e-01
27;F-11183a-x40-08.tif;913;534.018620;268.078861;34.080260;35.592713;1.306499;1.044379;0.957507;0.917611;77.000000;0.288411;122.432000;0.658876;2.677600e-01;9.625293e-01
28;F-11183a-x40-08.tif;563;537.277087;606.852575;26.789470;32.527691;2.533947;1.214197;0.823590;0.677504;155.000000;0.567186;133.893000;0.579026;2.824202e-01;9.451757e-01
29;F-11183a-x40-08.tif;1814;576.502756;50.329107;35.813885;76.699483;2.096088;2.141613;0.466938;0.392611;354.000000;0.884290;218.589000;0.696856;2.744618e-01;9.497444e-01
30;F-11183a-x40-08.tif;1187;595.102780;291.965459;31.148045;55.887734;2.283448;1.794261;0.557332;0.483869;269.000000;0.830289;184.555000;0.627443;2.930313e-01;9.398701e-01
31;F-11183a-x40-08.tif;779;588.985879;197.657253;27.521559;37.033098;1.096768;1.345603;0.743161;0.723215;48.000000;0.669113;103.617000;0.642018;5.650629e-01;8.563072e-01
32;F-11183a-x40-08.tif;513;652.257310;282.847953;23.027456;36.595932;1.823743;1.589230;0.629235;0.487710;174.000000;0.777215;108.429000;0.491197;2.930313e-01;9.451757e-01
33;F-11183a-x40-08.tif;863;660.383546;49.916570;25.013848;45.630097;1.320160;1.824193;0.548187;0.527738;69.000000;0.836355;119.653000;0.685131;2.489719e-01;9.495970e-01
34;F-11183a-x40-08.tif;3050;702.847869;557.222623;42.581612;109.436507;3.033066;2.570041;0.389099;0.324254;788.000000;0.921196;340.954000;0.689781;6.100398e-01;8.958043e-01
35;F-11183a-x40-08.tif;648;686.791667;711.910494;21.884781;46.675255;2.245018;2.132772;0.468873;0.378714;250.000000;0.883265;135.208000;0.686200;2.903785e-01;9.478285e-01
36;F-11183a-x40-08.tif;753;697.247012;513.819389;30.674621;31.369744;0.961917;1.022661;0.977841;0.974279;18.000000;0.209349;95.405000;0.697515;6.148970e-01;8.786518e-01
37;F-11183a-x40-08.tif;3820;720.671466;453.595812;54.578432;118.458644;3.746135;2.170430;0.460738;0.346609;1451.000000;0.887536;424.061000;0.699346;6.185140e-01;8.602864e-01
38;F-11183a-x40-08.tif;1694;739.462810;631.533058;35.538044;80.718968;2.453349;2.271340;0.440269;0.331034;659.000000;0.897866;228.529000;0.642920;2.903785e-01;9.292589e-01
39;F-11183a-x40-08.tif;1042;731.661228;68.735125;33.357470;41.390057;1.381674;1.240803;0.805930;0.774436;104.000000;0.592011;134.506000;0.708448;2.771146e-01;9.575554e-01
40;F-11183a-x40-08.tif;321;726.196262;367.426791;16.557883;29.799964;1.634385;1.799745;0.555634;0.460239;52.000000;0.831427;81.196000;0.607479;2.903785e-01;9.237323e-01
41;F-11183a-x40-08.tif;684;735.108187;530.036550;26.818122;32.850461;1.070349;1.224935;0.816370;0.807018;34.000000;0.577530;95.917000;0.705703;6.355729e-01;8.839234e-01
42;F-11183a-x40-08.tif;608;736.088816;600.797697;26.365671;30.202390;1.208087;1.145519;0.872966;0.848655;51.000000;0.487780;96.074000;0.692577;6.459077e-01;8.138073e-01
43;F-11183a-x40-08.tif;1644;758.128954;371.080292;28.916641;88.550665;3.045105;3.062274;0.326555;0.266949;626.000000;0.945178;250.817000;0.638832;2.691562e-01;9.656611e-01
44;F-11183a-x40-08.tif;1960;790.163265;539.508163;44.244047;74.781651;2.230133;1.690208;0.591643;0.446248;547.000000;0.806200;234.368000;0.688816;6.014182e-01;8.600653e-01
45;F-11183a-x40-08.tif;1282;796.234789;403.909516;29.297122;60.596772;1.678892;2.068352;0.483477;0.444528;218.000000;0.875357;164.460000;0.706230;6.126134e-01;7.665544e-01
46;F-11183a-x40-08.tif;1704;832.638498;513.133216;33.548064;71.901944;1.801061;2.143252;0.466581;0.419661;261.000000;0.884479;196.383000;0.714785;6.388668e-01;8.482935e-01
47;F-11183a-x40-08.tif;1716;847.062937;697.475524;42.960583;53.761393;1.588620;1.251412;0.799097;0.755938;174.000000;0.601202;185.086000;0.690828;2.479339e-01;9.852202e-01
48;F-11183a-x40-08.tif;2604;872.519585;340.025346;38.219678;109.516134;2.658521;2.865438;0.348987;0.276436;864.000000;0.937128;294.948000;0.703124;6.160689e-01;8.928107e-01
49;F-11183a-x40-08.tif;312;877.317308;32.407051;16.028357;30.475867;1.602987;1.901372;0.525936;0.427713;76.000000;0.850524;79.277000;0.664453;2.983369e-01;9.478285e-01
50;F-11183a-x40-08.tif;1682;891.138526;478.215220;35.091730;65.114780;1.496349;1.855559;0.538921;0.505100;223.000000;0.842356;177.842000;0.709956;6.092819e-01;8.673605e-01
