No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11240-x40-02.tif;593;43.173693;82.839798;23.475023;32.355297;0.978085;1.378286;0.725539;0.721230;14.000000;0.688181;85.373000;128.038786;57;219
2;F-11240-x40-02.tif;1253;183.272945;119.574621;29.927243;53.989915;1.229364;1.804039;0.554312;0.547313;70.000000;0.832309;139.130000;157.792498;120;209
3;F-11240-x40-02.tif;764;191.960733;206.456806;27.697387;35.255401;0.980214;1.272878;0.785621;0.782622;21.000000;0.618708;97.009000;145.253927;55;222
4;F-11240-x40-02.tif;885;243.364972;461.091525;27.911765;40.922267;1.121335;1.466130;0.682068;0.672874;36.000000;0.731289;111.672000;153.100565;105;217
5;F-11240-x40-02.tif;883;272.659117;459.460929;26.530953;42.854639;1.122225;1.615269;0.619092;0.612174;37.000000;0.785319;111.590000;155.002265;99;220
6;F-11240-x40-02.tif;718;294.995822;534.649025;27.567926;33.260559;0.957021;1.206495;0.828847;0.826372;10.000000;0.559475;92.924000;142.146240;53;228
7;F-11240-x40-02.tif;669;301.763827;456.621824;26.231416;37.740950;1.401082;1.438769;0.695039;0.598013;113.000000;0.718972;108.530000;138.203288;42;225
8;F-11240-x40-02.tif;988;314.970648;406.607287;27.439927;46.970713;1.282332;1.711765;0.584192;0.570181;67.000000;0.811615;126.178000;160.987854;107;217
9;F-11240-x40-02.tif;838;334.894988;344.096659;29.707800;36.087897;0.963718;1.214762;0.823207;0.819277;10.000000;0.567742;100.740000;148.949881;103;222
10;F-11240-x40-02.tif;583;338.149228;724.000000;22.426841;33.255995;0.992742;1.482866;0.674370;0.671180;12.000000;0.738394;85.282000;136.903945;79;222
11;F-11240-x40-02.tif;810;339.728395;383.111111;28.622787;36.147848;0.976337;1.262905;0.791825;0.789278;18.000000;0.610747;99.689000;145.458025;96;225
