No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11240-x40-02.tif;836;51.832536;293.613636;24.664996;56.724159;2.657284;2.299784;0.434823;0.330811;347.000000;0.900516;167.081000;0.422306;0;9.666667e-01
2;F-11240-x40-02.tif;2479;78.056071;207.544574;39.102358;93.416447;2.741079;2.389023;0.418581;0.361693;991.000000;0.908179;292.216000;0.679764;0;9.722222e-01
3;F-11240-x40-02.tif;716;90.622905;293.586592;28.872346;50.744402;3.463649;1.757543;0.568976;0.354036;413.000000;0.822354;176.534000;0.427336;0;9.583333e-01
4;F-11240-x40-02.tif;6394;147.110103;39.911010;58.257418;173.030907;4.249868;2.970109;0.336688;0.271916;2813.000000;0.941616;584.358000;0.646519;0;9.848485e-01
5;F-11240-x40-02.tif;6040;196.810430;162.141887;53.999897;177.608098;3.385452;3.289045;0.304040;0.243793;2518.000000;0.952659;506.911000;0.719214;0;9.871795e-01
6;F-11240-x40-02.tif;6536;309.098684;461.467564;62.277139;196.452991;4.489065;3.154496;0.317008;0.215628;4280.000000;0.948423;607.210000;0.658451;0;9.791667e-01
7;F-11240-x40-02.tif;1127;292.731145;532.406389;35.846143;46.423208;1.618028;1.295068;0.772160;0.665831;216.000000;0.635428;151.377000;0.666731;0;9.722222e-01
8;F-11240-x40-02.tif;1547;321.893988;730.345184;28.413120;79.337645;2.224296;2.792289;0.358129;0.312926;469.000000;0.933672;207.944000;0.623946;0;9.814815e-01
9;F-11240-x40-02.tif;959;334.380605;343.689260;31.532900;39.147118;1.112074;1.241469;0.805497;0.796763;53.000000;0.592599;115.766000;0.693267;0;9.791667e-01
10;F-11240-x40-02.tif;3545;408.413822;347.581664;59.881413;92.359613;3.401629;1.542375;0.648351;0.529130;1391.000000;0.761342;389.275000;0.687924;0;9.833333e-01
11;F-11240-x40-02.tif;2065;428.169492;242.690557;44.416578;64.491540;1.923253;1.451970;0.688719;0.632157;404.000000;0.725028;223.400000;0.779671;0;9.814815e-01
12;F-11240-x40-02.tif;330;418.654545;624.003030;14.472660;34.829835;1.758577;2.406595;0.415525;0.346355;94.000000;0.909582;85.397000;0.589595;0;9.666667e-01
13;F-11240-x40-02.tif;610;459.144262;580.421311;18.734063;43.882152;1.775372;2.342372;0.426918;0.403333;126.000000;0.904291;116.658000;0.559303;0;9.666667e-01
14;F-11240-x40-02.tif;3896;523.025924;51.419661;54.906242;114.662942;3.179395;2.088341;0.478849;0.377297;1280.000000;0.877897;394.536000;0.596254;0;9.968553e-01
15;F-11240-x40-02.tif;4557;566.504499;347.714066;72.479132;88.563025;1.900269;1.221911;0.818390;0.739749;755.000000;0.574663;329.877000;0.229027;0;9.666667e-01
16;F-11240-x40-02.tif;754;551.306366;224.095491;20.405978;55.918088;2.650175;2.740280;0.364926;0.307027;282.000000;0.931036;158.463000;0.349208;0;9.848485e-01
17;F-11240-x40-02.tif;1206;602.033167;466.815920;33.766618;45.861917;1.132207;1.358203;0.736267;0.730051;54.000000;0.676691;130.991000;0.700221;0;9.833333e-01
18;F-11240-x40-02.tif;421;699.710214;163.216152;15.721601;40.305020;1.849855;2.563671;0.390066;0.329970;102.000000;0.920787;98.927000;0.637531;0;9.166667e-01
19;F-11240-x40-02.tif;503;754.972167;686.984095;20.502060;48.652638;2.985250;2.373061;0.421397;0.270561;278.000000;0.906876;137.366000;0.531460;0;9.814815e-01
20;F-11240-x40-02.tif;310;785.670968;797.087097;17.543211;23.922262;1.231455;1.363619;0.733342;0.689711;34.000000;0.679859;69.262000;0.397645;0;9.444444e-01
21;F-11240-x40-02.tif;722;894.106648;255.008310;24.746532;43.029059;1.749239;1.738791;0.575112;0.496505;148.000000;0.818075;125.979000;0.667247;0;9.761905e-01
22;F-11240-x40-02.tif;1985;936.346599;286.669018;34.506372;79.595652;2.089734;2.306694;0.433521;0.398926;362.000000;0.901144;228.313000;0.314046;0;9.824561e-01
23;F-11240-x40-02.tif;373;930.284182;221.699732;16.510333;31.439892;1.446624;1.904255;0.525140;0.480460;54.000000;0.851016;82.345000;0.482307;0;9.880952e-01
24;F-11240-x40-02.tif;1083;959.638966;424.282548;31.240735;50.432074;1.737149;1.614305;0.619462;0.542157;218.000000;0.785027;153.758000;0.678739;0;9.848485e-01
25;F-11240-x40-02.tif;744;1070.998656;640.633065;27.643393;35.092050;1.149272;1.269455;0.787739;0.769247;58.000000;0.616009;103.658000;0.729183;0;9.814815e-01
26;F-11240-x40-02.tif;453;1135.660044;327.309051;17.993791;36.367007;1.816233;2.021086;0.494783;0.436107;71.000000;0.869016;101.681000;0.354842;0;9.444444e-01
27;F-11240-x40-02.tif;514;1156.200389;802.538911;18.474335;41.728212;1.828834;2.258713;0.442730;0.375849;109.000000;0.896655;108.686000;0.673612;0;9.444444e-01
28;F-11240-x40-02.tif;3183;1214.393025;439.730757;55.083117;92.203000;3.792192;1.673889;0.597411;0.476713;1056.000000;0.801935;389.465000;0.317244;0;9.814815e-01
29;F-11240-x40-02.tif;491;1362.006110;422.348269;17.830793;42.386473;1.942009;2.377150;0.420672;0.347966;107.000000;0.907213;109.464000;0.303976;0;9.761905e-01
30;F-11240-x40-02.tif;676;1390.545858;637.275148;20.935801;54.006479;2.466838;2.579623;0.387654;0.295097;227.000000;0.921805;144.760000;0.424364;0;9.583333e-01
31;F-11240-x40-02.tif;402;1415.253731;32.375622;18.469873;34.275067;1.866660;1.855728;0.538872;0.435692;108.000000;0.842388;97.107000;0.478567;0;9.583333e-01
32;F-11240-x40-02.tif;1798;1455.466073;89.901557;35.284297;66.661021;1.682685;1.889255;0.529309;0.515176;202.000000;0.848429;194.985000;0.610020;0;9.958333e-01
33;F-11240-x40-02.tif;3188;1545.445107;582.309285;54.818634;96.767142;2.735690;1.765224;0.566501;0.433484;1224.000000;0.824061;331.053000;0.637860;0;9.722222e-01
