No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11240-x40-02.tif;730;40.372603;81.984932;27.167962;37.049371;1.343575;1.363716;0.733291;0.677129;69.000000;0.679915;111.019000;137.532877;35;221
2;F-11240-x40-02.tif;1712;179.956776;115.163551;32.456459;69.545401;1.393884;2.142729;0.466695;0.450689;118.000000;0.884419;173.169000;158.652453;107;220
3;F-11240-x40-02.tif;802;191.658354;206.129676;28.996605;35.355075;0.969626;1.219283;0.820154;0.816923;14.000000;0.572143;98.854000;143.640898;39;224
4;F-11240-x40-02.tif;1033;272.183930;459.298161;31.306427;42.855695;1.150827;1.368910;0.730508;0.716132;68.000000;0.682904;122.225000;156.929332;90;230
5;F-11240-x40-02.tif;743;294.907133;534.457604;28.031645;33.850117;0.964916;1.207568;0.828111;0.825617;14.000000;0.560565;94.917000;142.353970;41;229
6;F-11240-x40-02.tif;681;302.552129;456.837004;25.136926;40.003246;1.488491;1.591414;0.628372;0.541835;114.000000;0.777913;112.863000;139.446402;33;229
7;F-11240-x40-02.tif;1138;314.919156;406.089631;30.499580;47.729596;1.045071;1.564926;0.639008;0.636029;28.000000;0.769200;122.250000;164.739016;99;227
8;F-11240-x40-02.tif;855;334.681871;343.997661;29.739359;36.804338;0.974570;1.237563;0.808040;0.803671;11.000000;0.589128;102.328000;147.644444;95;227
9;F-11240-x40-02.tif;615;338.203252;723.801626;23.331363;33.670365;0.980556;1.443138;0.692935;0.690700;6.000000;0.721000;87.052000;140.573984;84;228
10;F-11240-x40-02.tif;824;339.973301;382.540049;29.360576;35.916351;0.987500;1.223285;0.817471;0.813304;17.000000;0.575970;101.120000;142.412621;89;228
11;F-11240-x40-02.tif;984;401.779472;476.153455;26.411866;56.043159;1.661590;2.121893;0.471277;0.398896;232.000000;0.881985;143.339000;134.457317;22;226
12;F-11240-x40-02.tif;984;418.792683;101.346545;26.332445;48.757669;1.233451;1.851620;0.540068;0.527011;38.000000;0.841622;123.499000;153.086382;65;231
13;F-11240-x40-02.tif;634;431.287066;505.383281;27.318701;29.838976;1.004296;1.092255;0.915537;0.906633;21.000000;0.402233;89.450000;177.563091;145;218
14;F-11240-x40-02.tif;638;558.811912;49.893417;26.276517;30.986541;0.953848;1.179248;0.847998;0.846028;14.000000;0.530000;87.449000;131.296238;30;227
15;F-11240-x40-02.tif;1050;601.979048;466.670476;32.731669;40.992706;1.022232;1.252387;0.798475;0.795584;29.000000;0.602027;116.138000;162.377143;108;227
16;F-11240-x40-02.tif;3395;655.952872;401.935199;51.221808;93.174352;1.511956;1.819037;0.549742;0.497917;479.000000;0.835335;253.977000;156.673343;75;223
17;F-11240-x40-02.tif;797;665.685069;352.440402;26.825321;38.352584;1.096260;1.429716;0.699440;0.689889;44.000000;0.714692;104.783000;146.104141;75;212
18;F-11240-x40-02.tif;847;676.149941;462.286895;29.984960;36.305517;1.028299;1.210791;0.825906;0.818179;33.000000;0.563807;104.618000;149.619835;37;225
19;F-11240-x40-02.tif;807;681.147460;514.939281;21.805674;51.729078;1.497562;2.372276;0.421536;0.383985;79.000000;0.906812;123.235000;153.354399;107;229
20;F-11240-x40-02.tif;1059;700.843248;350.811143;34.312664;40.180192;1.056580;1.171002;0.853970;0.835184;44.000000;0.520323;118.578000;128.788480;93;206
21;F-11240-x40-02.tif;901;700.520533;483.824639;30.576555;37.795718;1.006207;1.236101;0.808995;0.803063;22.000000;0.587815;106.736000;151.234184;92;224
22;F-11240-x40-02.tif;1669;719.251049;383.026363;37.211121;57.723930;1.125433;1.551255;0.644639;0.637756;69.000000;0.764487;153.636000;141.305572;85;217
23;F-11240-x40-02.tif;1273;714.245090;159.243519;34.871884;46.891410;1.149104;1.344677;0.743673;0.737143;64.000000;0.668543;135.581000;166.677141;111;224
24;F-11240-x40-02.tif;1556;724.190231;571.079049;34.728405;60.248223;1.296461;1.734840;0.576422;0.545797;137.000000;0.817152;159.217000;132.654884;44;228
25;F-11240-x40-02.tif;865;728.871676;429.922543;28.530042;39.704770;1.111526;1.391683;0.718555;0.698620;61.000000;0.695471;109.919000;146.354913;96;224
26;F-11240-x40-02.tif;1008;739.311508;492.221230;34.761317;37.088880;0.970275;1.066958;0.937244;0.933003;22.000000;0.348675;110.862000;155.897817;102;227
27;F-11240-x40-02.tif;607;738.897858;199.230643;24.350342;31.868724;0.965738;1.308759;0.764083;0.760973;12.000000;0.645118;85.828000;132.172982;66;229
28;F-11240-x40-02.tif;785;742.696815;531.388535;26.586422;37.782601;1.010282;1.421124;0.703668;0.700158;18.000000;0.710529;99.830000;140.400000;84;230
29;F-11240-x40-02.tif;1327;755.751319;292.598342;40.734629;41.700261;1.035609;1.023705;0.976843;0.971636;58.000000;0.213955;131.413000;125.599096;73;204
30;F-11240-x40-02.tif;1143;756.140857;420.057743;34.947489;42.502055;1.060442;1.216169;0.822254;0.805632;65.000000;0.569121;123.416000;159.050744;103;218
31;F-11240-x40-02.tif;875;787.756571;282.289143;28.440809;40.543333;1.252671;1.425534;0.701492;0.677765;85.000000;0.712678;117.362000;137.614857;87;208
32;F-11240-x40-02.tif;1193;813.111484;426.347024;35.899093;42.477712;0.988541;1.183253;0.845128;0.841838;23.000000;0.534564;121.737000;157.700754;125;200
33;F-11240-x40-02.tif;819;825.195360;514.760684;30.562998;60.018435;2.992988;1.963761;0.509227;0.289484;550.000000;0.860632;175.509000;166.371184;102;225
34;F-11240-x40-02.tif;1002;842.636727;387.996008;33.822857;38.118347;1.006912;1.127000;0.887312;0.878031;30.000000;0.461170;112.599000;141.664671;101;203
35;F-11240-x40-02.tif;1918;851.029197;341.681960;39.887903;62.382555;1.255612;1.563947;0.639408;0.627527;138.000000;0.768868;173.963000;129.387383;83;230
36;F-11240-x40-02.tif;1088;863.546875;410.062500;28.623846;51.696601;1.309638;1.806068;0.553689;0.518340;117.000000;0.832723;133.812000;127.937500;88;212
37;F-11240-x40-02.tif;1201;873.686928;438.686928;34.990074;44.562049;1.102023;1.273563;0.785199;0.770057;58.000000;0.619244;128.965000;125.115737;69;220
38;F-11240-x40-02.tif;544;987.102941;104.261029;24.913563;27.948758;0.985953;1.121829;0.891401;0.886715;21.000000;0.453215;82.098000;120.783088;49;214
39;F-11240-x40-02.tif;646;1022.133127;78.566563;26.668909;30.975439;0.968591;1.161481;0.860970;0.857250;17.000000;0.508657;88.673000;128.154799;39;223
40;F-11240-x40-02.tif;602;1072.059801;639.853821;24.086875;31.984272;0.986942;1.327871;0.753085;0.749262;17.000000;0.657923;86.407000;123.817276;73;206
41;F-11240-x40-02.tif;1645;1121.066261;633.845593;45.784273;53.731671;2.040220;1.173584;0.852091;0.725463;443.000000;0.523394;205.365000;139.909422;88;203
42;F-11240-x40-02.tif;339;1143.905605;670.489676;11.310593;41.454207;1.869557;3.665078;0.272845;0.251173;63.000000;0.962058;89.243000;152.182891;110;207
43;F-11240-x40-02.tif;1935;1185.614987;277.605685;46.462345;61.592646;1.596227;1.325647;0.754349;0.649432;277.000000;0.656474;197.012000;158.004651;48;228
44;F-11240-x40-02.tif;1402;1258.529244;297.133381;30.715929;59.466733;1.312763;1.936023;0.516523;0.504789;98.000000;0.856273;152.080000;169.375892;102;225
45;F-11240-x40-02.tif;327;1254.886850;424.305810;16.722728;31.806289;1.850102;1.901980;0.525768;0.411559;82.000000;0.850628;87.192000;180.941896;143;222
46;F-11240-x40-02.tif;442;1284.694570;520.239819;22.799341;26.569989;1.236052;1.165384;0.858086;0.797168;41.000000;0.513506;82.858000;163.083710;75;217
47;F-11240-x40-02.tif;1190;1312.639496;556.792437;33.968864;48.038683;1.257757;1.414198;0.707115;0.656561;114.000000;0.707099;137.144000;135.025210;88;210
48;F-11240-x40-02.tif;1048;1317.520992;34.411260;33.364183;40.459461;1.089207;1.212662;0.824632;0.815138;58.000000;0.565669;119.768000;163.969466;109;217
49;F-11240-x40-02.tif;4594;1351.102307;594.294515;65.949055;97.281530;1.587822;1.475101;0.677920;0.618074;620.000000;0.735136;302.762000;123.015455;61;218
50;F-11240-x40-02.tif;2163;1348.427647;529.153028;42.278036;68.272645;1.364912;1.614849;0.619253;0.590844;247.000000;0.785192;192.613000;129.917707;65;224
51;F-11240-x40-02.tif;484;1343.407025;490.646694;24.597827;25.448838;1.019612;1.034597;0.966560;0.951524;23.000000;0.256441;78.749000;119.772727;30;209
52;F-11240-x40-02.tif;688;1387.120640;549.867733;26.384133;33.636687;1.076096;1.274883;0.784386;0.774234;36.000000;0.620274;96.455000;130.965116;71;218
53;F-11240-x40-02.tif;663;1453.313725;99.404223;26.767628;31.672038;0.974635;1.183222;0.845150;0.841534;16.000000;0.534529;90.112000;138.775264;67;219
54;F-11240-x40-02.tif;865;1529.403468;598.376879;27.949572;39.595884;1.093860;1.416690;0.705871;0.702467;38.000000;0.708341;109.042000;152.641618;20;221
55;F-11240-x40-02.tif;1092;1551.873626;558.316850;30.178210;46.540068;1.157761;1.542175;0.648435;0.641917;68.000000;0.761270;126.045000;162.690476;118;221
