No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11240-x40-02.tif;841;192.560048;205.850178;28.958227;37.230829;1.074622;1.285674;0.777802;0.772504;34.000000;0.628509;106.569000;141.871581;126;171
2;F-11240-x40-02.tif;1028;243.497082;460.087549;30.825756;42.673376;1.075410;1.384342;0.722365;0.718769;35.000000;0.691512;117.866000;141.500973;124;158
3;F-11240-x40-02.tif;939;273.244941;459.328009;28.229759;42.669982;1.098573;1.511525;0.661584;0.656645;43.000000;0.749871;113.855000;140.905218;122;155
4;F-11240-x40-02.tif;727;295.082531;534.445667;27.670356;33.654172;0.976038;1.216254;0.822197;0.817272;9.000000;0.569203;94.429000;141.105915;124;162
5;F-11240-x40-02.tif;658;302.335866;456.656535;24.691790;38.808874;1.474417;1.571732;0.636241;0.556255;102.000000;0.771491;110.415000;141.553191;124;165
6;F-11240-x40-02.tif;1113;314.785265;405.677448;30.068659;47.554271;1.106318;1.581523;0.632302;0.626652;45.000000;0.774722;124.392000;137.945193;125;149
7;F-11240-x40-02.tif;846;334.732861;344.093381;29.457122;36.776354;0.999622;1.248471;0.800980;0.796422;24.000000;0.598691;103.088000;140.806147;123;154
8;F-11240-x40-02.tif;613;338.280587;724.021207;23.304778;33.642444;0.996135;1.443586;0.692720;0.689597;10.000000;0.721207;87.598000;139.800979;125;153
9;F-11240-x40-02.tif;809;339.734240;382.833127;29.107069;35.732153;1.031636;1.227611;0.814590;0.806752;31.000000;0.580037;102.410000;142.438813;124;154
10;F-11240-x40-02.tif;719;406.609179;471.243394;28.115230;33.764906;1.105939;1.200947;0.832676;0.802986;58.000000;0.553760;99.962000;142.685675;127;164
11;F-11240-x40-02.tif;1176;423.622449;96.909864;24.849229;65.780270;1.848875;2.647176;0.377761;0.346040;193.000000;0.925903;165.296000;138.925170;122;159
12;F-11240-x40-02.tif;647;431.156105;505.465224;27.170874;30.585746;1.000378;1.125681;0.888351;0.880595;22.000000;0.459165;90.186000;141.874807;127;150
