No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-04.bmp;1258;485.779014;750.820350;39.071279;41.073585;0.963377;1.051248;0.951251;0.949436;20.000000;0.308419;123.408000;146.446741;75;255
2;F-11333-x40-04.bmp;1281;506.189696;566.017955;30.525982;53.922187;1.099559;1.766436;0.566112;0.560950;33.000000;0.824329;133.042000;124.149102;16;255
3;F-11333-x40-04.bmp;962;562.130977;581.301455;33.627645;36.608383;0.974655;1.088640;0.918578;0.913953;19.000000;0.395240;108.547000;131.455301;53;255
4;F-11333-x40-04.bmp;1281;579.643247;529.017174;39.015158;41.987373;0.981142;1.076181;0.929212;0.925171;29.000000;0.369548;125.674000;119.240437;67;255
5;F-11333-x40-04.bmp;1177;589.374681;609.403568;32.863349;46.208094;1.018658;1.406068;0.711203;0.701860;22.000000;0.702986;122.746000;123.336449;48;255
6;F-11333-x40-04.bmp;814;587.260442;473.436118;28.382801;36.729325;0.989023;1.294070;0.772756;0.768261;11.000000;0.634703;100.582000;125.406634;10;255
7;F-11333-x40-04.bmp;1419;619.157153;645.763214;41.336656;44.205538;0.999306;1.069403;0.935101;0.924569;18.000000;0.354381;133.489000;143.988020;83;255
8;F-11333-x40-04.bmp;1872;639.592949;569.199786;42.735851;55.937527;1.004894;1.308913;0.763993;0.761745;27.000000;0.645225;153.751000;161.121795;89;255
9;F-11333-x40-04.bmp;1461;637.499658;485.947981;40.825448;45.675004;0.980463;1.118788;0.893825;0.891668;31.000000;0.448417;134.167000;138.686516;77;255
10;F-11333-x40-04.bmp;1713;638.675423;429.834793;39.925499;54.855351;1.031279;1.373943;0.727832;0.724819;44.000000;0.685755;148.995000;139.273205;74;255
