No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-04.tif;3109;165.318109;268.417819;48.236118;139.036494;4.862186;2.882415;0.346931;0.204773;2106.000000;0.937891;435.844000;0.489173;0;7.446028e-01
2;F-11333-x40-04.tif;4512;290.780585;190.851507;53.857052;140.011463;4.277390;2.599687;0.384662;0.293057;2339.000000;0.923058;492.469000;0.521356;0;7.620397e-01
3;F-11333-x40-04.tif;4603;416.907886;308.082555;64.309783;140.494366;7.331023;2.184650;0.457739;0.296916;2543.000000;0.889086;651.190000;0.456425;0;7.043612e-01
4;F-11333-x40-04.tif;4262;496.155795;107.211168;69.843753;106.571319;3.350021;1.525853;0.655371;0.477796;2143.000000;0.755307;423.580000;0.484008;0;7.351499e-01
5;F-11333-x40-04.tif;1123;485.075690;750.415850;37.448381;38.301033;0.967670;1.022769;0.977738;0.974695;21.000000;0.209829;116.858000;0.568081;8.026183e-03;7.659248e-01
6;F-11333-x40-04.tif;6364;678.557982;629.402577;55.085432;168.101510;2.838275;3.051651;0.327691;0.286746;1863.000000;0.944785;476.428000;0.615917;3.237227e-02;8.735387e-01
7;F-11333-x40-04.tif;2681;785.839612;325.648639;49.187492;93.111352;2.709503;1.892988;0.528265;0.393733;1245.000000;0.849079;302.133000;0.640353;5.308725e-01;7.914959e-01
8;F-11333-x40-04.tif;305;831.367213;379.937705;15.194652;27.019285;1.233493;1.778210;0.562363;0.531940;28.000000;0.826890;68.758000;0.614265;5.559778e-01;6.635332e-01
9;F-11333-x40-04.tif;650;858.066154;227.189231;29.587416;43.733591;2.235397;1.478115;0.676538;0.432706;355.000000;0.736408;135.126000;0.593272;5.268894e-01;7.973503e-01
10;F-11333-x40-04.tif;1390;861.935971;585.217986;37.710927;47.153905;1.058942;1.250404;0.799741;0.795957;46.000000;0.600345;136.003000;0.640287;5.592061e-01;7.699355e-01
11;F-11333-x40-04.tif;2287;876.432882;296.766944;54.142088;61.480655;2.879614;1.135543;0.880636;0.770370;898.000000;0.473793;287.677000;0.596461;5.084106e-01;7.153766e-01
12;F-11333-x40-04.tif;631;1018.047544;706.175911;24.304921;33.939755;1.070813;1.396415;0.716120;0.697464;15.000000;0.697978;92.146000;0.620253;5.446393e-02;8.936314e-01
