No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-04.tif;955;485.639791;750.523560;33.639329;36.275348;0.992737;1.078361;0.927333;0.924039;21.000000;0.374237;109.150000;82.081675;42;100
2;F-11333-x40-04.tif;1089;507.888889;565.558310;31.272048;46.715362;1.256224;1.493838;0.669417;0.635358;98.000000;0.742887;131.115000;64.241506;3;100
3;F-11333-x40-04.tif;2620;577.802290;524.536260;52.003035;81.165108;2.832872;1.560776;0.640707;0.506375;1177.000000;0.767786;305.400000;71.455344;38;100
4;F-11333-x40-04.tif;768;562.481771;580.958333;30.991192;32.090569;1.011364;1.035474;0.965741;0.949547;24.000000;0.259506;98.796000;64.882813;24;100
5;F-11333-x40-04.tif;1297;590.889746;605.413261;31.882198;56.379803;1.541979;1.768379;0.565490;0.519521;132.000000;0.824755;158.531000;66.294526;25;100
6;F-11333-x40-04.tif;647;586.605873;473.553323;25.007791;33.113938;0.974678;1.324145;0.755204;0.751264;11.000000;0.655489;89.020000;61.149923;4;100
7;F-11333-x40-04.tif;829;624.560917;645.398070;31.812723;33.643034;1.045311;1.057534;0.945596;0.932555;39.000000;0.325343;104.353000;78.149578;51;100
8;F-11333-x40-04.tif;1900;653.658421;423.383158;38.922356;66.593298;1.398357;1.710927;0.584479;0.545510;204.000000;0.811409;182.722000;77.166316;42;100
9;F-11333-x40-04.tif;941;655.465462;643.291180;31.870362;38.096727;1.050075;1.195365;0.836564;0.825514;37.000000;0.547869;111.432000;70.316684;52;100
10;F-11333-x40-04.tif;447;664.894855;330.832215;14.405171;50.237803;2.516405;3.487484;0.286740;0.225505;195.000000;0.958009;118.891000;72.601790;25;100
11;F-11333-x40-04.tif;1694;679.332349;461.524203;35.220871;62.689939;1.250727;1.779909;0.561827;0.548817;92.000000;0.827255;163.171000;65.636364;37;100
