No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-04.tif;752;22.199468;158.498670;25.020570;38.414883;1.039983;1.535332;0.651325;0.648827;18.000000;0.758799;99.135000;115.295213;106;128
2;F-11333-x40-04.tif;1485;84.173737;315.861279;33.285772;57.982529;1.316995;1.741961;0.574066;0.562396;113.000000;0.818809;156.769000;114.579125;100;129
3;F-11333-x40-04.tif;782;118.416880;574.609974;24.009328;41.860708;1.141408;1.743519;0.573553;0.568203;26.000000;0.819169;105.908000;118.388747;110;129
4;F-11333-x40-04.tif;660;163.312121;275.828788;27.415610;31.422520;1.143203;1.146154;0.872483;0.851083;41.000000;0.488645;97.373000;117.316667;107;128
5;F-11333-x40-04.tif;1615;175.720743;240.344272;36.410028;58.206930;1.357499;1.598651;0.625527;0.606923;127.000000;0.780202;165.982000;110.710836;99;126
6;F-11333-x40-04.tif;762;183.141732;522.544619;27.223325;36.017301;1.163483;1.323031;0.755840;0.747899;40.000000;0.654756;105.551000;117.489501;109;128
7;F-11333-x40-04.tif;1642;294.691839;200.429354;40.977334;59.393451;1.660053;1.449422;0.689930;0.592661;351.000000;0.723876;185.077000;111.414738;100;127
8;F-11333-x40-04.tif;803;323.321295;122.640100;24.537823;42.062823;1.109984;1.714204;0.583361;0.577868;25.000000;0.812213;105.833000;116.673724;102;129
9;F-11333-x40-04.tif;931;361.142857;444.250269;29.470238;40.667747;1.100784;1.379960;0.724659;0.716737;39.000000;0.689108;113.483000;117.882922;109;127
10;F-11333-x40-04.tif;853;362.864009;157.311841;26.980079;41.263505;1.156515;1.529406;0.653848;0.637862;51.000000;0.756626;111.341000;111.900352;95;127
11;F-11333-x40-04.tif;792;396.678030;353.446970;26.054095;39.092556;1.129445;1.500438;0.666472;0.659853;46.000000;0.745530;106.023000;115.848485;107;127
12;F-11333-x40-04.tif;637;437.670330;208.877551;22.811757;36.000316;1.169033;1.578147;0.633654;0.625802;37.000000;0.773616;96.736000;114.332810;99;130
13;F-11333-x40-04.tif;1025;484.800000;750.106341;34.979127;37.502781;0.972482;1.072147;0.932708;0.927913;16.000000;0.360634;111.920000;113.607805;98;135
14;F-11333-x40-04.tif;2153;505.206688;126.315374;40.001198;73.696977;1.664634;1.842369;0.542779;0.504725;224.000000;0.839875;212.220000;111.733860;103;129
15;F-11333-x40-04.tif;1673;512.341303;557.628811;34.367458;70.574746;1.922602;2.053534;0.486965;0.427669;324.000000;0.873421;201.047000;110.876270;84;138
16;F-11333-x40-04.tif;1285;554.240467;579.035798;32.666472;54.196630;1.774444;1.659090;0.602740;0.557017;189.000000;0.797938;169.273000;108.168872;88;128
17;F-11333-x40-04.tif;353;551.189802;524.235127;17.172260;31.136121;1.634154;1.813164;0.551522;0.463613;84.000000;0.834160;85.141000;107.728045;97;114
18;F-11333-x40-04.tif;601;563.362729;501.196339;25.849955;30.514568;1.307559;1.180450;0.847135;0.821808;69.000000;0.531378;99.374000;109.782030;98;123
19;F-11333-x40-04.tif;1143;587.993876;478.004374;35.467039;47.856658;2.920426;1.349328;0.741110;0.635436;341.000000;0.671384;204.810000;107.736658;81;126
20;F-11333-x40-04.tif;1188;591.260943;606.712963;29.484504;52.628426;1.320144;1.784952;0.560239;0.546117;105.000000;0.828331;140.386000;105.744108;86;131
21;F-11333-x40-04.tif;1057;614.158940;538.452223;35.586932;40.022659;1.256647;1.124645;0.889170;0.840182;117.000000;0.457578;129.196000;108.967833;93;123
22;F-11333-x40-04.tif;1377;619.740015;644.467683;40.944958;43.309476;1.104713;1.057749;0.945404;0.934713;54.000000;0.325900;138.260000;110.634713;98;130
23;F-11333-x40-04.tif;703;651.722617;389.869132;16.845098;67.673461;2.817628;4.017398;0.248917;0.195447;315.000000;0.968525;157.770000;111.361309;92;126
24;F-11333-x40-04.tif;2126;668.479774;638.540452;41.370430;67.964119;1.227728;1.642819;0.608710;0.586022;138.000000;0.793393;181.108000;108.073377;98;130
25;F-11333-x40-04.tif;660;651.430303;362.593939;20.435171;42.692736;1.552307;2.089179;0.478657;0.461048;78.000000;0.878002;113.466000;109.924242;98;121
26;F-11333-x40-04.tif;391;665.094629;321.204604;18.475231;31.273691;1.652311;1.692736;0.590760;0.509013;95.000000;0.806848;90.103000;110.767263;80;126
27;F-11333-x40-04.tif;438;676.052511;295.107306;20.505838;29.039951;1.368691;1.416180;0.706125;0.661291;39.000000;0.708087;86.795000;108.152968;100;122
28;F-11333-x40-04.tif;709;696.040903;264.736248;21.088469;65.202533;3.047638;3.091857;0.323430;0.212338;391.000000;0.946252;164.782000;108.174894;90;124
29;F-11333-x40-04.tif;359;723.746518;205.782730;12.221765;47.753917;2.768752;3.907285;0.255932;0.200441;149.000000;0.966695;111.762000;110.105850;99;124
