No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-08.tif;776;517.578608;375.654639;27.683341;36.249753;1.036774;1.309443;0.763684;0.751903;26.000000;0.645591;100.549000;203.193299;159;255
2;F-11333-x40-08.tif;873;533.627721;400.013746;28.595827;39.283951;1.073029;1.373765;0.727926;0.720268;35.000000;0.685655;108.497000;206.334479;140;255
3;F-11333-x40-08.tif;772;563.958549;366.854922;26.519668;38.285325;1.077409;1.443658;0.692685;0.670599;35.000000;0.721240;102.236000;204.382124;105;255
4;F-11333-x40-08.tif;1405;580.098221;167.243416;32.468233;56.537395;1.260427;1.741314;0.574279;0.559648;110.000000;0.818660;149.177000;202.491103;141;255
5;F-11333-x40-08.tif;1562;598.512804;323.779770;28.783486;74.478577;1.902426;2.587545;0.386467;0.358532;291.000000;0.922303;193.241000;200.815621;143;255
6;F-11333-x40-08.tif;1341;601.240865;562.874720;35.077221;52.575124;1.522192;1.498839;0.667183;0.617701;215.000000;0.744894;160.160000;203.475019;60;255
7;F-11333-x40-08.tif;1111;617.775878;792.907291;31.972334;44.958980;1.139478;1.406184;0.711145;0.699828;59.000000;0.703046;126.129000;188.072007;73;255
8;F-11333-x40-08.tif;516;625.643411;747.936047;22.664420;31.297140;1.421054;1.380893;0.724169;0.670734;61.000000;0.689622;95.992000;217.069767;178;255
9;F-11333-x40-08.tif;3010;675.113289;760.663123;60.740983;77.196095;2.186336;1.270906;0.786840;0.643111;848.000000;0.617157;287.572000;200.596013;145;255
10;F-11333-x40-08.tif;809;682.512979;69.982695;30.320773;35.190207;1.177938;1.160597;0.861625;0.831792;56.000000;0.507545;109.431000;192.049444;144;255
11;F-11333-x40-08.tif;907;707.104741;785.825799;32.177345;36.172684;0.995042;1.124166;0.889548;0.882584;25.000000;0.456841;106.495000;190.275634;145;255
12;F-11333-x40-08.tif;1352;724.998521;686.618343;38.902194;46.335760;1.406400;1.191083;0.839572;0.801778;136.000000;0.543249;154.578000;202.217456;147;255
13;F-11333-x40-08.tif;660;769.306061;392.266667;25.160083;33.740818;1.056935;1.341046;0.745687;0.738147;27.000000;0.666297;93.627000;201.922727;150;255
14;F-11333-x40-08.tif;998;791.166333;781.965932;34.663570;37.389370;1.116004;1.078636;0.927097;0.908959;53.000000;0.374822;118.305000;211.152305;159;255
15;F-11333-x40-08.tif;953;799.453305;741.677859;34.161522;39.278936;1.783174;1.149801;0.869716;0.786473;191.000000;0.493552;146.133000;204.086044;145;255
16;F-11333-x40-08.tif;706;816.930595;82.118980;28.086026;33.675127;1.229167;1.198999;0.834029;0.792677;63.000000;0.551721;104.427000;214.014164;165;255
17;F-11333-x40-08.tif;2419;834.787929;620.047127;45.064302;72.605134;1.595611;1.611145;0.620677;0.584267;343.000000;0.784067;220.235000;194.763125;114;255
18;F-11333-x40-08.tif;701;872.258203;664.811698;25.113968;36.077330;1.060152;1.436544;0.696115;0.685740;30.000000;0.717930;96.638000;203.880171;146;255
19;F-11333-x40-08.tif;719;891.183588;686.237830;26.255720;38.359021;1.343078;1.460978;0.684473;0.622163;100.000000;0.729038;110.159000;209.977747;163;252
20;F-11333-x40-08.tif;676;892.631657;178.056213;25.048511;35.011067;1.155341;1.397730;0.715446;0.702176;43.000000;0.698669;99.068000;210.744083;161;255
21;F-11333-x40-08.tif;2338;901.832335;725.671942;47.712484;65.182222;1.756158;1.366146;0.731986;0.700642;283.000000;0.681320;227.148000;207.873396;144;255
22;F-11333-x40-08.tif;329;891.671733;769.708207;14.004579;34.060187;1.628284;2.432075;0.411172;0.361087;61.000000;0.911558;82.048000;222.425532;193;255
23;F-11333-x40-08.tif;988;933.636640;233.685223;25.853743;50.262732;1.331205;1.944118;0.514372;0.497938;84.000000;0.857567;128.560000;198.605263;130;255
24;F-11333-x40-08.tif;676;949.920118;399.386095;24.935437;34.678078;1.002962;1.390715;0.719055;0.715726;15.000000;0.694953;92.304000;202.826923;125;255
25;F-11333-x40-08.tif;556;968.050360;258.767986;24.495551;30.749493;1.237409;1.255309;0.796616;0.748702;69.000000;0.604485;92.982000;198.872302;128;255
26;F-11333-x40-08.tif;1346;994.878900;314.722883;34.946270;55.815901;1.475964;1.597192;0.626099;0.550097;191.000000;0.779744;158.003000;209.983655;165;255
27;F-11333-x40-08.tif;529;993.826087;277.364839;22.096407;32.032095;1.151493;1.449652;0.689821;0.656440;40.000000;0.723980;87.491000;198.088847;149;255
28;F-11333-x40-08.tif;928;1011.161638;453.493534;26.528813;45.575489;1.174837;1.717962;0.582085;0.568847;49.000000;0.813128;117.049000;184.148707;20;255
29;F-11333-x40-08.tif;378;1020.809524;315.219577;21.164859;23.568621;1.094625;1.113573;0.898010;0.866430;29.000000;0.439975;72.108000;216.589947;164;255
30;F-11333-x40-08.tif;709;1044.321580;55.624824;26.112036;34.982030;1.065638;1.339690;0.746441;0.737677;37.000000;0.665451;97.439000;207.149506;163;255
31;F-11333-x40-08.tif;613;1065.225122;25.468189;25.404108;31.146045;1.008019;1.226024;0.815645;0.804572;25.000000;0.578553;88.119000;197.893964;96;255
32;F-11333-x40-08.tif;515;1085.300971;286.440777;21.872672;30.290340;0.986404;1.384849;0.722101;0.714676;10.000000;0.691788;79.898000;191.168932;104;255
33;F-11333-x40-08.tif;609;1089.454844;518.505747;28.572665;31.020570;1.643331;1.085673;0.921088;0.805801;107.000000;0.389355;112.144000;214.704433;166;255
34;F-11333-x40-08.tif;691;1102.820550;496.483357;24.675841;35.802555;1.007557;1.450915;0.689220;0.686373;19.000000;0.724552;93.536000;199.500724;127;255
35;F-11333-x40-08.tif;817;1108.126071;589.318237;28.370091;37.306936;1.120666;1.315009;0.760451;0.747400;57.000000;0.649395;107.264000;211.659731;175;255
36;F-11333-x40-08.tif;835;1120.991617;559.626347;32.180834;36.136756;1.730767;1.122928;0.890529;0.814138;142.000000;0.454926;134.762000;197.901796;125;255
37;F-11333-x40-08.tif;688;1150.722384;580.946221;25.365168;35.818602;1.084054;1.412118;0.708156;0.682781;39.000000;0.706056;96.811000;196.312500;70;255
38;F-11333-x40-08.tif;1847;1192.257174;561.287493;37.175627;67.911038;1.813869;1.826762;0.547417;0.509913;309.000000;0.836860;205.183000;202.533297;151;255
39;F-11333-x40-08.tif;662;1217.433535;615.043807;23.315440;36.779340;1.056355;1.577467;0.633928;0.623104;25.000000;0.773392;93.743000;184.123867;116;255
40;F-11333-x40-08.tif;1364;1259.308651;602.099707;31.026507;60.604329;1.650193;1.953308;0.511952;0.472843;216.000000;0.859014;168.182000;203.947947;164;255
41;F-11333-x40-08.tif;2140;1280.598598;535.804673;50.820943;58.309902;1.478919;1.147360;0.871566;0.801381;275.000000;0.490278;199.427000;209.968692;154;255
42;F-11333-x40-08.tif;707;1327.210750;523.906648;28.026230;34.359061;1.242071;1.225961;0.815687;0.762512;88.000000;0.578494;105.048000;209.285714;169;255
43;F-11333-x40-08.tif;1004;1390.143426;563.113546;27.679322;46.561127;1.112901;1.682163;0.594473;0.589653;40.000000;0.804116;118.495000;175.262948;119;255
