No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-08.tif;1039;40.892204;490.095284;30.766172;43.901648;1.042344;1.426945;0.700798;0.686379;28.000000;0.713360;116.659000;84.137632;61;100
2;F-11333-x40-08.tif;919;49.957563;441.182807;25.847262;45.423966;1.064241;1.757400;0.569023;0.567095;15.000000;0.822322;110.862000;74.598477;49;100
3;F-11333-x40-08.tif;942;87.152866;598.487261;31.347925;39.040361;1.062086;1.245389;0.802962;0.786925;44.000000;0.596030;112.127000;82.111465;44;100
4;F-11333-x40-08.tif;1012;307.797431;331.773715;25.875285;49.941551;1.127351;1.930087;0.518111;0.516614;26.000000;0.855313;119.736000;74.728261;55;100
5;F-11333-x40-08.tif;851;322.703878;297.596945;25.180764;43.389920;1.089213;1.723138;0.580337;0.575522;22.000000;0.814377;107.926000;74.196240;46;100
6;F-11333-x40-08.tif;868;348.150922;230.476959;31.415458;35.290873;0.968662;1.123360;0.890186;0.887371;20.000000;0.455596;102.790000;73.205069;47;100
7;F-11333-x40-08.tif;1080;390.088889;294.587963;27.931744;50.582797;1.267175;1.810943;0.552198;0.537438;66.000000;0.833713;131.140000;83.911111;53;100
8;F-11333-x40-08.tif;1020;389.719608;246.122549;27.346411;47.893275;1.130442;1.751355;0.570986;0.566189;38.000000;0.820959;120.373000;82.033333;49;100
9;F-11333-x40-08.tif;1260;423.888889;260.768254;31.527399;51.243222;1.136040;1.625355;0.615250;0.610953;46.000000;0.788332;134.118000;85.991270;59;100
10;F-11333-x40-08.tif;990;434.676768;698.373737;29.300069;44.329340;1.252865;1.512943;0.660963;0.641450;63.000000;0.750418;124.846000;80.353535;45;100
11;F-11333-x40-08.tif;1119;445.392315;619.489723;34.405353;42.027593;1.088705;1.221542;0.818637;0.806624;58.000000;0.574311;123.730000;80.831099;54;100
12;F-11333-x40-08.tif;956;448.251046;778.220711;31.777157;39.212904;1.133967;1.233997;0.810375;0.791608;59.000000;0.585912;116.717000;82.938285;51;100
13;F-11333-x40-08.tif;809;517.255871;374.974042;27.214604;38.278139;1.041491;1.406529;0.710970;0.703003;31.000000;0.703222;102.898000;68.426452;51;100
14;F-11333-x40-08.tif;1086;532.414365;747.779926;33.787740;41.787689;1.147573;1.236771;0.808557;0.791851;71.000000;0.588417;125.144000;84.997238;59;100
15;F-11333-x40-08.tif;995;532.649246;399.844221;31.921693;39.895049;0.989863;1.249779;0.800142;0.795967;28.000000;0.599811;111.251000;69.634171;38;100
16;F-11333-x40-08.tif;893;537.529675;185.789474;25.337221;45.263445;1.135804;1.786441;0.559772;0.554966;41.000000;0.828646;112.897000;70.810750;44;100
17;F-11333-x40-08.tif;1016;540.677165;243.636811;30.054373;43.309012;1.055095;1.441022;0.693952;0.689679;30.000000;0.720021;116.064000;79.933071;57;100
18;F-11333-x40-08.tif;999;540.735736;336.174174;31.978493;40.150337;1.039970;1.255542;0.796469;0.789037;45.000000;0.604680;114.261000;78.063063;57;100
19;F-11333-x40-08.tif;968;546.078512;210.484504;27.331839;45.529003;1.110736;1.665786;0.600317;0.594578;46.000000;0.799762;116.238000;77.740702;48;100
20;F-11333-x40-08.tif;881;547.674234;307.301930;28.835208;39.522060;1.084282;1.370618;0.729598;0.718136;50.000000;0.683876;109.563000;74.440409;53;100
21;F-11333-x40-08.tif;902;561.390244;284.409091;23.143414;50.815360;1.240821;2.195673;0.455441;0.444761;57.000000;0.890266;118.594000;75.924612;56;100
22;F-11333-x40-08.tif;881;565.468785;261.060159;27.012517;42.848888;1.110145;1.586260;0.630413;0.610952;43.000000;0.776260;110.862000;78.577753;56;100
23;F-11333-x40-08.tif;855;564.776608;366.439766;28.096025;40.042699;1.110696;1.425209;0.701652;0.678937;50.000000;0.712520;109.241000;69.491228;41;100
24;F-11333-x40-08.tif;1484;579.967655;167.216981;33.279382;57.614360;1.199560;1.731233;0.577623;0.569223;79.000000;0.816304;149.566000;67.595013;44;100
25;F-11333-x40-08.tif;1152;580.603299;767.739583;32.471495;56.511912;1.916576;1.740354;0.574596;0.459285;292.000000;0.818437;166.569000;72.988715;43;100
26;F-11333-x40-08.tif;2044;601.987769;324.072896;32.919298;85.443993;1.734731;2.595559;0.385273;0.356474;336.000000;0.922802;211.087000;69.468689;43;100
27;F-11333-x40-08.tif;1113;618.992812;794.047619;32.564052;44.235850;1.150599;1.358426;0.736146;0.724197;57.000000;0.676823;126.857000;61.380952;18;100
28;F-11333-x40-08.tif;1814;622.153252;280.065601;43.952192;54.347946;1.273265;1.236524;0.808719;0.781954;126.000000;0.588196;170.366000;76.392503;49;100
29;F-11333-x40-08.tif;1065;625.969014;241.978404;29.564319;46.392989;1.131699;1.569222;0.637258;0.630021;60.000000;0.770650;123.068000;82.467606;56;100
